molecula|n9FaRing|NaasN|SRW09|nAHRing|nARing|BCUTs-1|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8s|MATS8d|nFaHRing|RASA|FNSA3|FNSA5|PNSA3|PPSA3|FNSA4|WNSA5|RPCS|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|WNSA4|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|DPSA1|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|pIC50
12o_a36|0|0|7.412764017000001|2|2|1.297042837|2|0.040770975|0.03842353|-0.613501857|-0.00233752|-0.059733192|10.96036596|-0.010904454|1|1|-0.000472698|-0.213993335|-0.5110239679999999|1|0.799869816|0.141570244|-0.01854899|0|0.7592112809999999|-0.082048664|-0.10624773|-59.0895896|16.85373064|-0.03541591|-55.10596064|112.1259723|-42.554984000000005|95.66406176|-25.50573629|75.94332024|0.469699889|546.7667677000001|-1453.826968|2778.220342|-18.36865355|13.80895167|0.885724665|6622.134304|-1047.013252|38.27030489|-239.7655413|757.7532208|0.0|0.0|1.0|0.0|3.0|0.0|17.0|-6.93|1.49|1.0|138.06|1.0|-3.54|33.0|438.48|0.0|0.0|1.47|-3.64|0.000227|0.0997|1.85|0.0|0.0|1.1800000000000001e-07|5.18e-05|5.1927|4.5|-1440.969954|-1440.926241|728.07|1240.51|320.16|238.77|560.88|0.36719|0.67273|0.2888|4.9237|-1440.734965|6.6471|7.3979
6b_a31|0|0|7.773594467000001|1|1|0.610136262|0|0.037803618|0.11647286|-0.787472195|-0.011483229|-0.032090772|10.31169819|-0.053655833|2|2|-0.008439437|-0.004825446|-0.57983695|0|0.78240875|-0.068433069|-0.084489161|0|0.627853074|-0.12081047|-0.1284626569999999|-73.70779766|20.12924648|-0.045675611|-47.81835367|101.4993391|-44.96993859|93.1058799|-27.86719323|93.83704414|0.4807018779999999|383.0600707|-1254.023695|2063.736075|-17.0020813|14.46878435|0.925676135|6099.567787|-765.0936586|37.35947255|-300.0775025|536.6368656000001|1.0|1.0|1.0|1.0|2.0|2.73|22.0|-7.33|1.36|1.0|109.69|1.0|-5.63|29.0|404.44|0.0|1.0|3.3|-4.66|2.18e-05|0.00883|3.2|0.0|0.0|4.67e-08|1.89e-05|3.2949|4.61|-1652.671944|-1652.635711|637.06|1077.19|376.29|376.29|492.36|0.7013199999999999|0.7013199999999999|0.4967|5.9085|-1652.505041|8.8379|7.2676
21c _a23|1|2|7.525639975|0|0|1.197962776|2|0.043130342|0.0645437059999999|-0.576752175|0.003456487|-0.092608459|10.3132171|-0.039311241|2|2|0.0035741379999999|-0.036896213|-0.596546056|2|0.782543953|0.149511954|-0.060079444|1|0.790596437|-0.08365474|-0.098699133|-59.46209153|9.976937758|-0.040210758|-49.86692499|94.32302529|-42.26586935|79.71722579|-28.58195193|69.43902929|0.468609427|561.9588018|-1543.4254039999998|2628.628799|-20.31615463|16.83467928|0.881854988|7227.157398|-1097.07235|34.24804117|-475.6090385|762.0576580000001|0.0|1.0|1.0|1.0|2.0|3.11|26.0|-7.33|2.49|1.0|133.35|1.0|-5.63|34.0|468.53|1.0|0.0|3.0|-4.72|1.92e-05|9.0|2.86|0.0|0.0|4.69e-08|2.2e-05|3.6649|4.47|-1837.964768|-1837.932192|747.88|1275.12|338.3|338.3|587.02|0.5885699999999999|0.5885699999999999|0.3329999999999999|6.0226|-1837.736174|8.3979|7.1752
19f_a38|0|0|7.412764017000001|2|2|1.297044434|2|0.041808786|-0.008118156|-0.4228801179999999|-0.002526241|0.035480177|10.96083376|-0.054832432|1|1|-0.000673716|-0.217394466|-0.4288343429999999|1|0.819222745|-0.075025988|-0.094149094|0|0.750875987|-0.085318318|-0.111307609|-54.50401599|13.4639011|-0.037844587|-45.42524686|12.14075726|-34.81887413|84.35196967|-24.1763087|67.96791709|0.453960261|479.6831205|-1208.815435|2846.860803|-15.44458393|11.28936331|0.8313685409999999|6115.273372|-772.2291966|32.91812709|-299.5321167|595.8790650000001|1.0|1.0|1.0|1.0|3.0|2.48|17.0|-6.86|2.4|1.0|125.69|1.0|-4.14|30.0|401.44|0.0|1.0|2.67|-4.17|6.77e-05|0.0272|2.78|0.0|0.0|1.4e-07|5.610000000000001e-05|5.3197|3.41|-1332.190216|-1332.160846|653.22|1105.62|360.19|233.07|495.68|0.38086|0.7056100000000001|0.0019|5.3152|-1332.004601|7.1655|7.1397
12a_a36|0|0|7.412764017000001|2|2|1.297044783|2|0.040166667|0.078063311|-0.403468978|0.002039107|-0.070252245|10.96083376|-0.065913514|1|1|0.003199301|-0.183140926|-0.432975237|1|0.7934042040000001|-0.012112722|-0.119322074|0|0.820684627|-0.076154312|-0.104828755|-46.76212019|12.03249549|-0.037738352|-39.52572284|5.277117996|-28.71401279|76.09903547|-23.17301945|58.79461567|0.470444928|503.9367075|-1158.650972|2258.5909920000004|-14.22926022|12.464492300000002|0.888377722|5710.355735|-711.4630111|30.67992313|-313.5499672|598.1535763999999|0.0|0.0|1.0|0.0|2.0|0.0|17.0|-6.59|2.02|1.0|123.75|1.0|-3.79|29.0|381.43|0.0|0.0|1.86|-4.0|0.000101|0.0384|2.68|0.0|0.0|2.56e-07|9.78e-05|3.8343|3.16|-1232.951968|-1232.916523|653.94|1096.31|338.0|323.35|481.98|0.67869|0.6997|0.0012|6.3637|-1232.764108|8.5603|7.8861
12v_a30|0|0|7.412764017000001|2|2|0.604983445|2|0.04625323|-0.099831334|-0.369659818|0.002431329|0.020607357|10.31162873|-0.04950715|1|1|0.001805829|-0.0857954809999999|-0.471153275|1|0.83236194|-0.029852321|-0.080971844|0|0.8501212029999999|-0.077138874|-0.0971402169999999|-52.18846092|10.70556236|-0.037666615|-44.46327619|0.0|-35.30820865|75.73440678|-25.48342433|62.89402328|0.478535287|575.1512171|-1248.687792|2483.120571|-17.2408622|15.56114504|0.917675298|6952.110426|-844.8022477|31.6144427|-414.1432908000001|685.6665849999999|0.0|1.0|1.0|0.0|1.0|0.0|17.0|-7.8|3.79|2.0|137.3|1.0|-6.58|31.0|467.37|0.0|1.0|3.59|-6.04|9.14e-07|0.0004269999999999|5.12|0.0|0.0|1.58e-08|7.39e-06|3.5507|5.08|-2494.963646|-2494.92869|715.58|1209.1|349.18|349.18|573.82|0.68405|0.68405|0.1601|2.9171|-2494.802821|4105.0|7.6596
8c_a32|1|0|7.765993078999999|0|0|0.609420757|0|0.036711712|-0.026467635|-0.459589251|-0.003484915|-0.026048985|10.31100269|-0.0682721729999999|3|3|-0.001662219|-0.1534110109999999|-0.578242111|0|0.845443342|-0.024032462|-0.11492754|1|0.801747512|-0.076876481|-0.097480366|-46.47597924|9.818219446|-0.027548799|-35.6276568|78.19443734|-28.09723623|74.36515033|-16.654735000000002|56.29419869|0.447542891|484.6996147|-766.1178102000001|3038.837633|-10.06868562|12.81496717|0.8100952690000001|5773.240734|-463.1595384|27.72624296|-121.7388847|557.1050635|1.0|1.0|1.0|1.0|2.0|2.82|19.0|-7.65|1.1|1.0|110.47|1.0|-5.82|27.0|397.52|1.0|1.0|3.56|-4.39|4.11e-05|0.0164|3.21|0.0|0.0|2.23e-08|8.86e-06|3.5673|4.28|-1880.764533|-1880.733377|646.97|1090.0|347.56|347.56|516.78|0.70135|0.70135|0.3272|8.4922|-1880.597039|10.2656|7.4318
19j_a38|0|0|7.412764017000001|2|2|1.29704352|2|0.04391253|0.105682345|-0.438688445|-0.004442319|0.003554228|10.95429182|-0.036248822|1|1|-0.002443797|-0.20848518|-0.42133715|1|0.846765471|-0.001131945|-0.060360554|0|0.8071763829999999|-0.0844479869999999|-0.108006563|-57.80349365|17.15233756|-0.038119963|-50.60340201|29.18585028|-39.565701700000005|90.05233553|-26.09259418|74.95583121|0.408533267|552.5012068|-1330.722303|3109.238056|-17.86002424|12.69084117|0.6907121629999999|6704.612831|-910.8612362|36.5253298|-293.4664598|640.025745|0.0|1.0|1.0|1.0|3.0|2.34|17.0|-6.92|1.76|1.0|130.41|1.0|-4.35|32.0|426.45|0.0|0.0|2.44|-4.12|7.55e-05|0.0322|2.5|0.0|0.0|1.2099999999999998e-07|5.14e-05|6.0361|3.23|-1424.426858|-1424.390074|686.26|1163.3|336.13|205.41|533.97|0.30419|0.69435|0.2625|10.8124|-1424.24494|14.4895|8.1146
12w_a36|0|0|7.412764017000001|2|2|1.24014105|2|0.041555556|0.041058884|-0.917874106|-0.011700732|-0.041402825|10.96020797|-0.010726574|1|1|-0.007897954|-0.3344729369999999|-0.604676196|1|0.828393514|-0.098657593|-0.016393443|0|0.828363244|-0.086826396|-0.111267166|-62.34080876|15.15285952|-0.041210062|-57.35989379|0.780959767|-44.76031023|99.51883498|-29.58856606|77.49366829|0.4672300679999999|594.7596206000001|-1597.782567|2602.5207|-21.24440511|15.701847400000002|0.8769828040000001|7418.252264|-1147.197876|41.94801097|-294.8983941|672.4630346|0.0|1.0|1.0|0.0|2.0|0.0|17.0|-7.14|2.04|2.0|130.43|1.0|-5.2|34.0|465.43|0.0|0.0|2.65|-5.07|8.6e-06|4.0|3.86|0.0|0.0|7.24e-08|3.37e-05|3.8881|4.86|-1645.202839|-1645.169951|712.88|1198.72|318.88|318.88|552.55|0.69466|0.69466|0.4508|5043.0|-1645.017691|7.0746|7.6383
37_a18|0|0|7.03438793|2|2|1.251176176|1|0.036746032|-0.018268775|-0.385273662|0.002300582|-0.034593342|10.94702064|-0.011713125|0|0|0.003512954|-0.224171123|-0.44541772|0|0.725028151|0.020848396|-0.020149364|0|0.831783747|-0.068500679|-0.074857954|-50.09028298|6.653112344|-0.0286221589999999|-40.02719655|60.1335413|-36.62790634|65.15554136|-20.92960342|56.74339533|0.488368082|608.2316837999999|-1423.213033|1571.7484060000002|-15.30451633|18.49074823|0.954530133|7035.839448000001|-1040.70711|27.36337253|-387.3755475|1056.535856|1.0|0.0|1.0|1.0|2.0|0.0|18.0|-8.82|3.33|2.0|151.14|1.0|-5.68|36.0|480.6|0.0|0.0|2.93|-5.47|3.35e-06|0.00161|4.36|0.0|0.0|1.51e-09|7.27e-07|3.2127|8.11|-1532.997117|-1532.974371|794.5|1395.35|385.91|385.91|673.45|0.69305|0.69305|499.0|2.2872|-1532.622404|3.0375|7.4559
19b_a38|0|0|7.412764017000001|2|2|1.297044256|2|0.044392765|0.013765516|-0.467227005|-0.006877664|-0.1381849369999999|10.96052467|-0.0697981979999999|1|1|-0.004358975|-0.250781298|-0.443325632|1|0.8295290000000001|0.019437461|-0.114123934|0|0.7293105670000001|-0.086013549|-0.11557289|-53.38447032|13.92699891|-0.041606241|-44.51968852|0.0|-33.13317155|84.49751102|-25.82299118|67.31146923|0.478948837|452.6479704|-1291.149559|2436.66785|-16.02708787|13.74014387|0.91919733|6518.872269|-801.3543933999999|33.99385836|-322.28833010000005|593.6088758|0.0|1.0|1.0|0.0|3.0|2.37|17.0|-7.12|2.78|1.0|125.65|1.0|-4.25|31.0|419.43|0.0|1.0|2.94|-4.33|4.67e-05|0.0196|2.88|0.0|0.0|7.599999999999999e-08|3.19e-05|5363.0|3.66|-1431.414099|-1431.38073|646.81|1111.29|330.55|231.18|485.64|0.38952|0.69411|0.1945|5.5253|-1431.2418630000002|6.3396|7.9172
12ah_a36|0|0|7.412764017000001|2|2|1.297013411|2|0.043848238|0.078459408|-0.41302559|0.0005016269999999|-0.083956827|10.95983779|-0.050147748|1|1|0.0010871589999999|-0.177407665|-0.444563583|1|0.835013502|0.011674455|-0.0861053359999999|0|0.828405275|-0.0758457179999999|-0.1059368909999999|-49.0084977|11.93961081|-0.038137281|-44.23111357|0.0|-31.66734951|80.02464883|-24.6427998|60.9481085|0.468162246|535.2826672|-1232.13999|2334.380591|-15.92320089|15.54445187|0.8802726820000001|6015.129321|-796.1600443|32.04915319|-347.5133554|629.5017194000001|0.0|0.0|1.0|0.0|2.0|0.0|17.0|-7.18|2.51|1.0|128.76|1.0|-4.44|30.0|415.88|0.0|1.0|2.34|-4.59|2.55e-05|0.0106|3.31|0.0|0.0|6.65e-08|2.77e-05|5.2259|3.79|-1692.545871|-1692.512868|682.21|1148.39|328.07|237.25|532.36|0.40051|0.6970000000000001|0.0485|5.4979|-1692.369929|7.6265|7.9586
9a_a40|0|1|7.515889085|0|0|0.604993021|0|0.0397333329999999|0.168990628|-0.136162501|0.01310675|0.157704751|10.31197235|-0.1720337089999999|2|2|0.011966382|0.016958188|-0.449508498|0|0.690568477|-0.394662853|-0.2990540869999999|1|0.937600185|-0.060029933|-0.072887601|-29.02567082|5.334966331|-0.032156295|-17.0405052|51.49564873|-14.03449109|39.45618424|-15.54821024|34.36063715|0.493941591|453.3484005|-528.6391483|336.39741360000005|-7.51786994|13.33684703|0.976056482|3991.317015|-255.607578|17.90285474|-356.33157|323.79254|0.0|1.0|0.0|1.0|0.0|3.28|20.0|-6.4|3.57|1.0|86.7|1.0|-5.49|21.0|291.37|0.0|1.0|4.08|-5.08|8.33e-06|0.00243|4.54|0.0|0.0|4.02e-07|0.000117|4.7066|4.07|-1217.955997|-1217.9449|515.96|847.69|373.53|263.42|411.01|0.47831|0.69958|0.3483|3.8656|-1217.873686|5.09|6.6696
4_a3|0|0|6.823286122000001|0|0|0.60501714|1|0.035345345|-0.08769805|-0.325334256|-0.008407895|0.057349653|10.31162267|0.0248526079999999|1|1|-0.007022144|0.127253753|-0.607238634|1|0.721302096|-0.028924747|0.041477445|1|0.74053397|-0.110345083|-0.098695428|-52.4583525|3.806447632|-0.039478171|-22.30593113|77.51574252|-24.93884341|51.71950126|-18.76802992|56.26480013|0.415852758|352.05186289999995|-656.8810472|1548.626215|-8.922372453|8.648209506|0.711897153|4885.093366|-312.2830359|21.6476858|-348.9230345|347.9532383|1.0|0.0|1.0|1.0|1.0|2.6|21.0|-7.53|3.07|1.0|92.65|1.0|-5.69|23.0|321.37|0.0|1.0|4.09|-5.09|8.22e-06|0.00264|4.3|0.0|0.0|2.950000000000001e-08|9.48e-06|5.9341|3.53|-1355.332318|-1355.303098|504.29|858.45|356.58|208.93|338.33|0.3809|0.6896|119.0|2.3542|-1355.239905|3.1409|5.9
47p_a18|0|0|7.03438793|1|1|1.25117677|0|0.037575758|0.025217016|-0.3775970529999999|0.00235332|-0.015960677|10.94701988|-0.049428094|0|0|0.003537135|-0.261349889|-0.441700685|0|0.726294118|0.030970815|-0.082977829|0|0.832954548|-0.06909945|-0.082580968|-51.14496913|5.913843751|-0.030813794|-45.24146169|48.48855261|-37.85569728|69.19354871|-22.80728054|57.05881288|0.488811071|616.5234972999999|-1528.087796|1367.4309119999998|-16.88114242|19.41290064|0.956223901|6726.61969|-1131.036542|27.86610962|-471.4248324|1011.163774|1.0|0.0|1.0|1.0|2.0|0.0|18.0|-9.03|3.13|3.0|144.53|1.0|-5.67|35.0|468.59|0.0|0.0|2.9|-5.27|5.34e-06|0.0025|4.35|0.0|0.0|9.35e-10|4.38e-07|3.2036|7.98|-1493.759811|-1493.731375|795.43|1391.71|387.01|387.01|732.84|0.6937800000000001|0.6937800000000001|595.0|3.6452|-1493.407248|4.6652|7.1938
1a_a18 (SB-431542)|0|0|7.423568444|1|1|1.430935835|1|0.035620155|0.1008839219999999|-0.766207981|-0.011639964|-0.029658865|10.94959842|-0.0492229479999999|1|1|-0.008385698|-0.033765606|-0.567791164|1|0.7462411859999999|-0.08530265|-0.083341531|0|0.5940412860000001|-0.126408788|-0.122555709|-74.98172333|19.58668728|-0.0462988229999999|-43.12110169|105.3125675|-44.47680367|87.15852628|-27.46300805|94.56841061|0.472443977|352.3666367|-1235.8353619999998|1890.195809|-16.29019397|14.26170773|0.895533283|5748.422847|-733.0587287000001|36.46179023|-300.3801761|513.4628663999999|1.0|1.0|1.0|1.0|2.0|2.35|23.0|-7.69|1.54|1.0|106.85|1.0|-4.52|29.0|384.39|0.0|1.0|2.85|-4.25|5.660000000000001e-05|0.0218|2.7|0.0|0.0|2.03e-08|7.81e-06|3.8208|4.57|-1292.588031|-1292.553086|620.23|1048.7|376.27|324.5|464.08|0.55409|0.69868|0.3347|5.9926|-1292.414518|8.8609|6.9031
22_a47|1|1|6.86171134|0|0|1.408617385|2|0.043695652|-0.029311184|-0.507802654|-0.006808306|-0.075111395|10.95023117|0.002716049|1|1|-0.004332497|-0.277479519|-0.538310301|2|0.831122912|-0.077787113|0.004104478|1|0.698649132|-0.080744803|-0.089280419|-47.64347429|13.07198749|-0.031744149|-31.08378631|54.21581266|-28.11203407|71.28682035|-18.73063655|60.71546178|0.4614909829999999|412.2379505|-842.8786448999999|1494.441201|-11.05201291|12.91589555|0.8569791179999999|6107.923371|-497.3405809|30.72175314|-129.440987|482.9384172|1.0|1.0|1.0|1.0|2.0|3.16|21.0|-7.69|2.97|1.0|104.64|1.0|-4.44|29.0|394.38|0.0|1.0|3.41|-4.38|4.16e-05|0.0164|3.0|0.0|0.0|2.06e-08|8.11e-06|4.7954|4.4|-1375.05033|-1375.021925|605.12|1027.32|308.65|258.55|466.95|0.50316|0.68312|0.0799|4.2485|-1374.914437|5.7009|9.0
13b_a30|0|0|7.412764017000001|2|2|0.604984129|2|0.041728395|-0.035340334|-0.627919307|-0.003436924|0.042845487|10.31162842|-0.0463169629999999|1|1|-0.002215642|0.006103754|-0.564815317|1|0.836520136|-0.045844862|-0.0771674659999999|0|0.694101802|-0.109962789|-0.113554975|-74.24619275|12.52854078|-0.042850934|-51.76819834|105.341977|-50.13056864|88.26741491|-28.93268471|86.77473353|0.454574838|468.6532296|-1533.432289|2319.48655|-19.53516918|16.1428924|0.8334321|6627.406474|-1035.363967|36.15271139|-405.5090587|713.7769663|0.0|0.0|1.0|0.0|2.0|0.0|17.0|-6.19|2.06|1.0|135.37|1.0|-5.01|32.0|441.51|0.0|0.0|1.91|-4.3|5e-05|0.0221|2.74|0.0|0.0|6.520000000000001e-07|0.000288|5.0501|4.54|-1744.492044|-1744.446479|721.48|1210.94|353.68|245.51|544.04|0.32563|0.6862699999999999|0.1415|3.8495|-1744.281763|5.3762|7.5901
10_a3|0|0|6.823286122000001|0|0|0.605017375|3|0.034166667|0.017396832|-0.381954986|-0.008037672|0.018484177|10.31162304|0.043342516|1|1|-0.005959152|-0.0947326669999999|-0.616256033|3|0.743072638|-0.140523767|0.078405316|1|0.747406318|-0.1007256719999999|-0.0989320009999999|-46.64544572|6.768239856|-0.0359752729999999|-21.21655855|80.37219813|-21.60122201|56.68388955|-16.65993003|53.41368558|0.41220272|346.1193167|-549.7776912|1361.86525|-7.715112198|8.559361451000001|0.701266803|4600.496436|-254.5987025|23.57661855|-191.3775649|311.6695405|1.0|0.0|1.0|1.0|1.0|1.78|21.0|-6.51|1.2|0.0|88.28|1.0|-4.3|22.0|305.36|0.0|1.0|2.52|-3.84|0.000145|0.0443|2.43|0.0|0.0|3.06e-07|9.35e-05|5375.0|1.64|-1288.190838|-1288.150029|498.67|830.63|362.35|230.67|323.26|0.41894|0.68995|0.0463|6.7458|-1288.097561|9.3381|5.1
13p_a6|0|0|6.842683282|0|0|1.424099253|2|0.042959184|0.072850973|-0.634109842|-0.008008339|-0.014153926|10.95053423|-0.072853186|1|1|-0.005708558|-0.116250572|-0.573014008|2|0.784414352|-0.059663359|-0.125636943|1|0.7265205579999999|-0.099405155|-0.107371897|-70.52421289|12.27472016|-0.03767435|-54.04422654|107.5669533|-50.03427239|89.17529231|-26.72853188|82.79893305|0.412828992|515.4389679999999|-1523.526317|3833.042283|-18.9628865|14.91957306|0.703081362|6590.216479|-1080.8845310000002|35.16646396|-369.0018868|794.5462391|1.0|1.0|1.0|1.0|3.0|2.34|27.0|-10.06|1.01|1.0|132.01|0.0|-5.09|34.0|449.51|0.0|1.0|2.96|-4.55|2.79e-05|0.0125|2.86|0.0|0.0|8.73e-11|3.92e-08|4.7973|4.73|-1463.08132|-1463.0432449999998|752.82|1283.98|415.53|258.45|573.39|0.47508|0.7056600000000001|0.0029|9.0546|-1462.804694|12163.0|7.0362
14a_a23|1|2|7.423568444|0|0|1.197964042|2|0.042992424|0.0446402609999999|-0.289658385|0.012219066|-0.0518554529999999|10.31321831|-0.071842463|2|2|0.011363191|-0.137733142|-0.446724057|2|0.7556436440000001|0.114693804|-0.123790952|1|0.918677038|-0.055677662|-0.08032517|-35.20994211|12.33442989|-0.0341809229999999|-32.12331106|80.54176247|-22.26638099|61.36268093|-21.61564087|47.54437201|0.462434482|580.9612768999999|-1015.935121|2173.7139190000003|-13.66949407|14.2658736|0.8602383659999999|6269.28943|-642.4662212000001|27.68542751|-355.0975547|601.8533922|0.0|1.0|1.0|1.0|1.0|2.86|26.0|-7.41|3.03|2.0|120.28|1.0|-5.47|30.0|411.48|0.0|0.0|3.37|-4.96|1.1e-05|0.0045299999999999|3.58|0.0|0.0|3.92e-08|1.6100000000000002e-05|3.7119|3.47|-1629.928331|-1629.90669|665.5|1134.02|334.02|334.02|516.58|0.6289100000000001|0.6289100000000001|0.3764|5.8775|-1629.748476|8.3962|8.5498
IN1233_a59|0|0|6.842683282|0|0|1.400923654|2|0.0396875|0.163548857|-0.5039851160000001|-0.005614194|-0.011236836|10.93301779|-0.054458882|1|1|-0.004071701|0.003282792|-0.597167441|2|0.74801464|-0.107446431|-0.090732503|1|0.7613246490000001|-0.092761756|-0.095213818|-61.73167061|7.208329477|-0.035929742|-42.16752524|83.1557517|-41.08157616|72.32484741|-23.91074854|68.94000009|0.483639625|506.6510632|-1267.269673|1822.396842|-15.91227368|15.51626497|0.936631949|6206.818668|-843.3505049|29.49046561|-413.6607749|712.1606951|1.0|1.0|1.0|1.0|2.0|2.76|27.0|-10.0|2.06|2.0|125.07|0.0|-5.59|32.0|419.48|0.0|1.0|3.78|-5.16|6.91e-06|0.0029|3.85|0.0|0.0|9.93e-11|4.17e-08|5.2194|5.35|-1352.351584|-1352.326849|703.47|1204.16|350.69|237.54|531.14|0.51285|0.6953699999999999|0.2011|5.4004|-1352.135303|7.6059|7.4685
6e_a40|0|1|8.421342866|1|2|0.604892975|0|0.039160494|-0.15110197|-0.69771706|-0.0026177839999999|0.103594243|10.30179954|-0.205140551|2|2|-0.002992481|-0.037027769|-0.6319354389999999|0|0.8361555479999999|-0.011405885|-0.289988439|1|0.74620476|-0.107312598|-0.1164147119999999|-70.52033811|10.43262695|-0.04873174|-50.27304895|35.33106374|-46.34235117|84.95203628|-32.02400144|80.95296505|0.441911406|490.3675161000001|-1377.032062|3854.417113|-21.04453212|12.49434084|0.791830204|7585.605268000001|-904.9148811|36.93694043|-482.3355765|587.7345677999999|0.0|1.0|0.0|1.0|1.0|3.16|14.0|-4.63|2.12|2.0|125.15|2.0|-7.76|30.0|476.98|1.0|1.0|3.68|-5.58|2.6e-06|0.00124|4.4|1.0|0.0|2.35e-05|0.0112|2.9549|8.35|-2831.191706|-2831.156883|671.95|1149.77|419.59|419.59|537.07|0.67187|0.67187|0.3625|8.3311|-2831.048968|11.5248|7.7447
19l_a38|0|0|7.412764017000001|2|2|1.297043246|2|0.04391253|0.103904811|-0.426895387|-0.001197042|-0.02967593|10.94917392|-0.032264281|1|1|0.000347207|-0.191751024|-0.4224000739999999|1|0.839953955|-0.032569307|-0.053823023|0|0.799611189|-0.079681862|-0.100870929|-51.6277901|14.19254029|-0.037359603|-42.34617024|19.55998015|-33.45088372|79.04689476|-24.20618316|65.82033039|0.430111845|518.0872716|-1307.13389|2934.313773|-15.68376675|11.52660233|0.754730276|6705.993411|-846.9234048000001|32.82593886|-307.64756780000005|696.3887025|0.0|1.0|1.0|1.0|3.0|2.7|17.0|-7.28|2.75|2.0|135.78|1.0|-4.94|32.0|427.48|0.0|1.0|3.22|-4.72|1.89e-05|0.00807|3.55|0.0|0.0|5.27e-08|2.25e-05|3.6709|4.08|-1409.5865199999998|-1409.557954|660.04|1164.34|369.66|337.75|502.31|0.69413|0.7044|0.0233|6.5627|-1409.37001|9026.0|7.8633
12ay_a36|0|0|7.412764017000001|2|2|1.2970434|2|0.043383838|0.1012005419999999|-0.404030255|0.003676818|0.012286423|10.9463292|-0.06756661|1|1|0.0045625|-0.169994208|-0.438622276|1|0.78699829|-0.109624825|-0.111814717|0|0.829406408|-0.074251203|-0.098945129|-48.12939044|11.67851857|-0.035337546|-41.57269314|8.677627506|-31.1973159|74.29343346|-22.90568368|59.80790901|0.4530143439999999|537.618563|-1282.718286|3238.138932|-14.84739041|11.82248632|0.828201506|6204.216872999999|-831.4538627999999|29.43551742|-360.6110621|729.1873176|0.0|0.0|1.0|0.0|2.0|0.0|17.0|-7.34|2.45|1.0|133.68|1.0|-4.54|31.0|409.49|0.0|1.0|2.42|-4.6|2.5e-05|0.0102|3.41|0.0|0.0|4.55e-08|1.86e-05|3.9348|3.79|-1311.576473|-1311.547668|674.33|1184.45|339.12|315.09|532.22|0.6727|0.6914|0.1464|6.2579|-1311.343228|9.1844|7.7447
4S4l_a46|0|1|7.825245291|1|1|1.134637095|1|0.049498645|-0.067419714|-0.255755434|0.0066560469999999|-0.060895366|10.94631401|-0.161358058|1|1|0.006162668|0.010799648|-0.3888343979999999|1|0.726535412|-0.001318857|-0.229089688|0|0.894782107|-0.090807851|-0.084663086|-49.45536962|3.888872426|-0.029881089|-25.11158939|0.0|-26.93416438|49.6055056|-16.27370639|53.34424204|0.469439238|487.3122681|-829.959026|1744.8220399999998|-8.862913904|10.68377935|0.884798257|4920.211524|-452.0086091|18.5362581|-411.6630752|579.2365607|1.0|1.0|1.0|1.0|1.0|3.19|17.0|-7.0|3.06|1.0|105.77|1.0|-5.28|26.0|347.45|0.0|1.0|4.08|-5.11|7.78e-06|0.0027|4.49|0.0|0.0|9.980000000000001e-08|3.47e-05|5.2929|4.99|-1092.753999|-1092.727031|583.76|1040.96|299.38|234.25|500.66|0.57885|0.6763600000000001|0.0614|2.5083|-1092.543641|2.8473|6.5834
