molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|NaasN|SRW09|nAHRing|nARing|BCUTs-1|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|BCUTi-1|n5aHRing|AATSC7i|MATS1i|MATS1c|n6aHRing|GATS1are|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|RPCS|FNSA1|FNSA2|DPSA5|PNSA4|GRAVp|PNSA2|WNSA4|FPSA1|GeomDiameter|WNSA2|DPSA4|FPSA5|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Molecular Mass|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50
12b_a40|0|0|0|0.0|1|7.515889085|0|0|0.604989475|0.084915315|-0.004650218|5.4161004020000005|-0.011794908|0|0.04020202|0.1744506639999999|-0.158107422|0.00779293|10.31197236|2|0.279216571|0.023952313|-0.513870527|0|0.58925219|-0.227384615|0.7818091140000001|0.522580798|1|0.955647156|-0.065048707|-0.074921647|-37.05091872|-42.67442006|6.17734692|80.72126798|0.044352844|25.26281742|48.17000329|0.856829717|-1.048903063|48.54667776|-19.27231874|2462.878448|-597.4418808999999|-10.97726831|0.143170283|16.09989085|-340.29531769999994|22.49258909|0.010309671|697.2702616|5.872257692000001|0.0|0.0|1.0|1.0|0.0|0.0|3.26|3.87|0.0|20.0|-8.39|58.43|5.07|2.0|101.78|2.0|-7.71|-4.09|415.12|5.79|1.95e-08|3.2500000000000004e-05|6.68|1.0|4.08e-09|1.7e-06|3407.0|6.27|3407.0|-3016.9868100000003|576.38|960.94|363.91|0.69476|0.69476|306.0|-0.14267|0.01251873|-3016.980996|0.04|7.3979
7e_a8|1|0|0|3.038052327|1|7.05012252|0|0|1.394799915|-0.150447714|-0.006027596|4.844187086|-0.052939815|0|0.043758865|-0.03633378|-0.289324602|0.0024398329999999|10.94332434|1|-0.075638618|0.034227147|-0.341022848|0|0.5897105770000001|-0.072307692|0.790500031|0.577394732|0|0.8291560379999999|-0.08608941|-0.0886889709999999|-51.4880895|-53.04282692|12.91806855|86.03149870000001|0.170843962|102.177831|63.5628736|0.776001552|-1.6850904519999998|64.23177694|-22.39586026|2605.914474|-1007.813711|-13.39444718|0.223998448|14.654025199999998|-602.7501229|28.86058693|0.018708212|1298.726412|11.18895001|1.0|0.0|1.0|0.0|0.0|1.0|3.2|3.38|0.04|23.0|-8.29|70.81|3.54|2.0|108.43|4.0|-5.75|-5.43|385.39|4.31|1.78e-06|0.00149|4.54|0.0|5.07e-09|1.95e-06|3.8142|6.32|3.2363|-1300.467069|622.23|1060.05|325.06|0.6998300000000001|0.70177|0.1522|-0.13577|0.02845071|-1300.327213|35.1|4.4547
12_a15|0|0|0|0.0|0|0.0|0|0|1.435689014|-0.071096525|-0.006620824|0.0|-0.0455566929999999|2|0.034285714|-0.035728911|-0.370766171|0.001740635|10.95973444|0|-0.054575504|-0.120626133|-0.380490701|2|0.8310685940000001|-0.019064393|0.769289315|0.7933685340000001|0|0.89637291|-0.061084417|-0.094209248|-39.00359933|-60.15445365|9.58943236|72.18361893|0.10362709|66.16793071|4.192089814|0.746489397|-1.695766456|70.6606311|-20.42981445|2613.57759|-1082.780166|-13.04483751|0.253510603|10.40571107|-691.376388|27.36785616|0.016453962|1450.496376|10.50617745|1.0|1.0|0.0|1.0|1.0|1.0|3.56|3.73|0.12|24.0|-9.82|56.27|2.87|2.0|119.95|6.0|-6.22|-4.97|397.47|4.7|5.99e-07|0.000584|5.29|0.0|1.51e-10|5.99e-08|4.4819|5.16|3.8538|-1281.060163|688.91|1177.81|276.63|0.50595|0.70444|0.0093|-0.15858|0.02694613|-1280.871722|4.0|8.3979
27b_a34|0|0|0|0.0|1|7.412764017000001|1|1|1.4335271040000002|-0.056026127|-0.010183855|5.351858133|-0.016803292|1|0.042739018|-0.106245942|-0.549928192|-0.001438963|10.95430634|1|-0.175834895|-0.194619338|-0.463926296|1|0.820914556|-0.047542374|0.8299950709999999|0.770240631|0|0.783431788|-0.08757938|-0.109683855|-57.66200309|-72.21552354|20.42417736|150.83624440000003|0.2165682119999999|142.58786569999998|540.9533124|0.712312759|-1.864625537|87.24055613|-24.553278|2835.31543|-1227.6639|-16.16580511|0.287687241|15.39406063|-808.2902556|34.46979951|0.022820627|1723.489976|15.02503259|1.0|1.0|1.0|1.0|1.0|1.0|3.54|3.66|0.12|23.0|-8.19|84.99|1.83|2.0|116.33|5.0|-5.23|-6.14|409.44|3.46|5.92e-06|0.00449|3.75|0.0|6.53e-09|2.67e-06|4.8168|4.33|4.0935|-1350.018975|691.97|1174.68|257.4|0.47412|0.70001|0.0252|-0.1652799999999999|0.03640275|-1349.873325|0.65|6.1871
3_a20 (SB-525334)|1|0|0|3.502142227|0|6.880384082000001|0|0|1.183765089|-0.048050965|-0.005492814|4.727387819|-0.053897691|2|0.0526353279999999|0.001821898|-0.274640708|0.001924142|10.95053359|1|0.002992397|-0.169090412|-0.500412918|2|0.818922083|-0.17447922|0.76423988|0.7835436240000001|1|0.8756647679999999|-0.061128029|-0.0917096759999999|-34.52869143|-51.80299691|6.965173618|43.70154849|0.1243352319999999|70.23182172|0.0|0.784910502|-1.375645142|58.45718743|-16.53287135|2243.481559|-777.0449536|-9.33873414|0.215089498|10.9543133|-438.9205046|21.06338405|0.0117802769999999|989.9790502999998|6.654190521|1.0|1.0|1.0|1.0|1.0|1.0|3.37|2.82|0.24|21.0|-8.39|67.35|1.69|1.0|104.59|3.0|-4.85|-5.74|343.42|3.63|1.42e-05|0.00647|3.74|0.0|4.07e-09|1.4e-06|4.9821|3.9|3.1728|-1086.56485|605.71|1030.31|248.86|0.49443|0.70168|0.1171|-0.13417|0.02096048|-1086.383308|162.0|6.7905
8c_a31|1|0|0|3.435435563|0|7.765993078999999|1|1|0.610137334|-0.012583838|-0.01275867|5.733341277|-0.104377029|0|0.03995098|-0.106461724|-0.574140137|-0.0080009219999999|10.31169969|2|-0.178276512|-0.053983462|-0.513257014|0|0.922486359|-0.1759864119999999|0.896193695|0.87237334|0|0.626072761|-0.1170607269999999|-0.128067781|-64.57121646|-70.64275621|16.3656112|133.3100368|0.3739272389999999|206.2599245|477.2277896000001|0.72308253|-1.66488115|82.77037329|-21.86561502|2251.08563|-918.3558307|-12.06117028|0.27691747|12.99457133|-506.5691518|30.23944586|0.021986076|1270.056726|12.12761708|1.0|1.0|1.0|1.0|1.0|2.0|3.51|2.9|0.29|16.0|-6.13|114.29|0.85|0.0|93.45|5.0|-4.42|-6.7|342.42|2.83|3.79e-05|0.0811|2.38|0.0|7.45e-07|0.0002549999999999|3.8492|1.83|3.8492|-1426.129055|595.67|981.89|322.11|0.7005|0.7005|0.2597|-0.15985|0.03744829|-1426.024361|0.81|6.0915
4i_a46|0|0|0|0.0|1|7.825245291|1|1|1.1346370959999998|-0.167244168|-0.002360192|5.587248657999999|-0.018872727|1|0.049498645|-0.088884176|-0.127450387|0.012211602|10.94638684|1|-0.133434195|-0.060809732|-0.22302552|1|0.7204791309999999|-0.17856753|0.786754478|0.7172344890000001|0|0.940780437|-0.058565229|-0.075208437|-33.08099617|-42.48203383|8.847405392999999|67.51603424|0.0592195629999999|33.45060163|70.55661087|0.763831778|-1.278543436|49.04951810000001|-14.16067794|2200.19132|-722.1945751000001|-7.998762108999999|0.2361682219999999|10.47951666|-407.9368676|18.53900079|0.011626803|945.4890404|6.567484272000001|1.0|0.0|1.0|1.0|1.0|0.0|3.88|3.5|0.36|17.0|-7.3|39.94|3.06|1.0|105.43|3.0|-4.94|-5.31|347.45|4.16|1.16e-05|0.00317|4.38|0.0|5.04e-08|1.75e-05|5.3987|4.46|4.4232|-1092.70435|611.74|1058.5|229.66|0.41877|0.69035|0.1421|-0.18438|0.02614355|-1092.528145|612.0|6.2132
40_a47|0|1|1|0.0|1|6.823286122000001|0|0|1.420389717|-0.246203395|-0.004181351|4.727387819|-0.0934645509999999|3|0.041396825|-0.056839794|-0.179798097|0.002212256|10.98214138|1|-0.130213023|-0.147591116|-0.2636225|3|0.63155995|0.090270598|0.900790582|0.607650682|1|0.812233678|-0.060416547|-0.083237511|-32.5926343|-44.90375373|11.04737121|54.11003524|0.1877663219999999|101.2934265|0.0|0.573656733|-1.082087641|60.97203959|-14.59371996|2313.85811|-583.7487984|-7.872806386000001|0.426343267|12.98034048|-314.91225539999994|25.43981292|0.029785575|1017.592517|16.06828586|0.0|1.0|1.0|1.0|1.0|1.0|3.07|2.91|0.11|21.0|-7.08|68.52|1.52|0.0|94.28|3.0|-3.26|-6.78|334.35|2.72|0.000546|0.0643|2.19|0.0|8.339999999999999e-08|2.79e-05|4.0176|2.06|3.7236|-1123.144637|571.5|947.27|308.6|0.67615|0.68492|0.2612|-0.15231|0.02983032|-1123.049869|4.0|8.4
15_a10|0|0|0|0.0|1|7.535296702|1|1|1.277647202|-0.166303336|-0.0027892409999999|5.4161004020000005|0.035396617|2|0.0353864729999999|-0.0729795729999999|-0.142251304|0.009882584|10.92966702|1|-0.1157120169999999|-0.085979341|-0.208590561|2|0.682616223|-0.105662909|0.863438637|0.635064845|1|0.915526801|-0.059234364|-0.074144604|-35.30133759|-44.18725043|11.09373722|33.67392858|0.084473199|50.34268476|108.7226878|0.646412648|-1.186313662|56.66229609|-15.04246823|2549.580207|-706.9960069|-8.964715924|0.353587352|11.23924661|-421.3416484|23.27068984|0.020932674|1093.722422|12.47504566|1.0|1.0|1.0|1.0|1.0|0.0|3.29|3.31|0.23|21.0|-8.3|52.83|2.53|2.0|111.21|5.0|-4.48|-6.07|390.87|3.83|3.32e-05|0.0061|3.68|0.0|5.01e-09|1.96e-06|5.7922|3.12|3.7997|-1604.057542|641.98|1086.19|214.05|0.41458|0.68543|0.1647|-0.1574|0.03039798|-1603.907391|33.0|7.4815
14b_a50|0|1|1|0.0|2|7.934155233999999|2|2|1.267593742|-0.092558007|-0.003935732|5.82008293|0.0228205129999999|2|0.030219907|-0.068176984|-0.255822608|0.010215823|10.94501788|2|-0.106938404|-0.1786649189999999|-0.306633966|1|0.74726683|-0.076752616|0.831689551|0.71456262|1|0.904076348|-0.050362464|-0.076674952|-33.02344264|-50.27694576|14.70317076|25.31245624|0.095923652|62.89861413|192.8987555|0.637281054|-1.533499045|64.58491917|-16.75898192|2967.872393|-1005.538915|-10.98912227|0.362718946|11.45638132|-659.347336|26.29763086|0.021820402|1577.857852|14.30797341|1.0|1.0|1.0|1.0|1.0|0.0|4.64|3.64|0.35|20.0|-6.86|66.99|2.32|2.0|128.39|7.0|-4.6|-6.5|441.52|3.6|2.51e-05|0.0074099999999999|3.51|0.0|1.3900000000000001e-07|6.12e-05|5.2834|3.05|4.0775|-1431.037684|718.64|1253.87|234.67|0.55594|0.64303|0.1373|-0.16874|0.03081037|-1430.7933859999998|6.58|5.1818
17f_a50|0|1|1|0.0|2|7.934155233999999|1|1|1.349854916|-0.2208117919999999|-0.002205848|5.82008293|0.022892513|1|0.03135101|-0.167275895|-0.125733326|0.012475826|10.94501702|2|-0.275290802|-0.247590736|-0.204651539|1|0.758335704|-0.2257632789999999|0.8314734309999999|0.7241275009999999|1|0.911458734|-0.047333916|-0.074859564|-29.10566644|-46.03121141|10.09339793|6.382846132999999|0.088541266|54.44410182|82.90209608|0.721122105|-1.422331714|55.9791334|-16.50175503|2582.272632|-874.5930167000001|-10.14694362|0.278877895|13.65716648|-537.7880119|22.88344084|0.01617809|1212.822364|9.947921993|1.0|1.0|1.0|1.0|1.0|0.0|3.81|2.97|0.26|20.0|-6.38|51.77|2.09|1.0|116.81|6.0|-3.58|-6.64|384.48|2.92|0.000266|0.0291|2.83|0.0|4.15e-07|0.00016|4.0664|2.5|4.0664|-1219.220465|653.63|1146.22|304.9|0.6573899999999999|0.6573899999999999|0.1708|-0.16784|0.0276719|-1219.02507|398.0|6.4001
LY364947_a10|1|0|0|2.949609552|0|6.605297921|0|0|1.390175303|-0.278922508|-0.00235945|4.59511985|-0.00390904|2|0.0273958329999999|0.0938628109999999|-0.084940213|0.007575|10.9303125|1|0.1625645369999999|0.04209715|-0.204644982|2|0.706034038|-0.012096774|0.7792035190000001|0.681525895|1|0.8431045490000001|-0.076999385|-0.075303751|-34.01613475|-33.26705198|4.275500834|144.7228349|0.156895451|69.31194102|0.0|0.7234846559999999|-0.978948758|41.53157099|-13.10520229|1896.845282|-432.4716757000001|-5.78950507|0.276515344|9.161732895|-191.05366730000003|18.1140017|0.018707677|597.7620559999999|8.264519015|1.0|1.0|0.0|1.0|1.0|1.0|2.46|1.88|0.0|21.0|-7.2|54.46|1.74|0.0|82.56|2.0|-3.54|-6.02|272.3|2.8|0.00029|0.0374|2.74|0.0|6.31e-08|1.7199999999999998e-05||||||||||||||59.0|7.2291
14v_a23|0|1|1|0.0|2|7.423568444|0|0|1.1979575059999998|0.135774541|-0.014768546|5.351858133|-0.299484129|2|0.047323232|0.055572317|-0.8122700340000001|-0.002390707|10.3132174|2|0.170475376|-0.0962526|-0.650246427|2|0.598213287|-0.022236834|0.845160857|0.575188253|1|0.916605275|-0.067342061|-0.09479984|-44.4776373|-62.61276875|13.08518422|78.86310829|0.083394725|55.07999434|0.912757854|0.788328659|-2.180396311|76.42257099|-28.23713101|3399.4261450000004|-1440.093681|-18.64987284|0.211671341|14.26610767|-951.143515|35.81898321|0.020908947|1826.768144|13.80980223|0.0|0.0|1.0|0.0|1.0|1.0|3.62|3.46|0.09|26.0|-7.95|114.25|3.04|2.0|126.97|7.0|-6.89|-5.94|495.48|4.28|1.29e-07|0.0004969999999999|4.76|0.0|1.12e-08|5.57e-06|3694.0|5.17|3694.0|-2042.161744|679.5|1206.02|335.64|0.6017100000000001|0.6017100000000001|348.0|-0.1524299999999999|0.02053833|-2041.998955|4.0|8.4001
5d_a40|0|0|0|0.0|1|8.149890544|0|1|0.6049133329999999|-0.071479892|-0.005662681|6.167516491000001|0.0418378229999999|0|0.044526749|-0.1031436519999999|-0.1868684619999999|0.007200253|10.31198333|2|-0.259985037|-0.0038660009999999|-0.399968083|0|0.496945486|0.0451110059999999|0.877722972|0.483934049|1|0.754010052|-0.086193996|-0.094277694|-39.55506228|-43.26473143|10.10860823|181.4728912|0.245989948|112.88660690000002|53.85026982|0.8111805740000001|-1.131332331|49.97858532|-17.30589257|1974.583878|-519.1767771000001|-7.94180214|0.188819426|12.09256826|-238.2540642|21.3342049|0.014630084|640.0261471|6.713853887999999|1.0|0.0|1.0|0.0|0.0|0.0|3.02|2.56|0.21|14.0|-4.32|75.5|2.25|0.0|74.11|3.0|-4.23|-5.94|287.31|3.1|5.9e-05|0.0436|2.98|0.0|4.7600000000000005e-05|0.0137|3.7374|4.61|3.7374|-1276.817151|473.48|765.69|331.74|0.69613|0.69613|0.4493|-0.14851|0.01667985|-1276.797751|19.0|7.7212
12c_a36|1|0|0|3.447900368|0|7.412764017000001|2|2|1.29696741|-0.087096843|-0.007667703|5.351858133|-0.04162109|2|0.040899471|0.085843909|-0.414055975|0.0005016269999999|10.95982545|1|0.146546059|-0.103922055|-0.4423430339999999|1|0.8941919290000001|-0.097861598|0.8741648479999999|0.8065052890000001|0|0.840733512|-0.073370864|-0.105624703|-47.12722334|-67.84435546|12.5779546|60.79111287|0.159266488|102.2992907|6.546878962999999|0.75500974|-1.901244658|80.22754474|-24.42396797|2785.47514|-1221.198398|-15.68788659|0.24499026|12.86584957|-784.3943293|32.34920911|0.019278991|1617.460455|12.38318928|1.0|0.0|0.0|1.0|0.0|2.0|4.74|0.0|0.14|17.0|-7.18|69.2|2.51|1.0|128.76|5.0|-4.44|-6.49|415.88|2.34|3.64e-05|0.0106|3.31|0.0|6.65e-08|2.77e-05|3.8436|3.79|3.8436|-1692.511019|672.74|1137.55|322.58|0.68913|0.68913|0.3927|-0.15835|0.02977602|-1692.3713309999998|9.0|8.0458
10_a47|0|0|0|0.0|0|0.0|0|0|1.381868067|-0.003570214|-0.008013899|0.0|-0.166367455|2|0.042276423|-0.169242585|-0.384667159|-0.008120645|10.93671036|0|-0.349569106|-0.021926603|-0.45272733|2|0.7027461220000001|0.011239977|0.8077565520000001|0.6913602740000001|1|0.841070966|-0.076311525|-0.0936757959999999|-40.80144983|-50.08559665|5.088920549|103.41137940000002|0.158929034|84.97451737|0.0|0.801882632|-1.592488524|57.59863288|-18.9212254|2355.515804|-851.455143|-10.11660331|0.198117368|10.66897998|-455.247149|23.5960035|0.014051737|1061.820157|7.51303623|1.0|1.0|0.0|1.0|1.0|2.0|3.02|2.97|0.09|22.0|-8.85|58.04|3.21|2.0|106.43|3.0|-5.75|-5.08|359.4|4.41|1.77e-06|0.00114|4.8|0.0|1.4199999999999999e-09|5.110000000000001e-07|5.7693|4.37|3.7236|-1188.3744|579.86|997.16|214.9|0.53909|0.69212|0.2175|-0.15445|0.03158831|-1188.244739|13.0|7.9
47n_a18|0|0|0|0.0|0|7.03438793|1|1|1.251175627|0.0487694459999999|-0.007614955|4.844187086|-0.057061805|0|0.032169312|0.017491759|-0.609196374|0.000271488|10.94702025|0|0.026244774|-0.172015161|-0.529441732|0|0.722991132|-0.083719099|0.726888951|0.711628292|0|0.792429396|-0.079299822|-0.091185806|-65.43887366|-75.24728669|8.759783644|61.29571241|0.207570604|171.2889916|47.476904100000006|0.783921929|-2.4620167580000003|86.44740177|-26.38541222|3349.802294|-2031.676741|-21.77346199|0.216078071|20.17045476|-1676.556573|33.65821422|0.01357247|2591.682495|11.20011508|1.0|1.0|0.0|1.0|1.0|3.0|4.69|0.0|0.31|18.0|-9.76|105.6|2.72|3.0|162.18|13.0|-6.02|-6.68|539.67|2.76|9.48e-07|0.00308|4.1|1.0|1.7500000000000002e-10|9.44e-08|3.2028|9.78|3.2028|-1743.299948|879.92|1565.37|387.11|0.6914600000000001|0.6914600000000001|0.5056|-0.13138|0.02839695|-1740.663577|64.0|7.1938
9c_a31|1|0|0|3.410619646|0|7.765993078999999|1|1|0.610135804|0.031715924|-0.013082561|5.733341277|-0.055520387|0|0.03482906|-0.0384827639999999|-0.6933757159999999|-0.003618466|10.311698300000002|2|-0.062065125|-0.138799714|-0.546598398|0|0.8083148840000001|-0.108617754|0.8856644770000001|0.770283733|0|0.6746901059999999|-0.103325018|-0.128097622|-65.84728287|-81.63444414|19.30758668|153.5739377|0.325309894|207.3144829|552.8237349999999|0.670716706|-1.7933667130000002|97.22026028|-22.85764436|2592.448925|-1142.882218|-14.56678943|0.329283294|15.04941978|-728.3394714|34.07943198|0.024456662|1703.9715989999995|15.58581614|1.0|1.0|1.0|1.0|1.0|2.0|3.66|3.09|0.35|16.0|-7.24|117.37|1.08|2.0|108.16|8.0|-5.23|-6.53|398.48|3.32|5.85e-06|0.0277|3.1|0.0|5.79e-08|2.31e-05|3849.0|4.94|3849.0|-1618.115927|691.3|1147.93|322.12|0.7007399999999999|0.7007399999999999|0.2554|-0.15975|0.04177078|-1617.9568470000002|0.42|6.3768
8b_a32|1|1|1|3.419952523|0|7.765993078999999|0|0|0.609420757|0.113639567|-0.009362305|5.733341277|-0.057200812|0|0.03995614|-0.008128765|-0.458752924|-0.003484915|10.31100269|3|-0.014634534|-0.0852122769999999|-0.577864293|0|0.788133615|-0.1152380009999999|0.8966299409999999|0.7507116140000001|1|0.788218098|-0.0850068559999999|-0.108971309|-53.36442734|-68.4085006|10.49093175|102.4297669|0.211781902|132.9495116|68.21751748|0.669149204|-1.4166270230000002|81.73293254|-19.33283713|2573.703546|-889.3105078|-12.13650094|0.330850796|14.95918599|-558.2790432999999|28.89166873|0.021225152|1329.016762|13.32443194|1.0|1.0|1.0|1.0|1.0|2.0|3.46|3.04|0.26|19.0|-7.65|140.04|1.1|1.0|110.47|7.0|-5.83|-6.44|397.52|3.61|1.47e-06|0.0161|3.22|0.0|2.23e-08|8.86e-06|3.5442|4.22|3.5442|-1880.735397|671.54|1114.24|349.82|0.70285|0.70285|0.2943|-0.14717|0.03602276|-1880.602014|12.0|7.9208
19_a34|0|0|0|0.0|1|7.412764017000001|1|1|1.438829424|-0.068004837|-0.013066507|5.351858133|-0.169170251|1|0.044107744|-0.189862762|-0.5357267960000001|-0.00802652|10.95957634|1|-0.29861864|-0.255220734|-0.469568766|1|0.866604574|-0.0235903339999999|0.8582665429999999|0.818710955|0|0.6399024520000001|-0.112877411|-0.1255804019999999|-56.30608209|-62.64265252|19.74799697|131.5318459|0.360097548|179.6256831|470.4453529|0.662289492|-1.506964829|77.38527508|-19.78189027|2127.363207|-751.7118302|-9.86770272|0.3377105079999999|10.31797048|-374.9727034|29.86894781|0.029554695|1135.020017|14.74262256|0.0|1.0|0.0|1.0|1.0|1.0|3.07|2.77|0.18|17.0|-5.03|69.4|1.08|0.0|83.95|3.0|-2.73|-7.01|309.32|2.1|0.00186|218.0|1.66|0.0|9.42e-06|0.00291|4.1721|2.7|4.1721|-1046.5747720000002|538.96|882.87|297.18|0.6897300000000001|0.6897300000000001|0.2189|-0.1735|0.03168624|-1046.509891|0.99|6.0044
12bf_a36|1|0|0|3.31325137|0|7.412764017000001|2|2|1.297043948|-0.024689509|-0.00832865|5.351858133|-0.119979424|2|0.044197531|0.140577067|-0.4497470879999999|-0.006877664|10.96022305|1|0.359635716|-0.098027247|-0.433281391|1|0.653741315|-0.033696875|0.892249657|0.632625562|0|0.6791406640000001|-0.090461753|-0.110255801|-58.26326838|-71.01192632|14.01562806|87.14111344|0.320859336|206.6543367|0.0|0.7054709690000001|-1.874348624|86.28460578|-24.14405495|2902.591295|-1207.2027480000002|-15.55034592|0.294529031|14.37031118|-777.5172959|34.22402339|0.02371294|1711.2011699999998|15.27267945|1.0|0.0|0.0|1.0|0.0|2.0|4.72|0.0|0.14|17.0|-7.12|69.2|2.78|1.0|123.67|5.0|-3.99|-6.8|417.41|2.44|0.000102|0.0201|2.88|0.0|7.599999999999999e-08|3.17e-05|5.2319|3.66|3874.0|-1431.380702|670.85|1120.94|236.98|0.40663|0.69292|0.4006|-0.15677|0.03299488|-1431.246893|6.0|8.2218
19_a20|1|0|0|3.423603867|0|6.842683282|0|0|1.4009239059999998|0.071176085|-0.0096278259999999|4.727387819|-0.130949446|3|0.0396875|0.103271147|-0.539158264|-0.006620594|10.94899558|1|0.175308615|-0.049177437|-0.5838248970000001|3|0.811128636|-0.105118869|0.8193003000000001|0.7741509329999999|1|0.754452534|-0.091725453|-0.099685049|-60.26825633|-65.49811346|8.964643162|339.8339889|0.245547466|161.33709|88.19441661|0.796070588|-1.993700989|75.98477124|-25.1915821|2849.084477|-1309.962269|-16.55214209|0.203929412|15.38668579|-860.7113887|31.64490997|0.0159602|1645.535318|10.48665779|1.0|1.0|1.0|1.0|1.0|2.0|3.49|2.49|0.08|27.0|-9.63|110.44|1.33|1.0|122.86|5.0|-4.89|-6.8|420.47|3.16|1.29e-05|0.0112|2.91|0.0|2.34e-10|9.86e-08|3.3616|5.01|3.3616|-1368.378274|687.79|1190.68|368.83|0.6987399999999999|0.6987399999999999|0.2998|-0.13903|0.03487615|-1368.190746|2.6|5585.0
4h_a46|0|0|0|0.0|1|7.825245291|1|1|0.3002050539999999|0.128214845|-0.005778576|5.587248657999999|-0.346835467|2|0.040890805|-0.057256598|-0.404500343|-0.0008161889999999|10.31928028|1|-0.0932537609999999|-0.030014575|-0.516344924|2|0.739180305|-0.134568896|0.7955809979999999|0.6947264059999999|0|0.767244275|-0.083155747|-0.083997524|-65.24476749|-65.90523417|7.900037181|105.2773797|0.232755725|182.6222935|19.09455432|0.805506105|-2.015940586|74.99848132|-23.9655397|3472.1185880000003|-1581.72562|-18.803584|0.194493895|15.85230406|-1241.036544|29.75215152|0.011589523|1963642.0|9.093247153|1.0|0.0|0.0|1.0|1.0|2.0|4.63|2.99|0.3|23.0|-9.2|124.17|2.27|2.0|142.08|6.0|-6.53|-6.38|502.63|3.82|2.97e-07|0.00104|4.21|1.0|6.38e-10|3.210000000000001e-07|4.2444|8.5|4.18|-1923.878801|792.61|1397.46|292.11|0.55428|0.54445|291.0|-0.1711599999999999|0.04729184|-1923.611784|229.0|6.6402
17a_a50|0|1|1|0.0|2|7.934155233999999|1|1|1.349854788|-0.186084687|-0.002225436|5.82008293|0.009691515|1|0.034142512|-0.109740063|-0.133526134|0.012510153|10.94500663|2|-0.178162528|-0.239713023|-0.220088198|1|0.762224122|-0.215448852|0.828062407|0.732114362|1|0.92300665|-0.045404408|-0.078525868|-29.57096251|-51.14229199|8.977762705|10.03717565|0.07699335|50.14419437|84.34722313|0.7899109000000001|-1.570517366|58.69900789|-18.26510428|2644.4486420000003|-1022.84584|-11.89568886|0.2100891|15.76161018|-666.1585759999999|23.12299308|0.011602876|1294.887612|7.556715901|1.0|1.0|1.0|1.0|1.0|0.0|3.95|3.29|0.29|20.0|-6.76|51.77|2.3|1.0|121.78|6.0|-3.99|-6.44|398.5|3.27|0.000102|0.0144|3.23|0.0|1.75e-07|6.97e-05|4.2478|3.08|4.0477|-1258.540058|705.96|1204.79|291.88|0.6244|0.66046|0.1754|-0.16724|0.02594911|-1258.322582|85.0|7.0706
12f_a31|1|0|0|3.4780522210000004|0|7.765993078999999|1|1|0.6101347579999999|0.034876922|-0.011835152|5.733341277|-0.033056721|0|0.03703252|0.043286807|-0.698273995|-0.00150321|10.31169747|2|0.068054139|-0.130400541|-0.551471017|0|0.805862937|-0.029803241|0.8530975000000001|0.7730604259999999|0|0.700992225|-0.097676974|-0.118239376|-68.14417693|-82.48950216|19.26761061|159.84734269999998|0.299007775|208.6022728|569.7325277000001|0.686882955|-1.891830012|97.53070764|-23.56842919|2710.311963|-1319.832035|-16.44247509|0.313117045|19.05849748|-920.7786053|34.31214739|0.021559868|1921.480254|15.04120547|1.0|1.0|1.0|1.0|1.0|2.0|3.86|3.78|0.41|16.0|-8.02|117.37|1.53|3.0|117.78|10.0|-5.98|-6.19|426.53|4.01|1.05e-06|0.0101|3.82|0.0|9.53e-09|4.06e-06|3.8305|5.39|3.8305|-1696.741889|755.33|1258.6|323.68|0.7006600000000001|0.7006600000000001|0.2664|-0.15894|0.04363832|-1696.53373|0.13|6.8861
