molecula|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|AATSC1s|MATS7i|SaaaC|AATSC1are|BCUTi-1|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|n6aHRing|GATS1are|MATS8s|SIC2|GATS1pe|nFaHRing|RASA|FNSA5|PBF|FPSA3|PNSA5|TPSA_x|WPSA3|RPCS|FNSA1|WNSA3|DPSA3|GeomPetitjeanIndex|TASA|MOMI-Z|WNSA4|FPSA1|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Lipinski|log P|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
16i_a32|7.765993078999999|0|0|0.6094207429999999|0.0|0.175604846|-0.0146198339999999|-0.075706124|-0.056414399|2.078707411|-0.003511776|10.31100265|3|-0.001202032|-0.098841478|-0.120440534|-0.211019184|0|0.801401734|0.134577711|0.8829894|0.761506727|1|0.801494708|-0.114771536|0.5368697929999999|0.022335011|-75.01027196|129.7354415|9.540239197|32.3175507|0.718964113|-36.62130242|70.6307405|0.455596751|523.8261846|3450.514629|-15.6876273|0.281035887|6355.471589|183.6742715|-784.3813651|33.38593207|0.021112022|636.0251562999999|13.79800742|1.0|1.0|1.0|1.0|2.0|3.16|0.3|19.0|-7.4|6.25|4.85|1.34|3.0|0.0|116.75|1.0|1.0|8.0|-7.03|5.0|-5.93|1.0|0.0|3.96|9.25e-08|0.0|4.99|692.96|342.72|0.2857|573.38|0.70222|0.70222|-1995.055356|-0.14976|3353.0|-0.2002|0.02810109|-1995.11813|4.0568|6.0|8.2596
6_a27|6.823286122000001|0|0|1.404458667|1.7996617540000002|0.1718757239999999|-0.007874167|-0.072298665|-0.237047381|1.221528093|0.00526746|10.93737136|1|0.0058042269999999|-0.406859288|-0.1044763|-0.179319226|2|0.678057835|-0.1322552659999999|0.849515128|0.650575651|1|0.785047616|-0.090025109|0.344065059|0.020552125|-44.56839492|106.4156743|5.03713293|61.10118428|0.774820398|-19.27068071|49.10012093|0.47262982|388.6505938|1193.992326|-8.486272674|0.2251796019999999|4761.820508|111.4788253|-330.96463430000006|22.12343713|0.01635203|373.9912084|8.095338503999999|0.0|0.0|0.0|0.0|1.0|2.49|0.11|21.0|-6.67|3.48|2.79|2.42|0.0|0.0|92.65|0.0|1.0|2.0|-3.62|4.0|-6.55|0.0|1.0|2.71|0.000242|0.0|4.27|526.9|299.55|0.1915|401.49|0.3366099999999999|0.61083|-1043.678244|-0.17007|2.7521|-218.0|0.02494141|-1043.728133|4.0597|1.0|9.0
12ax_a36|7.412764017000001|2|2|1.280791885|0.0|-0.0943348109999999|-0.007681676|-0.040458296|0.075802407|0.0|-0.001012333|10.958822|1|-0.00097037|0.128253871|-0.101451485|-0.1716508239999999|1|0.884841888|-0.0394369539999999|0.892249657|0.771220556|0|0.846837721|-0.107815607|0.375647684|0.019128091|-72.11700812|102.4490387|8.558226304|1.236876307|0.7648530440000001|-32.99232962|62.11847297|0.488501696|566.4430628|2471.295987|-17.36585896|0.235146956|6741.969187999999|157.28794140000002|-868.2929481000001|33.94393618|0.018645135|661.6709012|12.47158322|1.0|1.0|1.0|0.0|2.0|0.0|0.14|17.0|-7.76|3.99|3.19|2.99|2.0|0.0|133.77|0.0|1.0|5.0|-5.08|4.0|-6.26|0.0|1.0|2.82|8.27e-06|0.0|4.42|699.67|318.82|0.5236|552.0|0.39564|0.69348|-2151.910753|-0.15728|4.5001|-0.21324|0.03044421|-2151.971761|6.0402|12.0|7.9208
4_a4|7.535296702|1|1|1.343865392|2.156628874|-0.183963421|-0.001234337|0.0159331539999999|-0.0214610589999999|2.183056868|0.011760626|10.92992837|1|0.0112367389999999|-0.035166634|-0.048056862|-0.078747188|2|0.646069495|-0.168712277|0.8306695270000001|0.636572383|1|0.933276024|-0.06873731|0.456474074|0.008570112|-35.41518716|34.37786704|2.274995377|42.42341622|0.793717973|-13.21145879|30.05764711|0.398500394|480.8472306|1883.42405|-6.78950447|0.2062820269999999|4878.070704|106.2816773|-291.9486922|16.60255217|0.010586293|462.1867149|5.454324025|1.0|0.0|1.0|1.0|0.0|3.09|0.19|21.0|-7.57|4.52|4.41|2.66|1.0|0.0|100.08|0.0|1.0|2.0|-4.12|3.0|-5.79|0.0|1.0|3.64|7.59e-05|0.0|3.24|566.84|307.95|0.1106|394.06|0.55032|0.6010800000000001|-1029.763465|-0.1696599999999999|2.6814|-0.21831|0.02323788|-1029.813844|3.1195|78.0|7.1079
13b_a50|7.934155233999999|2|2|1.267593379|4.253030728|-0.067327798|-0.003876697|0.010464577|-0.0204949039999999|2.117002752|0.010435712|10.94500743|2|0.011379776|-0.03182432|-0.173463805|-0.269353185|1|0.749187803|-0.041506802|0.828965118|0.71935296|1|0.906164013|-0.080785633|0.435064196|0.019899348|-57.74541064|67.07377798|10.16729727|150.45293569999998|0.700410304|-26.31826007|51.04317051|0.4321103879999999|647.7242444|2147.355856|-13.75876844|0.299589696|6639.077063000001|214.1461224|-866.8024118999999|27.48170624|0.017277404|900.2031356000001|12.34985404|1.0|1.0|1.0|1.0|0.0|4.17|0.37|20.0|-7.23|4.24|5.12|2.52|2.0|0.0|133.36|0.0|1.0|7.0|-5.02|5.0|-6.3|0.0|0.0|3.99|9.65e-06|0.0|3.63|780.4|301.22|0.1589|617.26|0.65332|0.63872|-1470.039226|-0.1701599999999999|5.5271|-0.19622|0.03156473|1470.104535|7.1645|1.83|5.7375
9_a15|0.0|0|0|1.419941378|0.0|-0.217598467|-0.009923019|-0.042227775|0.096418279|0.0|1.7800000000000002e-05|10.95880687|0|0.003160815|0.140072812|-0.203104439|-0.295062413|1|0.85357243|0.088615068|0.742680335|0.8105478740000001|0|0.846156316|-0.11668349|0.416635119|0.032464905|-65.07462414|85.79894134|10.09761131|54.69975317|0.51257747|-22.92354152|59.20930631|0.4517825079999999|471.903131|1689.926339|-8.88789863|0.48742253|5375.400861|271.83655510000006|-435.5070329|31.09118831|0.03598612|532.0914339999999|20.06953345|1.0|1.0|0.0|1.0|1.0|3.37|0.19|18.0|-7.57|3.9|4.95|1.96|2.0|0.0|104.74|0.0|1.0|7.0|-5.25|5.0|-5.52|0.0|1.0|3.69|5.63e-06|0.0|3.36|588.55|330.74|0.2693|507.33|0.6512399999999999|0.70552|-1223.463757|-0.1565099999999999|1.4625|-0.1824|0.01773342|-1223.522216|2188.0|107.0|6.9706
9b_a31|7.765993078999999|1|1|0.610136326|0.0|0.010411229|-0.0141390689999999|-0.070525429|-0.045938305|0.0|-0.0050444109999999|10.31169871|2|-0.001981487|-0.075191042|-0.143280211|-0.2345186269999999|0|0.811212624|0.01752821|0.899394425|0.77051712|0|0.669120552|-0.131125311|0.241728566|0.034595809|-80.40427495|202.8908225|13.00794571|552.0968813|0.689175183|-39.08032306|84.94685678|0.469546953|410.2957125|1711.969694|-14.68594601|0.310824817|5524.468603|190.5935925|-690.2394625|34.75199071|0.025089192|524.0230338|15.38435497|1.0|1.0|1.0|1.0|2.0|2.76|0.32|16.0|-6.84|5.26|3.5|0.86|1.0|0.0|103.36|0.0|1.0|7.0|-4.76|5.0|-6.77|0.0|0.0|3.0|1.76e-05|0.0|4.69|663.06|322.58|0.2732|562.68|0.41622|0.70102|-1578.604164|-0.15907|5.2851|-0.2013599999999999|0.03769117|-1578.665571|6.8028|63.0|7.2007
12aa_a30|7.412764017000001|2|2|0.604983643|0.0|-0.101407312|-0.008848121|-0.028524865|-0.014017531|0.0|0.003529389|10.31162784|1|0.005111479|-0.023695642|-0.12254489|-0.207153446|1|0.8397577820000001|0.024991407|0.855880335|0.794193541|0|0.8126513129999999|-0.101368383|0.418522684|0.030906491|-70.79444906|130.84205079999998|15.0745057|0.0|0.630759573|-38.06478415|76.08850600000001|0.4659424379999999|567.5458219999999|2455.130164|-16.48066156|0.369240427|6944.511023|257.8730361|-939.3977091|37.41227352|0.029670025|792.3440337000001|20.72118575|1.0|1.0|1.0|1.0|1.0|0.0|0.21|17.0|-6.83|3.94|2.63|2.2|2.0|0.0|140.26|0.0|1.0|7.0|-5.61|6.0|-6.39|0.0|0.0|2.52|2.47e-06|0.0|3.34|748.78|357.9|0.1667|605.07|0.30341|0.68642|-1804.516348|-0.1472099999999999|5.8962|-0.19687|0.03443621|-1804.582558|6.4878|8.0|8.1135
5a_a50|7.927685046000001|1|1|1.3972442980000002|4.202707546|-0.203248487|-0.00148647|-0.017108794|0.017227585|2.475383677|0.012640587|10.93256969|2|0.01228899|0.028229556|-0.102607753|-0.168135655|1|0.699970832|-0.132977171|0.847812674|0.6759066159999999|1|0.969892876|-0.065209836|0.2814514|0.010185297|-34.7974024|16.06582337|2.900288114|60.04351409|0.66527517|-11.08625592|26.21058426|0.4528093929999999|517.556163|1605.985157|-6.477439183|0.33472483|4770.917486|178.61652859999998|-278.5298849|18.24602704|0.017576522|462.1867149|9.379218813|1.0|1.0|1.0|1.0|0.0|3.28|0.14|20.0|-6.24|3.66|4.33|2.62|0.0|0.0|101.86|0.0|1.0|2.0|-3.89|2.0|-5.83|0.0|1.0|3.47|0.000129|0.0|3.39|582.98|308.73|0.2735|455.34|0.39948|0.6725399999999999|-1029.734933|-0.16659|3.9843|-0.19146|0.02452028|-1029.786489|5649.0|4.1|5.3872
12_a1|7.423568444|1|1|1.430936075|0.0|-0.0455890429999999|-0.011221829|-0.02164054|0.076867966|0.0|-0.0038943009999999|10.94945122|1|-0.001416381|0.127560614|-0.104622651|-0.173618873|1|0.8016064479999999|-0.045776997|0.817998205|0.7534284040000001|0|0.765121385|-0.104724018|0.210514881|0.033770552|-60.78517756|136.3310784|11.37734536|477.1158679|0.724666653|-32.50125347|75.59644237|0.46449367|444.1009824|1825.150911|-13.44063462|0.275333347|5468.378562|159.81230209999998|-564.5066541|31.95435864|0.024485753|473.040639|14.21231622|1.0|1.0|1.0|1.0|1.0|2.72|0.05|23.0|-8.2|4.87|4.41|1.67|2.0|0.0|103.47|0.0|1.0|3.0|-4.98|5.0|-6.02|0.0|0.0|3.44|1.04e-05|0.0|3.67|607.42|390.57|0.5867|482.51|0.69114|0.69763|-1215.922313|-0.12874|7.7454|-0.19916|0.0296752|-1215.975876|10.1801|2.95|5.5302
7g_a8|7.535296702|1|1|1.39137419|1.336155045|-0.092384028|-0.01002363|-0.067360394|-0.030968098|0.0|-0.00087806|10.9431888|1|0.0002620309999999|-0.065174707|0.021974492|0.046246982|0|0.627990269|0.098510683|0.79995525|0.606087461|0|0.699376143|-0.1122315669999999|0.306360885|0.031841955|-67.26263865|180.1699331|11.43714084|56.75323443|0.806738465|-38.68948451|83.63914665|0.470618047|419.1502102|2079.55195|-16.4912131|0.193261535|6293.364606|115.825531|-725.6133762000001|34.10836993|0.018613449|509.2753308|11.15541466|1.0|1.0|1.0|0.0|1.0|3.32|0.04|23.0|-7.91|4.94|4.66|3.4|2.0|0.0|108.0|0.0|1.0|3.0|-5.78|5.0|-5.63|0.0|0.0|4.14|1.67e-06|0.0|6.26|620.67|327.36|0.5165|507.78|0.62073|0.62073|-1374.291597|-0.15508|10.1546|-0.22129|0.03974865|-1374.3479960000002|12.9547|21.03|4.6772
3t_a32|7.765993078999999|0|0|0.609420752|0.0|0.028840888|-0.006089333|-0.0338714389999999|0.028527045|2.141978747|9.83e-05|10.31100267|3|0.00139283|0.049606573|-0.070331512|-0.122301673|0|0.710773544|0.0466380209999999|0.870628579|0.687253845|1|0.828676243|-0.0974995|0.217914628|0.014242899|-61.58101978|108.2086749|5.681818647999999|0.0|0.684474482|-31.99514268|59.65287508|0.481726305|523.3947687|2241.507646|-10.75813179|0.315525518|5525.861115|199.2870037|-505.632194|24.88485469|0.017184783|582.0730423|10.85396804|1.0|1.0|1.0|1.0|1.0|3.41|0.3|19.0|-8.01|7.65|5.42|1.74|2.0|0.0|112.48|0.0|1.0|7.0|-6.48|4.0|-5.81|0.0|0.0|4.46|3.28e-07|0.0|5.5|677.16|349.38|0.2906|575.45|0.70286|0.70286|-1864.472646|-0.14739|1.2641|-0.20246|0.03020622|-1864.534478|2.7003|9.0|8.0458
1j_a5|6.605297921|0|0|1.427567371|0.0|-0.2031633169999999|-0.003981454|-0.010620031|-0.115553003|0.0|0.00683534|10.9487794|1|0.006957291|-0.190920568|-0.010807075|-0.0178558139999999|2|0.74740095|-0.084090414|0.848473695|0.717355058|0|0.847163872|-0.074505844|0.35883584|0.019690225|-40.01980349|82.09385267|5.680936139|1.471030887|0.616489567|-21.29338752|50.21875634|0.469085779|455.0425806|847.5275797|-7.86442482|0.383510433|4618.562904|205.997426|-322.4414176|23.74961767|0.026739895|422.96706330000006|14.36297201|1.0|1.0|1.0|1.0|1.0|2.66|0.05|23.0|-8.14|4.5|4.21|1.57|0.0|0.0|96.98|0.0|1.0|4.0|-4.03|4.0|-6.15|0.0|1.0|3.19|9.27e-05|0.0|2.61|572.47|300.89|0.5115|445.81|0.66182|0.6449|-1065.671975|-0.16813|2.2503|-0.20645|0.03246499|-1065.723417|3.0364|24.0|7.6198
12a_a30|7.412764017000001|2|2|0.604984824|0.0|0.033691224|-0.006711725|-0.02919335|-0.096804291|0.0|0.005050384|10.31162903|1|0.005458948|-0.171649606|-0.053309522|-0.094526372|1|0.8421237309999999|-0.031179517|0.842671963|0.7961424690000001|0|0.836214716|-0.097138462|0.337975309|0.016292604|-60.22802588|101.5505506|6.263330101|0.0|0.805190202|-29.59731695|57.83766054|0.469799116|518.4718832|2256.680391|-14.47983299|0.194809798|5936.682602000001|120.786445|-709.5118166|29.00398472|0.014884556|620.9195447000001|9.228758655|1.0|1.0|1.0|0.0|1.0|0.0|0.14|17.0|-6.64|3.84|2.62|2.82|2.0|0.0|127.28|0.0|1.0|5.0|-5.28|4.0|-5.98|0.0|0.0|2.63|5.23e-06|0.0|3.82|668.81|355.41|0.1866|507.17|0.35338|0.68599|-1575.538241|-0.1481|4.1875|-0.19994|0.03289568|-1575.597759|4.7368|11.0|7.9469
12z_a36|7.412764017000001|2|2|1.297044126|0.0|-0.065211069|-0.007671785|-0.010732275|0.037307819|0.0|-0.000143196|10.95429182|1|0.001194592|0.066366917|-0.098598933|-0.175397741|1|0.8707354620000001|0.103551178|0.886776351|0.8212311840000001|0|0.834790405|-0.102674964|0.492335362|0.023371488|-68.09761735|109.572766|10.28066212|15.59091678|0.712682362|-35.89088901|69.61568586|0.4577848329999999|553.6621150000001|2451.657399|-15.940487699999998|0.287317638|6146.834385|190.5590792|-812.9648725|33.72393432|0.0225782039999999|642.3830552000001|14.97465267|1.0|0.0|1.0|0.0|2.0|0.0|0.13|17.0|-6.66|2.75|1.76|1.38|1.0|0.0|128.47|0.0|1.0|5.0|-3.99|5.0|-7.08|0.0|0.0|1.66|0.000101|0.0|2.98|686.33|318.16|0.4423|539.36|0.69397|0.69397|-1324.951498|-0.1575|4814.0|-0.2139199999999999|0.03845474|-1325.010808|6.5892|5.0|8301.0
5b_a49|7.853604813|2|2|1.343848745|2.119588967|0.1108916119999999|-0.007610481|0.006327273|-0.072128552|1.926253727|0.005836378|10.9297646|1|0.006696215|-0.12209302|-0.13632743|-0.230763367|2|0.6981815290000001|-0.006962617|0.839963111|0.666573331|1|0.7969332440000001|-0.076494119|0.615864196|0.020319986|-44.96093486|119.3565117|7.020013952999999|69.07083505|0.608694741|-24.11745318|52.97561349|0.475192312|468.4133145|1956.050085|-8.985071494|0.3913052589999999|6225.302624|229.9974239|-449.2535747|25.1139312|0.025332565|612.7019937000001|14.88971719|0.0|1.0|1.0|1.0|1.0|2.9|0.22|21.0|-7.24|2.98|2.87|2.07|1.0|0.0|122.26|0.0|1.0|3.0|-3.3|4.0|-7.24|0.0|1.0|2.58|0.000496|0.0|3.92|633.92|316.21|0.4653|451.32|0.39241|0.65269|-1291.873941|-0.1624799999999999|4.3767|-0.20701|0.03937634|-1291.929428|6.1996|28.0|7.5528
12g_a36|7.412764017000001|2|2|1.2678464|0.0|-0.063344124|-0.006495469|-0.039008054|0.078990142|0.0|0.0042553209999999|10.95259306|1|0.005035022|0.130052038|-0.099596099|-0.163978382|1|0.901715152|-0.19532883|0.847239339|0.860667615|0|0.854238488|-0.097067302|0.374686587|0.017738779|-66.72829531|100.2028184|8.382969151000001|5.097410387|0.779745318|-32.74608471|59.82898654|0.473274545|587.240781|2476.712654|-16.3273005|0.2202546819999999|6223.658545|151.41267150000002|-963.3107298|30.45962398|0.015152386|799.5563855|10.41641087|1.0|1.0|1.0|1.0|2.0|0.0|0.24|17.0|-7.38|3.85|3.01|2.66|2.0|0.0|138.33|0.0|1.0|6.0|-4.95|4.0|-6.19|0.0|1.0|2.66|1.13e-05|0.0|4.21|724.32|333.83|0.4393|657.02|0.38165|0.70097|-1350.571683|-0.15236|5.912000000000001|-0.20288|0.0255597|-1350.633209|7.8537|14.0|7.8539
21_a4|7.535296702|1|1|1.399863887|2.026698554|-0.164057585|-0.003068098|-0.014982235|0.019346682|0.0|0.012362563|10.94593332|1|0.012094249|0.030586117|-0.063064908|-0.099702401|1|0.6952936|0.090847781|0.833191212|0.674434042|0|0.932146735|-0.076470465|0.239652988|0.020173071|-38.7880598|34.4171635|5.190159022|66.03320922|0.7231676229999999|-14.70482428|39.22285963|0.401240904|472.812128|1584.866567|-7.377915035|0.276832377|4277.396118|140.4174905|-295.1166014|20.11362507|0.017563978|387.240586|8.908964226|1.0|1.0|1.0|1.0|0.0|2.92|0.16|17.0|-5.94|3.7|3.85|2.32|0.0|0.0|91.59|0.0|2.0|3.0|-3.88|3.0|-5.76|0.0|1.0|3.23|0.000133|0.0|3.31|549.71|308.08|0.2016|446.0|0.5260600000000001|0.66476|-973.400097|-0.16632|2.0282|-0.19588|0.020181098|-973.449892|2.9409|121.0|6.9172
36_a18|7.03438793|2|2|1.25117638|0.0|0.050448408|-0.006407141|-0.020339784|-0.05224259|0.0|-0.000451777|10.94702093|0|0.000825855|-0.079553246|-0.079721028|-0.12139648|0|0.7343989059999999|-0.010091893|0.780206307|0.721836103|0|0.804293867|-0.079805761|0.3847791889999999|0.009440278|-56.82615305|139.3536816|4.786442152|83.34177364|0.812056067|-39.43509046|62.10402945|0.4751830729999999|572.70209|1547.485543|-16.1853561|0.187943933|6799.65027|133.8265619|-1052.048147|27.99124609|0.0123136069999999|975.4099618|8.767974776|1.0|0.0|1.0|1.0|3.0|0.0|0.28|18.0|-9.16|3.73|2.96|3.13|2.0|1.0|146.24|0.0|1.0|7.0|-5.68|3.0|-6.18|0.0|0.0|2.8|2.09e-06|0.0|7.75|769.73|388.57|0.4674|636.33|0.69372|0.69372|-1493.266344|-0.13133|1.9944|-0.18124|0.02564498|-1493.333297|2.7547|32.0|7.4949
17g_a50|7.934155233999999|2|2|1.320916184|4.377239517|-0.185924266|-0.002050512|0.052557574|-0.05611228|2.236579664|0.012079|10.94501702|2|0.01245647|-0.090386911|-0.200725906|-0.323333765|1|0.754575205|-0.10642733|0.7787714459999999|0.7276268779999999|1|0.920663175|-0.0706879109999999|0.442201795|0.014550016|-47.17463902|52.94662161|6.48022912|85.51402581|0.749948388|-21.45417373|41.85775712|0.467997084|614.4183967|1975.996014|-11.54365807|0.250051612|6102.424958|166.8756987|-692.6194843|23.06474408|0.013645282|829.3813984|9.106383854|0.0|1.0|1.0|1.0|0.0|3.66|0.35|20.0|-6.96|3.71|4.37|2.71|2.0|0.0|133.03|0.0|1.0|6.0|-4.46|4.0|-6.28|0.0|1.0|3.63|3.4899999999999995e-05|0.0|3.22|725.92|306.45|0.1795|559.45|0.6623600000000001|0.6623600000000001|-1335.631756|-0.16699|7.0584|-0.19929|0.02957267|-1335.693266|9.1706|246.0|6.6091
11a_a5|6.605297921|0|1|1.212363224|0.0|-0.165418719|-0.002894726|0.052217882|-0.052944925|0.0|0.007993132|10.94877942|1|0.007955512|-0.081506|0.003975818|0.006120569|2|0.7505403709999999|-0.037220974|0.773417838|0.7410766209999999|0|0.89343434|-0.071517578|0.369563711|0.011860803|-51.09940261|76.14130253|6.055083705|14.47576249|0.740865275|-32.96141947|54.60662289|0.466436596|638.3599998999999|1170.247903|-13.38721623|0.259134725|5756.783268|185.1520983|-803.2329738|25.28995251|0.014482324|835.912531|10.34763929|0.0|0.0|1.0|1.0|1.0|3.68|0.3|23.0|-9.93|6.38|6.55|3.05|2.0|0.0|128.51|0.0|1.0|7.0|-7.25|4.0|-4.54|1.0|0.0|5.16|5.63e-08|0.0|4.83|739.79|302.86|0.5473|578.8|0.6735|0.65363|-1339.493223|-0.16735|2.8611|-0.20429|0.03340977|-1339.555805|3.6525|81.0|7.0915
12d_a30|7.412764017000001|2|2|0.604984421|0.0|0.041181359|-0.006335328|-0.033312179|-0.092984185|0.0|0.005613018|10.31162861|1|0.005965451|-0.162129948|-0.053644471|-0.09353607|1|0.8414737059999999|-0.0430927579999999|0.8532172109999999|0.7991060659999999|0|0.843009925|-0.094239701|0.366319099|0.015567102|-60.88281322|101.4221952|6.497247279|0.0|0.8143892140000001|-30.81433963|57.75411196|0.4572733479999999|544.6198897999999|2323.480646|-15.12802292|0.185610786|6120.329513000001|119.91237920000002|-786.6571918999999|28.75340957|0.013424098|686.039456|8.672532296|1.0|1.0|1.0|0.0|1.0|0.0|0.17|17.0|-7.01|4.35|2.93|3.04|2.0|0.0|132.24|0.0|1.0|5.0|-5.66|4.0|-5.81|0.0|0.0|2.91|2.21e-06|0.0|4.14|695.57|356.06|149.0|545.94|0.68608|0.68608|-1614.831682|-0.1479099999999999|4434.0|-0.1991|0.03187624|-1614.894406|4.8843|11.0|7.9508
14_a15|0.0|0|0|1.43568901|0.0|-0.058775738|-0.006678826|-0.0455566929999999|-0.033982971|0.0|0.001740635|10.9597359|0|0.0034254209999999|-0.051908601|-0.120626133|-0.184255041|2|0.8310685940000001|-0.021648026|0.7651878809999999|0.7933685340000001|0|0.8870890459999999|-0.0917424269999999|0.7461324029999999|0.014672137|-58.79722871|72.36402409|6.026520371|2.923143027|0.770309725|-26.20964538|50.29869851|0.406717767|568.5306056|2731.841165|-13.50893838|0.229690275|5861.387612|147.2072638|-715.9737342999999|27.36334635|0.015286995|673.7288405|9.797353271|1.0|0.0|1.0|1.0|1.0|3.72|0.12|24.0|-9.82|5.32|6.3|2.87|2.0|0.0|119.95|0.0|1.0|6.0|-6.22|4.0|-4.97|1.0|0.0|4.7|5.99e-07|0.0|5.16|689.8|342.41|0.3131|584.18|0.65079|0.7055899999999999|-1280.809256|-0.14997|3.3596|-0.18379|0.03885834|-1280.87015|5.0894|0.03|7.5229
1o_a5|6.605297921|0|0|1.427566509|0.0|-0.266637757|-0.002633927|0.033105871|-0.033273504|0.0|0.0057302559999999|10.94518594|1|0.0051989459999999|-0.05876042|0.038275248|0.06759341|2|0.670787375|-0.003561205|0.85693939|0.650008224|0|0.88430372|-0.072886362|0.447318682|0.01325562|-39.1638643|62.16682117|3.827177229|1.01402588|0.699913551|-22.90899675|49.75766514|0.470590799|475.1609233|833.537568|-8.306775343|0.300086449|4572.818263|161.2447749|-315.657463|22.08761368|0.020380352|393.5487205|10.95092849|1.0|1.0|1.0|1.0|1.0|2.2|0.0|23.0|-8.11|4.48|4.07|1.23|0.0|0.0|95.2|0.0|1.0|3.0|-4.08|4.0|-6.3|0.0|0.0|2.95|8.329999999999999e-05|0.0|2.66|561.04|297.38|0.3966|443.88|0.4988899999999999|0.5492100000000001|-1043.422345|-0.1693599999999999|4.7435|-0.23973|0.04126499|-1043.472984|5.4919|35.0|7.4559
7e_a8|7.05012252|0|0|1.394799915|1.3496955309999998|-0.150447714|-0.006027596|-0.052939815|-0.03633378|0.0|0.0024398329999999|10.94332434|1|0.002669179|-0.075638618|0.034227147|0.07125309|0|0.5897105770000001|-0.023521398|0.790500031|0.577394732|0|0.8291560379999999|-0.0886889709999999|0.286669793|0.0215993429999999|-53.04282692|102.177831|7.725998682999999|63.5628736|0.776001552|-30.79383811|64.40615805|0.4742828629999999|495.8990914|2032.501296|-13.39444718|0.223998448|5808.479788000001|133.9683023|-602.7501229|28.86058693|0.018708212|519.5762494|11.18895001|1.0|1.0|0.0|0.0|1.0|3.38|0.04|23.0|-8.29|5.16|4.94|3.54|2.0|0.0|108.43|0.0|1.0|4.0|-5.75|4.0|-5.43|0.0|0.0|4.31|1.78e-06|0.0|6.32|622.23|383.1|0.3461|544.55|0.6998300000000001|0.70177|-1300.271093|-0.13577|9.0006|-0.2054699999999999|0.02845071|-1300.327213|11.4436|35.1|4.4547
4_a47|0.0|0|0|1.304464196|0.0|0.004633887|-0.008204735|-0.121159855|-0.158636969|1.42341819|-0.007295208|10.93671044|0|-0.006506051|-0.247195952|-0.017555555|-0.027355932|2|0.893350891|-0.095209424|0.84420422|0.8124901999999999|1|0.874200878|-0.092556319|0.444849947|0.007772995|-50.35610033|68.44214684|2.300808176|0.0|0.806604393|-23.10213311|46.69151766|0.402148382|475.6168721|1528.797085|-10.43683449|0.193395607|5254.939281|105.2186243|-438.3470487|23.78275706|0.013656479|471.7712484|7.429930428|1.0|0.0|1.0|1.0|2.0|3.01|0.05|22.0|-8.79|4.83|5.71|3.1|2.0|0.0|106.52|0.0|1.0|3.0|-5.92|3.0|-4.99|0.0|0.0|4.32|1.21e-06|0.0|4.44|576.9|332.4|0.2304|432.89|0.45947|0.69157|-1509.262887|-0.1547|4.2607|-0.21076|0.03342033|-1509.3147789999998|5.4892|32.0|7.5
47k_a18|7.03438793|1|1|1.25117623|0.0|0.029145635|-0.0067578909999999|-0.0605329409999999|-0.017736343|0.0|0.003047962|10.94702256|0|0.00493127|-0.026672956|-0.279965025|-0.421027889|0|0.762665453|0.022512501|0.753132457|0.737517943|0|0.8309354040000001|-0.088346874|0.3533268229999999|0.015080484|-69.77479556|133.5242222|9.406543039|58.77865447|0.7153044209999999|-40.74641317|63.50225571|0.467246896|656.2580564|2009.418849|-18.87222501|0.284695579|7575.637462000001|224.8475227|-1377.672426|33.40602576|0.018313855|1167.054827|14.46395816|1.0|1.0|1.0|1.0|2.0|0.0|0.3|18.0|-8.44|2.39|3.17|2.82|3.0|2.0|154.86|1.0|1.0|11.0|-5.84|4.0|-6.41|0.0|0.0|2.53|1.44e-06|1.0|8.45|842.29|400.63|0.5920000000000001|793.48|0.69823|0.69823|-1664.2657390000002|-0.1277599999999999|4.1818|-0.17135|0.02802749|-1664.341238|5.2253|29.0|7.5376
