molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|n6HRing|JGI4|MATS7i|SaaaC|AATSC1are|BCUTi-1|AATSC8d|AATSC1pe|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|RASA|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|RPSA|RPCS|FNSA1|WNSA3|DPSA5|PNSA4|GRAVp|TASA|PNSA2|WNSA4|FPSA1|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|pIC50
14ab_a23|0.0|0|1|1|7.423568444|0|0|1.197962873|3.4171257980000003|0.065530542|-0.0050415|5.351858133|2|0.04314059|0.021287386|0.7586471459999999|0.013012022|10.313217300000002|-0.03821899|0.012103325|-0.074579388|-0.13397874|-0.449699921|2|0.725358161|0.75434493|-0.085303124|0.92422233|-0.076243539|0.20155691|0.017974612|-35.59605095|-52.21744789|12.31039874|40.23721489|0.07577767|82.79560776|0.797837067|-24.37891748|61.60741239|-21.67516705|2941.47118|632.9786397|-1148.783854|-14.84482393|0.202162933|0.885272615|6654.62616|138.4567483|-786.7756682999999|27.16741043|0.013710439|-407.9635285|1439.872753|733.3886349999999|9.389964491|1.0|3.82|0.12|26.0|-8.16|4.4|4.63|2.0|1.0|130.22|1.0|-6.23|32.0|4.0|-5.92|439.54|0.0|5.9e-07|0.000259|0.0|0.0|3.07e-06|-0.07146|4.1|3.6587|-1708.563399|719.66|1238.27|338.88|0.3893|595.23|0.66532|0.3893|-0.21924|-1708.3414239999995|8.4721|8.4012
16d_a32|0.0|1|1|1|7.765993078999999|0|0|0.609420775|0.0|0.170838661|-0.017249763|5.733341277|0|0.0421759259999999|0.0115077539999999|2.07416189|-0.00839148|10.31100273|-0.0517549079999999|-0.005427254|-0.128753933|-0.239509216|-0.68301199|0|0.816581223|0.8575664540000001|0.107238939|0.7554930740000001|-0.11491796|0.41654798|0.032003415|-53.23914436|-67.07571683|18.67986534|115.2070109|0.244506926|48.61700321|0.615749698|-31.07481011|86.50964771|-21.26791022|2588.214866|440.9688416|-871.9843187999999|-12.41372827|0.384250302|0.79521327|5768.495166|224.2805611|-508.962859|34.53986301|0.0332953229999999|-135.1223777|1416.134383|457.7130665|19.43393087|1.0|3.01|0.18|19.0|-6.59|5.26|3.82|1.0|0.0|102.33|1.0|-5.65|26.0|5.0|-6.62|385.46|1.0|2.22e-06|0.000856|0.0|0.0|9.84e-05|-0.05068|3.78|3.6271|-1877.360551|621.59|1023.44|341.83|0.2915|489.97|0.70217|0.2915|-0.20077|-1877.241687|3.8853|8.1135
14c_a23|0.0|0|1|1|7.423568444|0|0|1.197962449|3.349976042|0.06596946|-0.005822256|5.351858133|2|0.043538647|0.04174584|0.743546646|0.010682694|10.31321813|-0.047410593|0.009263715|-0.071484865|-0.13187015|-0.4589840189999999|2|0.722187957|0.793551289|0.1114214519999999|0.922935039|-0.0800086929999999|0.2273163289999999|0.018842596|-37.73933093|-53.17009158|12.52192141|38.43627129|0.077064961|81.41541733|0.7834075309999999|-25.07982076|64.05912299|-22.62557089|2955.304496|613.3401089|-1063.401832|-15.0359121|0.2165924689999999|0.8505592829999999|6755.962581999999|143.9373772|-706.6878684999999|28.88097191|0.016385474|-376.6791777|1357.40568|633.3278634|10.88903141|1.0|3.6|0.05|26.0|-7.99|4.0|4.67|2.0|1.0|125.29|1.0|-6.13|31.0|4.0|-6.03|445.93|0.0|7.49e-07|0.000334|0.0|0.0|4.55e-06|-0.0795299999999999|4.1|3.7031|-2089.523959|693.64|1177.63|334.81|356.0|549.86|0.56781|356.0|-0.23096|-2089.354057|10.369000000000002|8.6253
13i_a6|0.0|1|0|0|7.412764017000001|1|1|1.430639411|0.0|0.0359494989999999|-0.0149593219999999|5.351858133|1|0.042560386|0.035242754|0.0|-0.011017781|10.95129557|-0.032549318|-0.007703306|-0.045418125|-0.073507141|-0.560601136|1|0.8744720490000001|0.7771558909999999|0.145878803|0.624046118|-0.129526268|0.221116773|0.031178586|-80.75190740000001|-86.83156133|20.90143854|181.1128483|0.375953882|116.5456632|0.783597763|-54.13430283|100.2320567|-31.12829557|2906.257489|418.3467934|-1649.799665|-20.86772478|0.216402237|0.753497905|6306.951561999999|145.07130039999998|-1105.989413|39.72483975|0.019989461|-380.2354072|2105.416507|673.8038326000001|13.40049533|1.0|2.7|0.12|23.0|-8.5|4.16|3.54|1.0|0.0|120.17|1.0|-5.03|32.0|5.0|-6.81|427.46|1.0|9.32e-06|0.00398|0.0|0.0|1.36e-06|-0.0481399999999999|4.94|3.5614|-1426.549926|703.43|1196.21|348.14|0.2903|553.67|0.7004600000000001|19.0|-0.19454|-1426.332492|10.1375|7.6778
9i_a24|0.0|1|0|0|7.153833802|0|0|1.4281889280000002|1.865102513|-0.113620183|-0.005148312|5.209486153|2|0.023854167|-0.076024544|0.0|0.004814196|10.96661275|-0.00532872|0.005891639|-0.1818753839999999|-0.336939175|-0.32068769|2|0.783500303|0.822658951|0.139004845|0.8260893640000001|-0.069812876|0.379687415|0.025118046|-30.56504777|-33.00219474|11.87389334|10.13249376|0.173910636|1.634015079|0.499238289|-14.44881966|51.05832236|-11.64783344|2061.729154|390.5119445|-396.0263368|-5.506205845|0.500761711|0.8806627109999999|4155.922671|236.7218826|-187.2109987|23.33121014|0.038195951|0.720157264|793.2611447|295.8603625|18.05612763|1.0|1.36|0.0|22.0|-6.05|2.42|2.72|0.0|0.0|82.17|1.0|-2.6|22.0|4.0|-7.01|288.31|0.0|0.00248|716.0|0.0|0.0|0.000258|-0.0473899999999999|1.13|4.1459|-945.286637|501.48|825.7|299.06|0.2373|363.15|0.58977|0.0029|-0.21943|-945.222448|9.2818|7.0555
12e_a31|0.0|1|0|0|7.765993078999999|1|1|0.610134116|0.0|0.052663358|-0.011519192|5.733341277|0|0.037098765|0.0113193469999999|0.0|-0.002475146|10.3116965|-0.015755876|-0.000231353|-0.08867626|-0.142921555|-0.543945776|0|0.7968154940000001|0.7761616020000001|-0.039273975|0.721526766|-0.1099563869999999|0.2642991189999999|0.02665413|-68.32948993|-79.96257188|19.38343763|166.1479229|0.2784732339999999|595.9853231000001|0.725120432|-49.6906263|95.1187282|-26.65419063|3040.353774|524.7092721|-1519.288866|-19.38348182|0.274879568|0.904247004|6557.418968999999|199.8981394|-1104.858464|36.75829484|0.020841203|-327.4245209|2095.222806|798.7285626|15.15615632|1.0|3.72|0.24|22.0|-9.31|6.69|5.4|3.0|0.0|129.38|1.0|-6.66|33.0|5.0|-5.93|460.55|1.0|2.16e-07|9.96e-05|0.0|0.0|2.27e-07|-0.03445|6.33|3.8391|-1809.899887|781.61|1308.13|322.95|0.3831|640.03|0.55114|0.2627|-0.19379|-1809.650069|3.4818|6.7696
12t_a30|0.0|0|0|0|7.412764017000001|2|2|0.60498454|0.0|0.073057637|-0.007755575|5.351858133|2|0.044197531|-0.0596036729999999|0.0|-0.002544958|10.31162892|-0.04950715|-0.001131023|-0.0546637159999999|-0.145315868|-0.464720444|1|0.609043558|0.83236194|-0.003937967|0.696413582|-0.1011561919999999|0.408290036|0.018862708|-58.89093185|-65.79920855|12.26965165|88.42093081|0.303586418|0.0|0.745705883|-38.30686627|78.8278828|-24.17113783|2976.648597|452.99711|-1184.385754|-15.72263361|0.254294117|0.804273481|6617.834146|165.4110479|-770.409047|32.41376848|0.020029588|-319.6492937|1588.274656|616.2856203|13.02867425|0.0|0.0|0.14|17.0|-7.16|4.67|3.74|2.0|0.0|127.19|1.0|-5.49|31.0|6.0|-6.06|434.46|0.0|3.24e-06|0.00141|0.0|0.0|3e-05|-0.05542|4.32|3.5457|-1774.2421780000002|677.85|1139.2|349.67|0.2094|527.87|0.33647|0.1561|-0.20571|-1774.077985|3.2145|8.0496
14p_a23|0.0|0|1|1|7.423568444|0|0|1.197963748|3.3252287430000003|0.044380583|-0.005975594|5.351858133|2|0.045165485|0.041987653|0.733042138|0.009895793|10.31321773|-0.053921569|0.009266617|-0.0686282459999999|-0.131709531|-0.4510651779999999|2|0.708395022|0.799506006|0.099883916|0.923455749|-0.080784473|0.223758613|0.0221104079999999|-42.52653933|-54.50240143|14.91710363|40.58186569|0.076544251|84.65359899|0.751638299|-28.69113861|67.36602512|-22.70933393|3010.721939|623.0226425|-1090.0480289999998|-15.32117727|0.248361701|0.868927227|6696.264498|167.5607773|-735.4165088|30.21311441|0.0190667019999999|-339.5427625|1450.229492|646.2584547|12.86362369|1.0|3.28|0.04|26.0|-7.47|3.4|3.89|1.0|1.0|125.0|1.0|-5.68|32.0|5.0|-6.62|436.49|0.0|2.09e-06|0.0009109999999999|0.0|0.0|1.4800000000000002e-05|-0.09046|3.29|3.5752|-1722.181612|699.61|1191.08|346.79|0.3802|573.24|0.6816|0.3802|-0.2382|-1721.994023|9986.0|8.5302
13b_a50|0.0|0|1|1|7.934155233999999|2|2|1.267593379|4.253030728|-0.067327798|-0.003876697|5.82008293|2|0.032833333|-0.0204949039999999|2.117002752|0.010435712|10.94500743|-0.054716607|0.011379776|-0.173463805|-0.269353185|-0.319215353|1|0.749187803|0.788327682|-0.041506802|0.906164013|-0.080785633|0.435064196|0.019899348|-36.81915624|-57.74541064|14.22401427|104.0753113|0.093835987|150.45293569999998|0.700410304|-26.31826007|70.09526468|-19.24847021|3036.874979|647.7242444|-1212.6536230000002|-13.75876844|0.299589696|0.7609056040000001|6639.077063000001|214.1461224|-866.8024118999999|27.48170624|0.017277404|-286.5057775|1731.347493|900.2031356000001|12.34985404|1.0|4.17|0.37|20.0|-7.23|4.24|5.12|2.0|0.0|133.36|1.0|-5.02|34.0|5.0|-6.3|455.55|0.0|9.65e-06|0.0044|0.0|0.0|2.68e-05|-0.02606|3.63|4.1161|-1470.401544|780.4|1339.39|301.22|0.1589|617.26|0.65332|0.1553|-0.19622|1470.104535|7.1645|5.7375
47s_a18|0.0|0|0|0|7.03438793|1|1|1.251176205|0.0|0.026229332|-0.0054038509999999|4.844187086|0|0.035632184|-0.026883417|0.0|0.002573931|10.94702059|-0.031515152|0.003686393|-0.168728915|-0.252119673|-0.46304239|0|0.724028067|0.712629555|0.0109557919999999|0.84543779|-0.08106112|0.306379663|0.008446541|-53.18668656|-61.36410696|6.394119331000001|10.92659868|0.15456221|51.05656345|0.820470855|-40.26287221|69.29837549|-22.79238258|2992.734821|640.0051571|-1595.466781|-17.25406952|0.179529145|0.901192009|6968.705069|135.90542109999998|-1207.784866|27.77963709|0.010481057|-485.1995077|1944.574596|1093.725912|7.934268528|1.0|0.0|0.3|18.0|-9.42|4.06|3.93|3.0|1.0|149.34|1.0|-5.95|36.0|3.0|-5.96|482.62|0.0|1.12e-06|0.000539|0.0|0.0|1.84e-07|-0.0491399999999999|8.41|3218.0|-1534.196027|809.4|1435.42|385.29|0.5203|736.36|0.6926800000000001|0.5203|-0.18109|-1533.809351|2.9991|6.2104
12ak_a36|0.0|1|0|0|7.412764017000001|2|2|1.270373882|0.0|-0.052930979|-0.006465433|5.351858133|2|0.041728395|0.12041792|0.0|0.0042553209999999|10.95268014|-0.015708652|0.005035022|-0.099596099|-0.163978382|-0.439326642|1|0.901715152|0.815627016|0.051506104|0.848705143|-0.091761476|0.537460657|0.019931266|-49.87483724|-66.15829243|14.3700664|113.186508|0.151294857|25.9007405|0.737439195|-35.95881638|79.17567486|-23.5478668|2830.816014|611.9003905000001|-1389.324141|-16.97756755|0.262560805|0.735576751|6240.396899|189.3013851|-1001.676485|31.93194362|0.018055095|-342.3783571000001|1883.984673|799.5563855|13.01738243|1.0|0.0|0.24|17.0|-7.38|3.85|3.01|2.0|0.0|138.33|1.0|-4.95|32.0|4.0|-6.19|423.51|1.0|1.13e-05|0.0047799999999999|0.0|0.0|1.7800000000000002e-05|-0.04929|4.21|3.6895|-1350.900117|730.3|1247.89|336.05|0.4514|584.05|0.69463|0.0001|-0.20204|-1350.637958|8.5394|7.3372
4p_a46|0.0|0|0|0|7.825245291|1|1|1.134636977|2.102855253|-0.060700883|-0.004413243|5.587248657999999|0|0.046533816|-0.164311513|0.0|0.005152176|10.93681929|-0.120823841|0.004453195|0.066453878|0.101602982|-0.369670745|0|0.7471162309999999|0.747019097|-0.078703563|0.905966489|-0.083274013|0.3352802039999999|0.007398064|-56.55658053|-47.22779946|4.195717966|175.10295019999998|0.094033511|0.0|0.87420565|-32.07534663|51.05047787|-17.00200781|2257.769185|513.8073925|-850.1003902999998|-9.642472876|0.12579435|0.734640605|5167.091582|71.34266847|-482.1236438|19.44852199|0.006740305|-424.4519674|972.4260993|585.8536976|3.822678404|0.0|3.2|0.3|17.0|-7.05|4.85|5.25|2.0|0.0|107.89|1.0|-5.8|27.0|3.0|-5.09|357.45|1.0|1.59e-06|0.000567|0.0|0.0|3.2e-05|-0.0393|4.89|3.9958|-1129.65844|598.19|1058.54|310.28|0.2363|537.47|0.43709|0.0763|-0.20749|-1129.4459470000002|5.3996|6.4672
14a_a22|0.0|0|0|0|6.842683282|0|0|1.4229176680000002|1.646649187|-0.136588366|-0.0050042229999999|4.727387819|2|0.038167849|0.021482585|1.614660505|0.005288335|10.9464374|-0.015194063|0.005757758|-0.097476465|-0.165471815|-0.360663314|2|0.6819423609999999|0.7392451729999999|-0.09744639|0.864077619|-0.081479363|0.490491034|0.021268761|-42.39063895|-55.51601021|14.49148204|93.21042936|0.135922381|60.38977977|0.7007904070000001|-28.88288575|70.33046351|-21.35231162|2885.858295|588.739773|-1110.320204|-14.54840956|0.299209593|0.8069597009999999|6348.976909|203.8666248|-756.5172972|30.46889826|0.021742777|-273.61731430000003|1584.38271|684.5377542|14.81445329|1.0|2.86|0.08|27.0|-9.21|3.87|4.31|1.0|0.0|124.05|1.0|-4.65|32.0|5.0|-6.61|420.47|1.0|2.25e-05|0.00945|0.0|0.0|2.56e-07|-0.06145|4.98|3.5707|-1368.35698|695.62|1191.81|347.23|0.3051|534.87|0.45928|0.0578|-0.21174|-1368.13858|6603.0|7.4202
17c_a50|0.0|0|1|1|7.934155233999999|2|2|1.347835869|4.349159921|-0.212075666|-0.002676029|5.82008293|2|0.031870748|0.021572081|2.193763306|0.01130519|10.94500663|-0.120904775|0.012222674|-0.233451925|-0.373205592|-0.2256811219999999|1|0.762883243|0.774994313|-0.139943634|0.89719894|-0.073693343|0.446454378|0.021675174|-35.70979598|-50.69922125|14.91199042|133.46240020000002|0.10280106|94.15397246|0.569750429|-24.567468100000003|66.7258111|-14.96042594|2951.495914|617.2509739|-912.5859825|-10.29240792|0.430249571|0.98033276|6438.380804|296.00120400000003|-627.8368834|26.25785813|0.0232952879999999|-95.97318605|1601.729346|849.1345426000001|16.02658985|1.0|3.61|0.35|20.0|-6.79|3.59|3.53|1.0|0.0|134.28|1.0|-3.8|33.0|5.0|-6.96|440.54|0.0|0.000158|0.0698|0.0|0.0|7.08e-05|-0.03121|2.74|4.0432|-1411.187392|746.5|1289.05|306.65|0.1814|596.23|0.63122|0.1801|-0.19818|-1410.902767|8.5146|7.1612
6_a4|0.0|0|0|0|7.535296702|1|1|1.271761557|2.170234316|-0.19701009|-0.001221193|5.4161004020000005|2|0.035283951|0.042096749|2.186806868|0.011457667|10.92992785|-0.208689928|0.01098094|-0.046166422|-0.073630392|-0.1738111839999999|2|0.664591856|0.76089528|-0.169533683|0.945545838|-0.0670158929999999|0.417868437|0.0077624059999999|-29.18838891|-37.33240845|4.324187697|14.1731579|0.054454162|45.93422613|0.814470803|-16.25991695|42.27020924|-13.71394596|2342.371538|526.7333132|-671.9833521|-7.639600225|0.1855291969999999|0.733355042|5256.215815|103.3523757|-374.340411|16.83786074|0.008863911|-350.36323230000005|825.0551765|578.2065561000001|4.937800786|1.0|3.45|0.26|21.0|-7.99|5.1|5.23|2.0|0.0|109.7|1.0|-4.91|27.0|3.0|-5.42|354.45|1.0|1.24e-05|0.0043799999999999|0.0|0.0|3.67e-06|-0.04867|4.11|4.0354|-1108.585859|613.83|1057.7|307.24|0.1235|453.87|0.60542|0.0772|-0.2182599999999999|-1108.392115|3.2192|5.8861
21b_a23|0.0|0|1|1|7.525639975|0|0|1.197963051|3.351726269|0.094654108|-0.005936474|5.4161004020000005|2|0.042455556|0.057405955|0.745297595|0.01055698|10.31321725|-0.0490623259999999|0.009872313|-0.069382957|-0.130528352|-0.481470603|2|0.7038407329999999|0.7717839409999999|0.131951284|0.930728719|-0.083105261|0.224930782|0.014481931|-41.81114831|-58.25915868|10.15224639|41.6766724|0.0692712809999999|86.65837165|0.812334718|-29.31080756|67.68046598|-23.98906534|3074.083057|652.4673795|-1223.442332|-16.81701905|0.187665282|0.846591917|6919.229053|131.5587155|-857.6679716|29.53101081|0.013439264|-437.9110924|1506.081551|712.6737861|9.421307298|1.0|3.42|0.08|26.0|-7.84|3.92|4.2|2.0|1.0|129.97|1.0|-6.1|33.0|5.0|-6.42|450.52|0.0|8.02e-07|0.000361|0.0|0.0|6.45e-06|-0.08401|3.57|3.6237|-1761.498874|735.65|1247.38|342.15|0.2607|611.6|0.57848|0.2333|-0.23434|-1761.294175|13.2567|7.0691
7_a27|0.0|0|0|0|6.842683282|0|0|1.40247849|3.330197625|0.112935885|-0.00601016|4.727387819|2|0.049625|-0.133453335|1.280380317|0.010291744|10.93773474|-0.056500475|0.010596392|-0.19575909|-0.323631281|-0.500327496|2|0.6413629129999999|0.801251575|0.147753647|0.85111414|-0.084531496|0.358145768|0.015099075|-34.09779211|-47.44936449|8.475438874|10.66993367|0.14888586|60.73467304|0.763564713|-19.13983132|55.55559276|-16.87088515|2334.058688|477.7488532|-759.1898319000001|-9.469994277|0.236435287|0.875167537|5082.120742|132.7162621|-426.1497425|22.09489892|0.014441323|-295.8891961|994.2704516|479.0078184|8.106228264|1.0|3.41|0.2|21.0|-6.61|3.32|3.05|0.0|0.0|102.36|1.0|-4.06|26.0|4.0|-6.26|345.4|1.0|8.66e-05|0.0299|0.0|0.0|8.4e-05|-0.04887|5.37|4.1205|-1122.455548|606.74|1016.96|300.9|0.4179|505.5|0.61278|0.4179|-0.2162099999999999|-1122.304359|6.3813|9.0
1a_a5|0.0|0|0|0|6.605297921|1|1|1.189701889|0.0|-0.271170445|-0.001785522|4.59511985|2|0.021346801|-0.075791863|0.0|0.005921049|10.9502215|-0.004213083|0.00549829|0.069867374|0.114184614|-0.179831877|2|0.8309401009999999|0.7427901179999999|0.11504495|0.833638233|-0.075618812|0.3602068089999999|0.008036994|-36.19957997|-38.07869556|4.047117885|83.60943679|0.166361767|0.0|0.7256546770000001|-18.22870183|46.38422909|-13.93123008|1940.139869|419.7878208000001|-571.1804334|-7.015226132|0.274345323|0.835734058|4005.068642|138.1496441|-287.62427139999994|19.19815378|0.016493595|-227.2618539|787.1243051|403.543273|8.305533524|1.0|0.0|0.16|18.0|-7.15|3.08|1.42|0.0|0.0|93.49|1.0|-2.6|23.0|4.0|-6.58|298.34|0.0|0.00253|755.0|0.0|0.0|2.13e-05|-0.1040099999999999|2.85|2.8332|-951.1394906|531.02|882.1|437.61|0.2109|386.8|0.44868|0.0126|-0.2262699999999999|-951.226623|6.7017|6.9706
12l_a30|0.0|0|0|0|7.412764017000001|2|2|0.60498366|0.0|0.157020295|-0.015371073|5.351858133|2|0.044036281|-0.102468864|0.0|-0.00695299|10.31162828|-0.02588969|-0.004395528|-0.077457998|-0.226973911|-0.640870513|1|0.613786308|0.830875659|-0.045411075|0.834279405|-0.109810463|0.37422435|0.0154211289999999|-63.31694493|-76.82494797|10.78883933|103.5499036|0.165720595|1.697908189|0.8218150790000001|-44.29742723|88.64610824|-31.88960104|3306.001879|583.6736326|-1690.148855|-22.31041443|0.178184921|0.861252543|7576.362669|124.6606826|-1182.451965|38.8038646|0.016896687|-450.2927313999999|2056.604824|696.6414817000001|11.82116027|0.0|0.0|0.17|17.0|-7.18|4.43|4.78|2.0|0.0|133.96|1.0|-6.7|34.0|8.0|-5.66|482.48|0.0|1.99e-07|9.63e-05|0.0|0.0|3.19e-05|-0.0545299999999999|5.52|3.5245|-1988.033039|729.17|1223.54|351.78|0.2294|574.72|0.39486|0.1574|-0.20397|-1987.848331|2.9851|7.2154
41_a18|0.0|0|0|0|7.03438793|2|2|1.251176562|0.0|0.115127295|-0.007587553|4.844187086|1|0.038034188|-0.089781154|0.0|-0.0034878|10.9470117|0.0212700929999999|-0.002136837|-0.005930813|-0.0091068809999999|-0.5421253970000001|0|0.759941674|0.733589101|-0.032217299|0.7349388459999999|-0.089139464|0.3888308139999999|0.009550224|-69.94639412|-61.10986894|6.547189171|347.42621339999994|0.2650611539999999|93.99687836|0.903239484|-47.95199341|65.83786886|-25.62671923|2899.29167|503.8398786|-1588.856592|-17.56848637|0.0967605159999999|0.950261611|6605.095612|66.33450764|-1089.246155|28.37200951|0.006896617|-552.8844577000001|1759.064589|897.5188662|4.727999916|1.0|0.0|0.25|18.0|-8.38|3.26|2.7|2.0|1.0|141.34|1.0|-5.56|34.0|3.0|-6.38|452.55|1.0|2.76e-06|0.00125|0.0|0.0|1.89e-06|-0.04956|7.34|3.2123|-1454.374793|736.59|1294.52|385.97|482.0|576.83|0.69308|482.0|-0.1814599999999999|-1454.045308|2721.0|6433.0
2_a3|0.0|0|0|0|6.823286122000001|0|0|0.605017347|0.0|0.176032668|-0.008422099|4.727387819|2|0.034166667|-0.103423993|2.058239271|-0.006049098|10.31162302|0.036301827|-0.0045709459999999|0.017902469|0.032450556|-0.568019422|2|0.899733837|0.769486995|-0.192034735|0.750206578|-0.09392632|0.4551292289999999|0.011938463|-49.07072207|-44.07280196|5.601853871|228.178656|0.249793422|74.89956423|0.727984269|-23.02532673|53.05538527|-15.55510657|2056.399995|352.0174726|-528.8736235|-7.298882022000001|0.272015731|0.845708123|4446.904467|127.637231|-248.1619888|21.36736636|0.019143348|-213.9529255|726.4904564|330.4083896|8.982583312000001|1.0|2.22|0.0|21.0|-6.89|4.34|4.01|0.0|0.0|90.49|1.0|-4.75|22.0|3.0|-5.93|304.37|1.0|1.7800000000000002e-05|0.0054|0.0|0.0|3.9500000000000005e-05|-0.06423|1.97|3.3354|-1272.143337|503.34|841.85|371.73|0.1824|340.69|0.37284|0.0962|-0.21028|-1272.04778|5.4999|5.4
13b_a6|0.0|1|0|0|7.412764017000001|1|1|1.430640379|0.0|-0.0411179|-0.011206134|5.351858133|1|0.042739018|0.060593678|0.0|-0.00460563|10.95129557|-0.064811009|-0.00194781|-0.10896749|-0.180339002|-0.490758329|1|0.850080948|0.7788169070000001|-0.029988734|0.7757172059999999|-0.112915801|0.202093555|0.032036214|-61.06841733|-74.04643339|21.00828557|154.7847961|0.2242827939999999|554.4007331|0.757233678|-40.04664055|87.39962829999999|-26.65671602|2821.72831|508.6895893|-1332.835801|-17.48058934|0.2427663219999999|0.69141956|6000.952027|159.1980937|-874.0294667999999|35.20276076|0.0203627189999999|-337.3706117|1760.1380379999998|627.4287311|13.35319491|1.0|2.85|0.12|23.0|-9.01|4.98|4.32|2.0|0.0|116.79|1.0|-5.51|31.0|5.0|-6.1|409.44|1.0|3.11e-06|0.0012699999999999|0.0|0.0|4e-07|-0.0525799999999999|4.04|3.6322|-1350.0903970000002|694.33|1167.21|341.35|0.7846|574.07|0.58026|0.2461|-0.20156|-1349.898848|13.5746|6.7595
12m_a36|0.0|1|0|0|7.412764017000001|2|2|1.297043522|0.0|0.013543656|-0.011502861|5.351858133|2|0.03912037|0.14264424|0.0|-0.006653538|10.95440733|-0.038386106|-0.004569485|-0.052743904|-0.090926893|-0.52644768|1|0.892815402|0.825587924|-0.075712087|0.711961428|-0.121074678|0.4493096629999999|0.022725561|-67.27772044|-81.19927925|15.24099981|42.78660249|0.288038572|107.233999|0.7471181240000001|-45.120107|96.11918789|-28.57011677|2925.315028|477.48014630000006|-1542.786306|-19.16067782|0.252881876|0.8702895190000001|6434.374756|169.596372|-1034.676602|38.24042793|0.0222467879999999|-331.4617713|2064.983108|689.2886595|14.91990864|0.0|0.0|0.13|17.0|-6.14|1.92|0.98|1.0|0.0|131.85|1.0|-4.1|32.0|5.0|-7.39|424.46|0.0|7.96e-05|0.0338|0.0|0.0|0.000305|-0.05114|3.88|3.8658|-1401.654499|692.4|1177.15|320.72|0.4718|505.51|0.69382|0.4718|-0.20993|-1401.446557|9.1003|7.5229
4r_a46|0.0|0|0|0|7.832410927000001|1|1|1.13129629|2.051582577|-0.173617329|-0.002826188|5.587248657999999|2|0.044728682|-0.15196733|0.0|0.006236535|10.96363493|-0.048758575|0.0061041|-0.055572881|-0.086905208|-0.246070691|2|0.7794598220000001|0.810646641|-0.077483502|0.8478197820000001|-0.081339886|0.261414008|0.011446215|-42.06465252|-43.14814202|6.071841742999999|176.18445569999997|0.152180218|0.0|0.7146312779999999|-22.31391864|51.22472631|-13.77068362|2137.47734|449.7405899|-647.2221302999999|-7.304896049|0.285368722|0.839885604|4775.760774|151.3787482|-343.3301143|19.26963463|0.015225417|-227.7097083|905.6728276|496.0386301|8.076584289|1.0|2.89|0.35|17.0|-6.25|3.56|3.43|0.0|0.0|97.9|1.0|-3.09|25.0|4.0|-6.83|334.41|0.0|0.00081|271.0|0.0|0.0|0.000188|-0.03073|2.3|4.5209|-1069.447946|571.75|986.04|274.25|0.1404|467.85|0.69085|0.1404|-0.2207199999999999|-1069.284137|3.5979|5.8499
15c_a10|0.0|0|0|0|7.535296702|2|2|1.343850105|2.154210861|-0.236118846|-0.002218445|5.4161004020000005|3|0.034807692|-0.06400528|2.063253638|0.01143745|10.92970798|0.0123939039999999|0.012271987|-0.226679901|-0.35845963|-0.1742732839999999|2|0.7655272009999999|0.7351096359999999|-0.03167553|0.904458517|-0.072537853|0.418835517|0.014703076|-32.5870313|-50.32840842|10.2013281|65.41494073|0.095541483|136.2098503|0.528228415|-22.60962187|66.5866765|-13.36848349|3012.018586|627.5338454|-855.5829431|-9.275357237|0.471771585|0.8158976029999999|6673.826433|327.3258326|-593.6228632|25.30814911|0.023432886|-39.17102961|1619.721543|924.9341455|16.25826809|1.0|4.09|0.37|21.0|-7.79|3.77|2.97|1.0|0.0|141.96|1.0|-3.85|34.0|6.0|-6.99|454.57|0.0|0.0001419999999999|0.0646|0.0|0.0|7.3e-06|-0.04724|2.2|3.6709|-1450.241475|762.21|1318.35|337.75|0.3939999999999999|595.63|-0.26999|0.0|-0.19463|-1450.201574|4.8283|7.0
