molecula|SddssS|n9FaHRing|n9FaRing|SssssC|NaasN|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|JGI4|SaaaC|ATSC1c|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|GATS1pe|FNSA5|PNSA3|PNSA5|PPSA3|RNCS|RPSA|FNSA4|RPCS|FNSA1|WNSA3|DPSA5|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|GeomDiameter|GeomShapeIndex|GRAV|DPSA4|FPSA5|DPSA1|DPSA2|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Molar refractivity|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Molecular Mass|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Volume|Oscillator Force (max. Transition)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
28_a34|0.0|0|0|0.0|1|1.454781307|1.767685185|0.000561166|-0.016942875|5.351858133|-0.206909349|0.04515873|0.0|-0.6946578940000001|10.9595763|-0.0500053959999999|1|1|-0.007544188|-0.189821204|-0.311884247|1|0.8318609690000001|0.798057295|0.092890802|-0.078146961|0.7829667309999999|-0.140864841|-66.89539627|-72.11491331|19.29162755|144.3404619|0.4540644379999999|-0.048190604|88.32197602|0.7298701059999999|-34.24669822|85.99382787|0.454339954|2252.098123|279.4884473|1689.357471|10.28760365|0.832642882|4803.256974|33.80175623|0.0271102189999999|-235.3612529|1284.466737|1.0|1.0|1.0|1.0|3.02|2.55|0.12|-4.78|2.07|92.26|0.88|85.92|3.0|24.0|-7.04|322.32|0.0|-3.25|0.000533|172.0|0.000565|182.0|1.72|0.0|0.0|1.66e-05|4.11|4.2857|-1100.760824|896.02|0.2043|0.69263|-0.17802|6.4596|-0.21698|0.03680411|-1100.704833|8.5886|3.82|5.4179
14b_a23|0.0|1|1|0.0|2|1.197963628|3.2475997860000003|0.065240838|-0.006248709|5.351858133|-0.071396109|0.043538647|0.716540473|-0.318684138|10.31321824|-0.047410593|2|2|0.0075222369999999|-0.073945564|-0.17267308|2|0.616699629|0.793551289|-0.00399443|-0.077808321|0.5935522360000001|-0.082441268|-41.01458464|-53.44429544|13.26014776|40.76245006|0.153740341|-0.03508139|84.36242964|0.774359705|-26.58857202|64.97993029|0.450973737|2943.803333|548.6057241000001|2280.830615|14.26820636|0.821406493|6622.129837|29.36910744|0.01779446|-355.71896410000005|1380.34805|0.0|1.0|1.0|1.0|3.42|3.44|0.05|-7.67|4.58|105.02|3.4|120.24|5.0|31.0|-6.31|429.47|0.0|-5.11|2.66e-06|0.00114|7.73e-06|0.00332|3.68|0.0|0.0|2.14e-08|3.72|3706.0|-1729.139722|1142.37|0.3603|0.58097|-0.15064|6.8752|-0.2286699999999999|0.02188578|-1728.9893510000002|9.7544|4.0|8.3536
17_a3|0.0|0|0|0.0|0|0.605019885|0.0|0.188373421|-0.009450704|4.727387819|-0.118246266|0.047430556|1.709081227|-0.349676046|10.31163036|-0.0510707059999999|1|1|-0.006696449|0.020589494|0.036673175|2|0.881253042|0.767641592|0.1789147639999999|-0.085686119|0.773152968|-0.096067661|-50.20132919|-48.88298017|5.251911643|234.4907116|0.1969243769999999|-0.039557272|76.17242478|0.840062179|-25.54439812|55.39769571|0.4383349039999999|2196.728425|408.6362608|1667.279771|11.12358659|0.780420408|4839.543958|23.96047156|0.012803096|-346.0738521|814.6560331000001|1.0|1.0|1.0|1.0|3.13|2.65|0.0|-7.48|4.66|92.93|2.37|95.5|2.0|23.0|-5.61|338.81|0.0|-4.93|2.96e-06|1.0|1.18e-05|0.00399|3.88|0.0|0.0|3.28e-08|3.57|3.2102|-1731.72355|891.3|0.4062|0.69481|-0.13155|3.8077|-0.20359|0.02878063|-1731.663157|4.8815|23.0|7.6383
12ag_a36|0.0|0|0|0.0|0|1.297044434|0.0|-0.042092217|-0.008085448|5.351858133|-0.084341564|0.043848238|0.0|-0.436614203|10.96052849|-0.050147748|1|1|-0.000673716|-0.101303149|-0.217394466|1|0.724208473|0.835013502|0.124298337|-0.0861053359999999|0.698414933|-0.1081585809999999|-52.02834065|-68.21579593|12.70005599|85.84609192|0.253169906|-0.038937089|0.0|0.758897371|-32.81436052|80.40643223|0.481286668|2773.9654530000003|471.0269757|2305.164626|15.13240062|0.927847116|5906.879919|32.35969377|0.019328689|-326.5740008|1617.984688|0.0|0.0|0.0|2.0|4.72|0.0|0.14|-6.86|2.44|69.2|2.4|123.71|5.0|30.0|-6.76|399.42|1.0|-4.16|0.000129|0.0515|6.96e-05|0.0278|2.78|0.0|0.0|1.4e-07|3.41|3.7117|-1332.151245|1112.68|0.4286|0.7024699999999999|-0.15227|5.4459|-0.20713|0.03415856|-1332.003616|7.5405|17.0|7.7696
35_a18|0.0|0|0|0.0|0|1.251175948|0.0|0.068150325|-0.00622005|4.844187086|-0.020425504|0.03531746|0.0|-0.44784362|10.94702087|-0.0098863069999999|0|0|0.00113101|-0.078001173|-0.117857059|0|0.737701788|0.737094825|-0.032017257|-0.017913121|0.7277482059999999|-0.084219749|-60.302584200000005|-62.06945887|6.525195505|118.7214377|0.199234055|-0.033440195|74.92670772|0.874573807|-44.44264921|67.9315105|0.465531336|3038.429834|590.1597827|1761.858479|17.18442554|0.87101708|6995.248058|28.17969862|0.007954001|-552.1173777|1916.219506|1.0|0.0|1.0|3.0|4.3|0.0|0.3|-9.55|3.35|85.29|3.33|151.05|8.0|36.0|-6.0|480.6|0.0|-5.53|8.629999999999999e-07|0.000415|2.96e-06|0.0014199999999999|4.55|0.0|0.0|2.81e-10|8.09|3.2146|-1532.976969|1400.62|0.4981|0.69279|-132.0|2.0432|-0.18079|0.02600607|-1532.627182|2.7788|24.0|7.6198
8g_a8|0.0|0|0|0.0|1|1.39137364|1.298078704|-0.000475415|-0.014340328|5.4161004020000005|-0.222784884|0.0438779959999999|0.0|-0.731356723|10.94318883|-0.03728368|1|1|-0.007047583|0.0794962979999999|0.162134281|0|0.6784762320000001|0.734188081|0.121495775|-0.0571942009999999|0.656457444|-0.129695841|-83.78686741|-79.46906035|19.06725815|171.26571059999998|0.466064505|-0.052430233|67.54104396|0.8330608209999999|-51.33906829|90.27531534|0.479218966|2889.141422|327.1604688|2148.49832|14.28792131|0.920192814|6581.432140999999|38.56355928|0.017636126|-408.1554248|1812.487286|0.0|1.0|0.0|2.0|3.31|2.96|0.04|-7.4|3.89|99.34|3.01|111.38|4.0|31.0|-6.34|417.39|0.0|-4.94|5.01e-06|0.00209|1.16e-05|0.00483|3.53|0.0|0.0|4.01e-08|7.17|3.7495|-1450.913472|1083.78|0.3904|0.69221|-0.15542|6.0697|-0.21391|0.04147516|-1450.787398|7.5762|4.2|5.3768
1o_a5|0.0|0|0|0.0|0|1.427566509|0.0|-0.266637757|-0.002633927|4.59511985|0.033105871|0.025987654|0.0|-0.1079910069999999|10.94518594|-0.008511304|1|1|0.0051989459999999|0.038275248|0.06759341|2|0.670787375|0.78144982|-0.003561205|-0.016408975|0.650008224|-0.072886362|-42.63505279|-39.1638643|7.122612351|167.3051756|0.11569628|-0.028770932|1.01402588|0.699913551|-22.90899675|50.11479279|0.470590799|2238.291862|475.1609233|833.537568|14.20898333|0.8888980340000001|4572.818263|22.08761368|0.020380352|-214.8381946|839.3293197999999|1.0|1.0|1.0|1.0|2.81|2.2|0.0|-8.11|4.07|78.25|1.23|95.2|3.0|25.0|-6.3|323.35|0.0|-4.08|8.329999999999999e-05|0.0269|8.340000000000001e-05|27.0|2.78|0.0|0.0|7.85e-09|2.66|4.1692|-1043.536121|938.37|0.3966|0.5492100000000001|-0.1693599999999999|4.7435|-0.23973|0.04126499|-1043.472984|5.4919|35.0|7.4559
4b_a49|0.0|0|0|0.0|1|1.343847828|2.075628989|-0.109946885|-0.0074627159999999|5.4161004020000005|-0.077626337|0.036555556|1.645329244|-0.402986655|10.92776533|0.02907541|1|1|0.002557204|-0.0563571629999999|-0.089371493|2|0.720824193|0.798826417|0.005818676|0.049923437|0.6967593559999999|-0.090284437|-56.45224362|-55.5653235|14.84890147|41.97072627|0.241850733|-0.030696709|64.87087098|0.645330839|-34.74338731|71.2971749|0.477868186|2708.998101|466.6010051|1701.832352|14.53457293|0.915225186|6025.790417|29.27523192|0.02556165|-178.8869784|1463.761596|1.0|1.0|1.0|1.0|3.37|3.1|0.22|-7.05|3.26|90.13|1.66|112.36|6.0|30.0|-7.12|400.43|0.0|-3.88|0.000155|62.0|0.000132|0.0527|2.28|0.0|0.0|8.91e-08|3.56|3.7413|-1333.026419|1121.45|0.2856|0.68242|-0.15635|1.8265|-0.22366|0.03702033|-1332.8586269999998|2.2306|79.0|7.1024
7_a15|0.0|0|0|0.0|0|1.419941457|0.0|-0.2269896539999999|-0.010310394|0.0|-0.038088878|0.035075075|0.0|-0.494898891|10.95880715|0.0019353679999999|0|0|0.002150323|-0.211522056|-0.310081401|1|0.857287135|0.70084115|0.154068618|0.00364345|0.8115121240000001|-0.110819329|-41.29775265|-61.50761094|20.31436245|103.8062879|0.158599673|-0.026500274|56.30310755|0.448664402|-22.92132733|85.26222186|0.396557391|2330.667514|466.9990754|1624.468817|9.971755103|0.657158418|5097.868552|32.78250222|0.042799094|56.98518567|1507.995102|1.0|1.0|1.0|1.0|3.16|3.14|0.15|-7.19|4.64|61.84|1.74|99.77|7.0|26.0|-5.72|352.38|1.0|-4.49|1.46e-05|0.00516|3.2e-05|0.0113|3.84|0.0|0.0|6.41e-08|2.78|3.7495|-1184.367098|1000.95|0.3463|0.70497|-0.15605|1.1115|-0.18454|0.01827873|-1184.224637|1631.0|227.0|6644.0
12j_a30|0.0|0|0|0.0|0|0.604984421|0.0|0.04148877|-0.006336585|5.351858133|-0.033312179|0.043848238|0.0|-0.354848778|10.31162861|-0.075816941|1|1|0.005965451|-0.053644471|-0.09353607|1|0.8414737059999999|0.795446883|0.0060012969999999|-0.130412856|0.7991060659999999|-0.094132698|-47.76354083|-60.832977500000005|10.09017681|88.51817261|0.157800959|-0.036204884|0.0|0.8134611009999999|-30.8670468|69.55167701|0.476658597|2784.7999170000003|544.2686362000001|2258.891981|15.41574553|0.91079856|6105.3402670000005|28.76265258|0.01349128|-405.1466163|1495.657934|0.0|1.0|0.0|1.0|4.76|0.0|0.17|-7.01|2.93|81.65|3.04|132.24|5.0|30.0|-5.81|412.51|0.0|-5.15|2.21e-06|0.0009119999999999|7.05e-06|0.00291|4.23|0.0|0.0|9.75e-08|4.14|3.4788|-1615.064152|1175.75|0.2163|0.68625|-0.14772|4.6727|-0.1987799999999999|0.03201935|-1614.894278|5.1081|9.0|8058.0
21_a12|0.0|0|0|0.0|0|0.609915045|0.0|0.04375233|-0.008833375|4.59511985|-0.058516436|0.037992832|0.0|-0.362168355|10.31140747|-0.0546514309999999|1|1|-0.001825446|-0.116098308|-0.211367878|2|0.923855679|0.835359152|-0.061915124|-0.099516604|0.859899236|-0.100098765|-34.60932333|-50.37198585|6.154473157000001|75.46830038|0.15172224|-0.036878492|0.0|0.770818357|-17.416202300000002|59.10840872|0.473492395|2185.835701|426.8727514|1080.052791|11.18947411|0.8993077970000001|4652.242111|24.07584081|0.017360942|-272.5639702|914.8819508|1.0|1.0|1.0|1.0|4.05|2.81|0.12|-6.78|2.25|78.41|1.82|98.16|3.0|23.0|-6.45|319.38|0.0|-3.76|0.00015|48.0|0.000173|0.0551|2.53|0.0|0.0|1.67e-07|2.56|3.9971|-1327.451966|893.17|0.3665|0.57644|-0.16784|2327.0|-0.22253|0.02758166|-1327.397348|3.2551|22.0|7.6576
12_a1|0.0|0|0|0.0|0|1.430936075|0.0|-0.0455890429999999|-0.011221829|5.351858133|-0.02164054|0.036382114|0.0|-0.516204114|10.94945122|-0.051772288|1|1|-0.001416381|-0.104622651|-0.173618873|1|0.8016064479999999|0.749817035|-0.045776997|-0.093957115|0.7534284040000001|-0.104724018|-55.99493147|-60.78517756|19.60151089|133.6600817|0.234878615|-0.039894864|477.1158679|0.724666653|-32.50125347|74.99749378|0.46449367|2592.245875|444.1009824|1825.150911|14.34104294|0.867391557|5468.378562|31.95435864|0.024485753|-260.8074567|1342.083063|1.0|1.0|1.0|1.0|3.29|2.72|0.05|-8.2|4.41|83.82|1.67|103.47|3.0|28.0|-6.02|366.37|0.0|-4.75|1.04e-05|0.00379|1.77e-05|0.00649|3.54|0.0|0.0|6.28e-09|3.67|3.1744|-1216.099134|1018.84|0.5867|0.69763|-0.12874|7.7454|-0.19916|0.0296752|-1215.975876|10.1801|2.95|5.5302
20_a31|0.0|1|1|0.0|0|0.609420757|0.0|0.0469387759999999|-0.009722467|5.733341277|-0.057200812|0.03995614|2.114008068|-0.476400874|10.31100269|-0.078213611|3|3|-0.001662219|-0.0852122769999999|-0.1534110109999999|0|0.788133615|0.8602874540000001|0.028036914|-0.131662689|0.7507116140000001|-0.110195543|-53.79798102|-69.0542431|12.1160662|64.42171513|0.2045729339999999|-0.033537774|75.10345696|0.710707042|-33.71260536|81.35171021|0.464597945|2576.1287230000003|498.4558574|1758.762093|15.48343758|0.86775525|5678.167489|29.5712685|0.019624081|-264.0799235|1360.278351|1.0|1.0|1.0|2.0|3.46|2.74|0.26|-7.65|4.38|140.04|1.1|110.47|7.0|27.0|-6.39|397.52|0.0|-4.44|1.24e-06|0.000493|3.66e-05|0.0146|3.29|0.0|0.0|2.23e-08|4.78|3.5381|-1880.734655|1113.19|0.2011|0.7036600000000001|-0.1483|3.7403|-0.20895|0.0336943|-1880.599777|4.9218|8.0|8.0862
14h_a23|0.0|1|1|0.0|2|1.197963488|3.309480899|0.043538466|-0.005921293|5.351858133|0.006191846|0.04255787|0.7290938920000001|-0.307907256|10.31321773|-0.034313725|2|2|0.009266617|-0.0686282459999999|-0.131709531|2|0.708395022|0.79263722|0.143102066|-0.05745554|0.669357479|-0.081058742|-43.02851162|-54.6468131|14.81983413|41.34207782|0.076569426|-0.033774476|86.83095818|0.753100584|-29.00823506|67.44368679|0.48032488|3010.418229|622.5428245|2371.16134|15.0735214|0.924279155|6722.809649|30.23434844|0.018981866|-341.2621515|1451.248725|0.0|1.0|1.0|1.0|3.47|3.2|0.04|-7.47|3.89|128.81|2.39|125.0|5.0|32.0|-6.62|436.49|0.0|-4.9|2.09e-06|0.0009109999999999|1.27e-05|0.00554|3.3|0.0|0.0|3.39e-08|3.29|3.6689|-1722.148272|1190.62|0.3424|0.69933|-0.15209|9.7146|-0.2374099999999999|0.02796857|-1721.99264|13.4823|5.0|8.3468
17a_a6|0.0|0|0|0.0|0|1.424257628|0.0|0.101940358|-0.012704951|5.351858133|-0.0265090529999999|0.041767677|0.0|-0.686067347|10.94948984|-0.060774312|1|1|-0.00194781|-0.10896749|-0.180339002|1|0.850080948|0.7722228729999999|0.08716369|-0.106323149|0.8013954109999999|-0.109388399|-63.02857512|-71.75703418|20.43213226|157.13173490000003|0.2469173469999999|-0.041567592|554.1936506|0.77193498|-41.34573382|84.75077935|0.483320982|2816.084228|494.010135|2217.333474|16.13665395|0.935437602|5996.580489|35.323795000000004|0.019808023|-356.769966|1766.18975|1.0|1.0|1.0|2.0|3.52|2.88|0.12|-9.01|4.32|95.85|1.7|116.79|5.0|31.0|-5.89|409.44|0.0|-5.17|1.56e-06|0.000637|6.69e-06|0.00274|4.09|0.0|0.0|9.77e-10|4.04|2.9753|-1350.078838|1167.16|0.3933|0.7024|-0.12425|4.1627|-0.18178|0.02379552|-1349.892285|5604.0|24.0|7.6198
19_a3|0.0|0|0|0.0|0|1.4316666480000002|0.0|-0.206312209|-0.003417504|4.59511985|-0.030657|0.0386379929999999|1.744747103|-0.129865138|10.96959256|0.036226415|1|1|0.006731579|-0.037291767|-0.066245471|3|0.718266758|0.758995484|-0.0150769919999999|0.064690027|0.687139108|-0.087730634|-31.50932639|-40.8473715|5.419662458|161.5312186|0.146982098|-0.032585664|0.0|0.75798185|-14.67073822|48.55416845|0.476813896|2000.66399|397.1650228|869.7868956|10.21110415|0.911365749|4138.413977|20.01615321|0.016552404|-240.2326308|700.5653624|1.0|0.0|1.0|1.0|2.81|1.6|0.06|-7.21|3.39|67.35|1.18|85.32|2.0|22.0|-6.5|287.32|1.0|-3.58|0.000578|166.0|0.000266|0.0764|2.19|0.0|0.0|6.18e-08|2.43|3945.0|-929.2608626|832.23|0.3006|0.67351|-0.16303|2191.0|-0.2206|0.020989746|-929.193831|2.8758|23.0|7.6383
12_a3|0.0|0|0|0.0|0|0.605020506|0.0|0.167987916|-0.009093383|4.727387819|-0.118456941|0.042795699|2.07135708|-0.336455156|10.31163031|-0.069857022|1|1|-0.0045709459999999|0.017902469|0.032450556|2|0.899733837|0.718481325|-0.039834906|-0.125395523|0.841871246|-0.096133903|-44.07517037|-45.63945658|5.258353635|239.2266101|0.170600292|-0.039584548|76.23910943|0.830418645|-20.92463497|52.16354015|0.463780604|2056.502939|393.75653|1064.221958|10.50748861|0.864908294|4400.493202000001|22.63041363|0.01374218|-313.7317211|769.4340634|1.0|1.0|1.0|1.0|3.2|2.17|0.0|-6.89|4.01|92.93|1.6|90.49|2.0|22.0|-5.3|304.37|0.0|-4.84|2.07e-06|0.000629|1.44e-05|0.0044|4.03|0.0|0.0|1.3e-07|2.94|3263.0|-1272.125792|847.25|0.5056|0.69784|-0.13153|2.3762|-0.19514|0.02620998|-1272.058487|3.1979|3548.0|5.45
12ax_a36|0.0|0|0|0.0|0|1.280791885|0.0|-0.0943348109999999|-0.007681676|5.351858133|-0.040458296|0.043383838|0.0|-0.414810497|10.958822|-0.034663063|1|1|-0.00097037|-0.101451485|-0.1716508239999999|1|0.884841888|0.836170906|-0.0394369539999999|-0.056676035|0.771220556|-0.107815607|-49.32384393|-72.11700812|12.79462904|36.17982162|0.153162279|-0.038813619|1.236876307|0.7648530440000001|-32.99232962|84.58859134|0.488501696|2926.929456|566.4430628|2471.295987|14.78635841|0.955040697|6741.969187999999|33.94393618|0.018645135|-354.3162187|1697.196809|0.0|1.0|0.0|2.0|4.74|0.0|0.14|-7.76|3.19|69.2|2.99|133.77|5.0|31.0|-6.26|450.32|1.0|-5.18|8.27e-06|0.00372|6.55e-06|0.00295|3.93|0.0|0.0|1.74e-08|4.42|3.8889|-2152.100515|1182.31|0.5236|0.69348|-0.15728|4.5001|-0.21324|0.03044421|-2151.971761|6.0402|12.0|7.9208
12k_a30|0.0|0|0|0.0|0|0.604984231|0.0|-0.001755273|-0.007818038|5.351858133|-0.029595542|0.042739018|0.0|-0.44562817|10.31162844|-0.038714845|1|1|0.0053380919999999|-0.089279071|-0.154412059|1|0.838579475|0.830875659|0.001281277|-0.067714819|0.7933543279999999|-0.098188266|-52.35426525|-65.04897323|16.01752015|106.8195439|0.184916442|-0.035199567|0.0|0.7081361979999999|-34.68429919|80.03127603|0.47195436|2920.279667|539.9866061|2277.687222|15.93977881|0.893775698|6393.133321|32.93073182|0.0226150579999999|-275.77726980000006|1745.328787|0.0|1.0|1.0|1.0|4.72|0.0|0.17|-6.74|2.63|90.88|2.51|133.77|6.0|31.0|-6.19|428.51|0.0|-4.93|3.59e-06|0.00154|1.19e-05|0.0050799999999999|3.84|0.0|0.0|1.84e-07|3.58|3.4715|-1690.269144|1200.31|0.2257|0.6864899999999999|-0.14743|4.9516|-0.19798|0.03357755|-1690.094082|5.0736|24.0|7.6144
12o_a30|0.0|0|0|0.0|0|0.604984133|0.0|0.036331447|-0.0068750669999999|5.351858133|-0.028326022|0.040899471|0.0|-0.364378536|10.31162888|-0.087019298|1|1|0.003603419|-0.051371057|-0.090173435|1|0.8264832879999999|0.815003426|-0.054392357|-0.149451598|0.7463962120000001|-0.0975052409999999|-49.48891079|-62.74209511|9.948252054|75.15128057|0.1556551169999999|-0.037808155|0.0|0.8131344979999999|-31.84483128|71.87393121|0.46964626|2860.371518|543.3140456|2476.50603|13.95467208|0.885533983|6542.77337|29.91948755|0.0141914589999999|-402.9878652|1466.05489|0.0|1.0|0.0|1.0|4.63|0.0|0.14|-7.22|3.27|81.65|3.31|132.29|5.0|30.0|-5.75|432.93|0.0|-5.44|1.19e-06|0.0005139999999999|3.61e-06|0.00156|4.49|0.0|0.0|6.03e-08|4.45|3.4817|-2035.338699|1162.63|0.1967|0.6854399999999999|-0.1478799999999999|5559.0|-0.19873|0.03392126|-2035.199757|6.8632|16.0|7.8097
13a_a6|0.0|0|0|0.0|0|1.430639975|0.0|-0.042110772|-0.01115741|5.351858133|-0.0265090529999999|0.041767677|0.0|-0.602500119|10.95129557|-0.0525259259999999|1|1|-0.00194781|-0.10896749|-0.180339002|1|0.850080948|0.7722228729999999|0.090839165|-0.091892803|0.8013954109999999|-0.113446379|-61.52313164|-74.18628740000001|20.83876732|154.9639272|0.22549456|-0.040840697|554.4922449|0.759912392|-40.23198232|87.37044493|0.467070451|2820.31296|506.474367|2626.396685|15.08351934|0.8764206290000001|6019.922535|35.14492428|0.02016134|-339.9303794|1757.246214|1.0|1.0|1.0|2.0|3.53|3.2|0.12|-9.01|4.32|95.85|1.29|116.79|5.0|31.0|-6.1|409.44|0.0|-4.99|3.11e-06|0.0012699999999999|1.02e-05|0.00417|3.8|0.0|0.0|9.77e-10|4.04|3651.0|-1350.057702|1166.79|0.5352|0.70072|-0.14969|7.7145|-0.19987|0.02818646|-1349.895534|9.2157|46.0|7.3372
12a_a5|0.0|0|0|0.0|0|1.338814635|0.0|-0.256282289|-0.00166971|5.209486153|0.043132749|0.023108466|0.0|-0.09350376|10.94553751|-0.032601907|1|1|0.008649556|-0.057691345|-0.093973419|2|0.762866363|0.779533861|0.1121034509999999|-0.063558439|0.741588813|-0.067680123|-36.01436435|-41.59124655|5.032443973|13.74268646|0.105409104|-0.026030816|0.0|0.746785093|-22.13179066|50.40529807|0.457755771|2524.410428|549.7500455|899.5599904|16.12184989|0.844187448|5294.775577|21.42066499|0.014342828|-303.31208710000004|1113.8745800000002|1.0|1.0|1.0|1.0|3.06|2.96|0.21|-8.83|4.26|57.7|2.17|119.38|5.0|29.0|-6.23|381.47|1.0|-4.59|5.37e-05|0.0205|2.56e-05|0.00977|3.38|0.0|0.0|1.4800000000000003e-09|2.91|4.1610000000000005|-1201.990542|1140.24|0.4794|0.67169|-0.17152|2.5642|-0.21228|0.03567816|-1201.8082029999998|3.9457|19.0|7.7212
13_a12|0.0|0|0|0.0|0|1.508548782|0.0|0.202052156|-0.0069874069999999|0.0|-0.0619247109999999|0.037948718|0.0|-0.272508888|10.96083169|0.021322992|0|0|0.002279068|-0.169387652|-0.281096572|2|0.845823047|0.6809340620000001|-0.226526433|0.039235452|0.804066411|-0.092483398|-28.51381164|-45.33566159|4.01385817|64.74666684|0.09993609|-0.034993718|66.2289548|0.8829921740000001|-13.97756285|48.99243638|0.466560112|1812.788134|441.2142447|664.9830294|11.36787272|0.874625469|3647.657976|19.42716439|0.0074597119999999|-375.4880089|718.8050825|1.0|0.0|1.0|1.0|2.7|2.64|0.12|-7.14|3.9|50.7|2.42|84.74|3.0|21.0|-5.49|276.34|1.0|-4.2|5.520000000000001e-05|0.0152|6.3e-05|0.0174|3.51|0.0|0.0|7.26e-08|3.83|3.9329|-876.3370809|867.79|0.6528|0.64974|-0.16458|1.3023|-0.20903|0.0290811829999999|-876.258343|1.5686|93.0|7.0315
8_a15|0.0|0|0|0.0|0|1.419941362|0.0|-0.208657545|-0.009853404|0.0|-0.044406425|0.039181287|0.0|-0.5025236129999999|10.95880707|-0.014489333|0|0|0.003160815|-0.203104439|-0.295062413|1|0.85357243|0.7059441040000001|0.0937475619999999|-0.025923166|0.8105478740000001|-0.118293578|-41.7821007|-69.07571287|19.65860939|104.8781037|0.146103518|-0.028969856|55.99586988|0.519427411|-24.39801408|89.80283608|0.389723411|2393.276181|498.6196971|1919.535904|9.984825987|0.638601279|5306.2234530000005|32.56759415|0.035495625|-22.68867482|1595.8121130000002|1.0|1.0|1.0|1.0|3.14|3.76|0.19|-7.57|4.95|61.84|1.96|104.74|7.0|27.0|-5.52|366.41|1.0|-4.81|5.63e-06|0.00206|1.53e-05|0.00562|4.24|0.0|0.0|2.69e-08|3.36|3.7426|-1223.687714|1050.15|251.0|0.70524|-0.1558|1.1415|-0.18303|0.01719864|-1223.523393|1.4589|108.0|6.9666
12l_a36|0.0|0|0|0.0|0|1.297044247|0.0|-0.0944961519999999|-0.0076430169999999|5.351858133|-0.008712073|0.039061728|0.0|-0.4203659179999999|10.95423322|-0.0452558729999999|1|1|0.001194592|-0.098598933|-0.175397741|1|0.8707354620000001|0.8174432229999999|-0.041707369|-0.079106537|0.8212311840000001|-0.107815735|-52.05361632|-70.17688229|14.33450402|39.27257375|0.15618077|-0.038052612|1.281955437|0.7379583590000001|-33.88151556|83.76912404|0.4619814279999999|2843.514589|549.2389652|2385.788754|13.88638723|0.8586718990000001|6121.6555530000005|33.56329135|0.02088234|-309.7725155|1711.727859|0.0|1.0|0.0|2.0|4.78|0.0|0.13|-6.66|1.76|92.99|1.38|128.47|5.0|31.0|-6.68|406.44|0.0|-4.29|2.72e-05|0.0111|5.08e-05|0.0206|2.95|0.0|0.0|2.21e-07|2.98|3.8619|-1325.15957|1155.07|0.4524|0.6925|-0.15869|5392.0|-0.20973|0.03508404|-1325.0137550000002|7.2021|0.02|7699.0
27_a47|0.0|1|1|0.0|1|1.216250059|2.041063341|-0.160399235|-0.003631596|4.727387819|0.006768957|0.0304347829999999|1.807806182|-0.207000956|10.95005714|0.013336016|1|1|0.002350172|-0.077485193|-0.157688306|2|0.6636125860000001|0.804224077|0.0436226579999999|0.023325573|0.634406338|-0.079484997|-40.35526807|-50.87821306|10.56549582|20.73428323|0.153530114|-0.028494622|3.180329084|0.700732763|-25.8313393|63.02085767|0.475450742|2804.020752|541.8239522999999|2181.236691|13.50334344|0.906398657|6433.288104|26.02898047|0.018969968|-256.9774086|1379.535965|1.0|0.0|1.0|2.0|3.37|3.52|0.26|-8.82|5.07|67.66|3.11|125.17|5.0|31.0|-6.34|436.91|0.0|-5.05|1.5399999999999998e-05|0.00674|8.89e-06|0.0038799999999999|3.7|0.0|0.0|1.5e-09|2.97|3.8125|-1778.078632|1165.54|0.4007|0.69381|-0.1578|4.0365|-0.21594|0.02633483|-1777.891054|5.2214|2512.0|5.6
