molecula|NaaNH|n9FaHRing|n9FaRing|SssssC|SRW09|nAHRing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|JGI4|ATSC1c|MATS8i|n5aRing|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|n6aHRing|BIC2|SIC2|GATS1pe|RASA|FNSA3|FNSA5|PNSA3|PNSA5|RPSA|TPSA_x|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|PNSA4|DPSA3|GRAVp|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|PPSA1|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50
12q_a36|1|0|0|0.0|7.412764017000001|2|1.29701394|0.0|-0.0543475329999999|-0.00761082|5.351858133|0.042804233|-0.410984299|-0.0651906459999999|1|1|0.0010871589999999|0.1161527719999999|-0.177407665|1|0.828371596|0.8839272779999999|0.8065052890000001|0.82911927|-0.07607684|-0.1060430969999999|-49.18227989|-68.5549152|0.17088073|110.4712541|-44.31949385|7.758093617|0.0|0.768692389|-1.908775752|-31.79544084|-24.67976947|61.18276554|2786.514757|-1233.988474|2380.245597|0.231307611|7.546533709|14.69971555|149.536123|32.10617123|0.017949083|1605.308562|629.5017194000001|11.60375275|0.0|1.0|0.0|4.74|0.0|0.14|17.0|-7.18|3.35|2.54|69.2|2.51|1.0|128.76|0.0|-4.44|4.0|415.88|1.0|2.34|2.55e-05|0.0106|3.31|6.65e-08|2.77e-05|-0.05602|5.2375|3.79|-1692.544456|683.51|1148.35|236.72|0.39919|-1692.3116350000005|0.3419|-0.1566|4.6718|-0.2126199999999999|0.03415678|-1692.370918|6.4226|8.2218
4f_a46|0|0|0|0.2096617139999999|7.825245291|1|1.134637108|2.190536659|-0.2265364489999999|-0.001035775|5.587248657999999|0.045958333|-0.053860324|-0.056114865|1|1|0.011806162|-0.154986658|-0.123416853|2|0.74106323|0.7796270059999999|0.69830739|0.934973206|-0.055836642|-0.0674830959999999|-30.29079362|-36.60887321|0.065026794|35.27635517|-19.85993046|2.570614463|56.50645576|0.759842275|-1.079729539|-16.43243843|-11.95391778|35.0293449|2103.214727|-585.7419712999999|1563.375755|0.240157725|5.654067072999999|9.828175385|130.2830519|15.73210412|0.010341277|770.8731021000001|538.4165208|5.6100342670000005|1.0|1.0|1.0|3.88|3.16|0.38|17.0|-7.21|4.56|4.71|43.6|2.58|1.0|101.54|0.0|-4.38|3.0|332.44|1.0|3.76|2.62e-05|0.00872|3.77|6.12e-08|2.04e-05|-0.02947|4548.0|3.87|-1033.550809|591.51|1020.33|272.61|0.69208|-1033.315821|0.1719|-0.19079|3.2783|-0.2202599999999999|0.02238723|-1033.36869|3.7419|6.7375
16a_a32|1|1|1|0.0|7.765993078999999|0|0.6094207620000001|0.0|0.205693867|-0.014399612|5.733341277|0.03995614|-0.6911813920000001|-0.062610718|3|3|-0.005552127|-0.0999399409999999|-0.199563743|0|0.8567078770000001|0.909908319|0.81143469|0.756542831|-0.090389538|-0.119471489|-56.2527503|-74.35152328|0.2434571689999999|151.5123947|-46.27170107|8.003570876|66.13699638|0.6968200370000001|-1.6726008419999998|-35.00816569|-23.13158502|69.11326055|2615.514164|-1040.921326|2992.60858|0.303179963|7.183246604|13.08168264|188.6800971|33.19592405|0.023475264|1493.816582|532.685565|14.6095244|0.0|1.0|1.0|3.53|2.66|0.22|19.0|-7.3|5.32|3.79|152.07|0.88|1.0|108.86|1.0|-5.49|4.0|398.51|1.0|3.06|9.14e-05|0.0364|2.65|5.04e-08|2.01e-05|-0.0567299999999999|3.6314|3.9|-1896.81177|664.67|1096.48|341.42|0.70245|-1896.589348|0.2859|-0.15045|1.3736|-0.20718|0.04088655|-1896.649286|1.8274|7.9586
8m_a46|0|0|0|0.2148468989999999|7.727094485|1|1.160371261|2.126524943|-0.044830187|-0.00517896|5.533389489|0.047345679|-0.248590088|-0.120972269|1|1|0.005865049|-0.206020062|0.015631887|1|0.7699708959999999|0.8142050040000001|0.77612204|0.876210355|-0.0911455|-0.085204935|-48.32436573|-45.17474201|0.123789645|65.63194084|-23.9511632|1.984401749|0.0|0.8854896870000001|-1.448483903|-25.62105988|-17.06601365|52.0671834|2045.330306|-767.9706141|1913.813025|0.114510313|5.684332261000001|9.899611044|60.71213839999999|19.27296714|0.006689855|867.2835213999999|463.1469765|3.546889545|1.0|1.0|1.0|3.24|2.92|0.3|17.0|-6.46|4.16|4.21|50.94|2.62|1.0|96.16|0.0|-4.48|3.0|319.4|1.0|3.53|2.78e-05|0.0088799999999999|3.72|3.5e-07|0.000112|-0.01818|5.3062|4.12|-1014.126693|570.72|970.82|233.66|0.43001|-1013.91158|0.1441|-0.17897|2.0174|-0.19715|0.03472717|-1013.962913|3.1675|6.6402
47u_a18|0|0|0|0.0|7.03438793|1|1.251177393|0.0|0.039883149|-0.010219187|4.844187086|0.035393939|-0.633589579|0.031337464|0|0|0.00082284|0.0121925089999999|-0.1904128389999999|0|0.7517870059999999|0.7960273840000001|0.646724968|0.741066474|-0.090364489|-0.092271172|-62.99873374|-64.32800179|0.258933526|180.5187465|-44.84707106|10.0557163|77.59162925|0.721837463|-2.029965788|-43.92035521|-23.98671253|77.42251040000001|2965.254516|-1415.216039|1415.590236|0.278162537|9.18142206|17.78724206|193.9244919|33.23007431|0.021142007|1960.574384|818.9389171|14.73941472|0.0|1.0|0.0|3.98|0.0|0.19|18.0|-8.2|3.15|3.02|99.56|2.95|3.0|133.53|0.0|-5.69|4.0|455.51|0.0|2.6|1.04e-05|0.00472|3.9|6.34e-09|2.89e-06|-0.06392|3.1186|9.34|-1510.182477|738.53|1282.66|397.57|0.69143|-1509.771642|0.5849|-0.12717|4.4624|-0.19109|0.02892505|-1509.839543|5.8058|5.7055
8a_a8|1|0|0|0.0|7.535296702|1|1.400027874|1.4114120369999998|-0.021925912|-0.014658222|5.4161004020000005|0.040243056|-0.732911106|0.010118884|1|1|-0.005306541|0.044579097|0.089375589|1|0.762577159|0.8220300859999999|0.7318727540000001|0.550829475|-0.131795179|-0.118763303|-78.93428863|-71.12928513|0.449170525|269.0155755|-42.60049244|12.33026525|84.91322996|0.76420633|-2.256502762|-47.27503672|-29.37948733|99.52191337|2802.374154|-1351.456417|1746.6927010000002|0.23579367|7.533378788999999|14.52342059|141.2206861|38.44444383|0.025786572|1768.444416|529.053307|15.44399996|0.0|1.0|0.0|3.37|2.64|0.05|23.0|-6.76|3.13|2.72|112.23|1.9|1.0|109.21|0.0|-4.4|5.0|400.39|0.0|2.56|7.28e-05|0.0292|2.4|1.74e-07|6.96e-05|-0.06922|4.6017|6.1|-1367.776863|620.68|1061.5|269.43|0.4927399999999999|-1367.539526|0.1729|-0.13015|5.4201|-0.19937|0.03213899|-1367.595683|6.8427|4.9454
4k_a46|0|0|0|0.173180233|7.825245291|1|1.134637098|2.145043462|-0.050636784|-0.0049602|5.587248657999999|0.0510113959999999|-0.252970193|-0.1149361969999999|1|1|0.006050983|-0.158788415|0.012963356|1|0.7477594870000001|0.787615341|0.784722915|0.8789113709999999|-0.091943864|-0.086581945|-49.65634024|-46.76051618|0.121088629|65.39662252|-25.25406274|2.052909907|0.0|0.8732380740000001|-1.471893066|-26.8180173|-16.56101615|53.45751583|2104.876032|-794.928775|1912.936687|0.126761926|5.726809252000001|9.829220349|68.46061366|18.96506421|0.006892404|910.3230822|519.5743695|3.722397006000001|1.0|1.0|1.0|3.8|3.03|0.33|17.0|-6.61|4.26|4.77|50.94|2.84|1.0|100.96|0.0|-4.82|3.0|333.43|1.0|3.79|1.4800000000000002e-05|0.0049299999999999|4.05|2.48e-07|8.28e-05|-0.01712|5.4228|4.52|-1053.433249|582.84|1001.96|228.63|0.39943|-1053.196897|0.1505|-0.18542|4.0015|-0.20254|0.03653474|-1053.249847|5.7714|7.0969
14p_a23|0|1|1|0.0|7.423568444|0|1.197963748|3.3252287430000003|0.044380583|-0.005975594|5.351858133|0.045165485|-0.310730878|-0.060144819|2|2|0.009266617|0.080581604|-0.131709531|2|0.799506006|0.8683808959999999|0.669357479|0.923455749|-0.063033628|-0.080784473|-42.52653933|-54.50240143|0.076544251|51.64167457|-36.77082544|10.06403753|84.65359899|0.751638299|-1.615689464|-28.69113861|-22.70933393|57.44364296|3010.721939|-1090.0480289999998|2170.5738260000003|0.248361701|9.014073839|16.84664803|167.5607773|30.21311441|0.0190667019999999|1450.229492|646.2584547|12.86362369|0.0|1.0|1.0|3.48|3.28|0.04|26.0|-7.47|3.4|3.89|128.81|2.39|1.0|125.0|0.0|-5.68|5.0|436.49|0.0|3.25|1.27e-05|0.00554|3.3|3.39e-08|1.4800000000000002e-05|-0.09046|3.5752|3.29|-1722.181612|699.61|1191.08|346.79|0.6816|-1721.933314|0.3802|-0.14774|7.4033|-0.2382|0.02935511|-1721.994023|9986.0|8.5302
1k_a5|1|0|0|0.0|6.605297921|0|1.427567903|0.0|-0.216088148|-0.0030192829999999|4.59511985|0.026339869|-0.120771321|-0.145151027|1|1|0.003708988|-0.220946861|0.045204303|2|0.7824502320000001|0.851987765|0.558485747|0.7836926809999999|-0.078995018|-0.074297856|-40.40908188|-38.00629774|0.216307319|110.6497654|-19.44172742|2.850231839|0.498979532|0.724954458|-1.114467843|-20.67084672|-15.40795854|45.98095096|2171.394196|-570.0944662|824.0133397999999|0.275045542|6.710535795|12.9461019|140.69669409999997|21.25369168|0.019219352|786.3865923|357.34245360000006|9.83146028|1.0|1.0|1.0|2.71|2.02|0.0|23.0|-8.3|4.88|4.76|54.46|2.29|0.0|90.44|0.0|-3.97|4.0|316.33|1.0|3.42|4.970000000000001e-05|0.0157|3.16|4.99e-09|1.58e-06|-0.04516|4.7221|3.1|-1050.548505|533.8|890.76|262.56|0.53086|-1050.418953|0.1239|-0.1798799999999999|1.5911|-0.22504|0.03133456|-1050.468159|2.3036|7.3188
9_a27|1|0|0|0.0|6.842683282|0|1.391067068|1.830911754|0.164227115|-0.0073742819999999|4.727387819|0.042847222|-0.331842668|-0.051160217|1|1|0.00651856|-0.2559122789999999|-0.171520296|2|0.8214321609999999|0.8806964490000001|0.654138816|0.7988644709999999|-0.078270599|-0.088404481|-40.3551562|-45.58003501|0.2011355289999999|103.702486|-23.50038785|5.20756849|65.12542467|0.7892801540000001|-1.414471696|-20.80651808|-17.36382286|50.45546414|2256.4955670000004|-729.2805601|1463.168883|0.210719846|5.03925321|9.442988795|108.6440173|21.99956856|0.014524299|923.9818797|424.8821143|7.488512291|0.0|0.0|1.0|3.12|2.62|0.16|21.0|-7.06|3.85|3.04|76.46|2.66|0.0|97.46|0.0|-4.06|4.0|331.37|1.0|2.99|8.28e-05|0.0274|2.8|8.69e-08|2.88e-05|-0.0471|5.5421|4.67|-1083.143348|549.64|945.35|223.71|0.35593|-1082.965434|134.0|-0.1716|2.7456|-0.2187|0.02461151|-1083.017359|4.0436|8699.0
2_a3|0|0|0|0.0|6.823286122000001|0|0.605017347|0.0|0.176032668|-0.008422099|4.727387819|0.034166667|-0.311617665|0.09933632|1|1|-0.0045709459999999|-0.18746945|0.032450556|2|0.769486995|0.8401405609999999|0.841871246|0.750206578|-0.104577702|-0.09392632|-49.07072207|-44.07280196|0.249793422|117.2099151|-20.68016573|2.628543258|74.89956423|0.727984269|-1.127115845|-23.02532673|-15.55510657|54.67257594|2056.399995|-528.8736235|1314.679398|0.272015731|4.88513521|9.016533738|127.637231|21.36736636|0.019143348|726.4904564|330.4083896|8.982583312000001|1.0|1.0|1.0|2.97|2.22|0.0|21.0|-6.89|4.34|4.01|92.93|1.6|0.0|90.49|0.0|-4.75|3.0|304.37|1.0|3.06|5.33e-05|0.0162|3.13|1.3e-07|3.9500000000000005e-05|-0.06423|5.4397|1.97|-1272.143337|503.34|841.85|227.92|0.37284|-1272.001389|0.0962|-0.14605|4.0121|-0.21028|0.02925101|-1272.04778|5.4999|5.4
4r_a46|0|0|0|-0.03033057|7.832410927000001|1|1.13129629|2.051582577|-0.173617329|-0.002826188|5.587248657999999|0.044728682|-0.141309389|-0.1129698999999999|1|1|0.0061041|-0.237647432|-0.086905208|2|0.810646641|0.8549242340000001|0.76719475|0.8478197820000001|-0.079297367|-0.081339886|-42.06465252|-43.14814202|0.152180218|80.72661483|-22.88867429|3.220912917|0.0|0.7146312779999999|-1.220098292|-22.31391864|-13.77068362|48.13649426|2137.47734|-647.2221302999999|1451.6122289999998|0.285368722|5.81085807|10.69131411|151.3787482|19.26963463|0.015225417|905.6728276|496.0386301|8.076584289|1.0|1.0|1.0|3.82|2.89|0.35|17.0|-6.25|3.56|3.43|63.83|1.52|0.0|97.9|0.0|-3.09|4.0|334.41|0.0|2.7|0.000279|0.0933|2.12|5.64e-07|0.000188|-0.03073|4.5209|2.3|-1069.447946|571.75|986.04|274.25|0.69085|-1069.231407|0.1404|-0.18999|2.6630000000000003|-0.2207199999999999|0.02826942|-1069.284137|3.5979|5.8499
17f_a50|0|1|1|0.0|7.934155233999999|1|1.349854916|4.305828452|-0.2208117919999999|-0.002205848|5.82008293|0.03135101|-0.125733326|-0.028989535|2|2|0.0129274519999999|-0.275290802|-0.407467272|1|0.7851209440000001|0.8314734309999999|0.7241275009999999|0.911458734|-0.047333916|-0.074859564|-29.10566644|-46.03121141|0.088541266|54.44410182|-28.30463221|6.206439227000001|82.90209608|0.721122105|-1.422331714|-17.89709978|-16.50175503|39.19906437|2582.272632|-874.5930167000001|1929.981543|0.278877895|7.200480876|13.65716648|171.48226169999998|22.88344084|0.01617809|1212.822364|652.6793116|9.947921993|1.0|1.0|1.0|3.81|2.97|0.26|20.0|-6.38|2.87|3.83|51.77|2.09|1.0|116.81|0.0|-3.58|4.0|384.48|1.0|2.92|7.57e-05|0.0291|2.83|4.15e-07|0.00016|-0.0336399999999999|4.0664|2.5|-1219.2481369999998|653.63|1146.22|304.9|0.6573899999999999|-1218.966516|0.1708|-0.16784|6.1931|-0.20148|0.0276719|-1219.02507|8.312999999999999|6.4001
3t_a32|1|1|1|0.0|7.765993078999999|0|0.609420752|0.0|0.028840888|-0.006089333|5.733341277|0.03995614|-0.304466646|0.012069208|3|3|0.00139283|0.049606573|-0.122301673|0|0.822076702|0.870628579|0.687253845|0.828676243|-0.080203824|-0.0974995|-50.65701113|-61.58101978|0.171323757|108.2086749|-38.89478416|5.681818647999999|0.0|0.684474482|-1.267493496|-31.99514268|-17.03304802|59.65287508|2530.60497|-800.5532571|2241.507646|0.315525518|8.107111779|15.64252992|199.2870037|24.88485469|0.017184783|1169.58817|582.0730423|10.85396804|1.0|1.0|1.0|3.58|3.41|0.3|19.0|-8.01|7.65|5.42|128.01|1.74|2.0|112.48|0.0|-6.48|4.0|396.53|1.0|4.46|1.16e-05|0.00462|4.09|9.86e-09|3.91e-06|-0.05507|3.5487|5.5|-1864.708995|677.16|1129.24|349.38|0.70286|-1864.472646|0.2906|-0.14739|1.2641|-0.20246|0.03020622|-1864.534478|2.7003|8.0458
7g_a8|1|0|0|0.0|7.535296702|1|1.39137419|1.336155045|-0.092384028|-0.01002363|5.4161004020000005|0.0448526079999999|-0.481134236|-0.027838247|1|1|0.0002620309999999|-0.065174707|0.046246982|0|0.7363841520000001|0.79995525|0.606087461|0.699376143|-0.107714754|-0.1122315669999999|-64.55562181|-67.26263865|0.300623857|180.1699331|-40.31185423|11.43714084|56.75323443|0.806738465|-2.020168201|-38.68948451|-27.51653399|83.63914665|2802.2242920000003|-1210.7274960000002|2079.55195|0.193261535|7.588498875|14.3346384|115.825531|34.10836993|0.018613449|1500.768277|509.2753308|11.15541466|0.0|1.0|0.0|3.29|3.32|0.04|23.0|-7.91|4.94|4.66|80.04|3.4|2.0|108.0|0.0|-5.78|5.0|399.37|1.0|4.14|3.59e-06|0.00143|4.38|1.23e-08|4.92e-06|-0.06621|3.7874|6.26|-1374.493069|620.67|1053.9|327.36|0.62073|-1374.291597|0.5165|-0.15508|10.1546|-0.22129|0.03974865|-1374.3479960000002|12.9547|4.6772
18_a47|1|1|1|0.0|6.605297921|0|1.414391819|0.0|-0.141396999|-0.004337918|4.59511985|0.037919622|-0.2342475789999999|0.018164141|1|1|0.0015586929999999|-0.056674151|-0.053119347|3|0.792196273|0.851462739|0.630969651|0.777824025|-0.078937385|-0.084415066|-49.44908758|-52.88049505|0.222175975|139.1786571|-33.12615721|5.784962137000001|3.684585007|0.7327484470000001|-1.5194711930000002|-30.97660579|-19.03697822|58.68383399|2800.3745940000003|-951.8489108|2184.962887|0.267251553|7.018342267|12.35791568|167.41554630000002|25.98023687|0.017318402|1299.011844|628.5247532999999|10.84884165|1.0|1.0|1.0|3.47|2.5|0.08|27.0|-10.36|5.53|6.0|79.38|2.63|2.0|119.78|0.0|-5.5|5.0|410.45|1.0|4.16|4.29e-06|0.00176|4.13|4.34e-11|1.78e-08|-0.04964|4.2668|3.32|-1354.221126|652.12|1130.76|290.58|0.4659|-1353.979194|0.0516|-0.17349|3.4464|-0.22313|0.04031146|-1354.037606|5.3433|8.6
13m_a6|1|0|0|0.0|6.842683282|0|1.429020166|0.0|0.031719435|-0.010840005|4.727387819|0.0446875|-0.628720289|0.054340057|1|1|-0.00687003|0.037052986|-0.118693789|2|0.7767360059999999|0.832753533|0.82642394|0.715612461|-0.0989137669999999|-0.107644789|-68.97140339|-75.05944278|0.2843875389999999|198.3000783|-52.33806464|9.035018118|95.67846949|0.7362989999999999|-2.045251|-48.09294654|-26.40980394|81.92876874|2951.567781|-1426.129413|2574.030011|0.263701|8.435961541000001|16.2526769|183.8755989|35.8683143|0.020928405|1936.888972|724.3873672999999|14.59313027|1.0|1.0|1.0|3.59|2.18|0.08|27.0|-9.67|4.19|3.76|122.47|0.81|1.0|127.2|0.0|-4.64|5.0|435.48|1.0|2.67|5.24e-05|0.0228|2.43|2.1499999999999998e-10|9.35e-08|-0.07137|3.9127|4.27|-1423.762467|726.28|1231.54|316.88|0.66475|-1423.448957|0.1924|-0.13817|4.2913|-0.20954|0.04955777|-1423.511471|6.5243|8.0
8b_a32|1|1|1|0.0|7.765993078999999|0|0.609420757|0.0|0.113639567|-0.009362305|5.733341277|0.03995614|-0.458752924|-0.024375676|3|3|-0.001662219|-0.014634534|-0.1534110109999999|0|0.845443342|0.8966299409999999|0.7507116140000001|0.788218098|-0.0850068559999999|-0.108971309|-53.36442734|-68.4085006|0.211781902|132.9495116|-42.94454179|6.585851946|68.21751748|0.669149204|-1.4166270230000002|-33.50038167|-19.33283713|63.85535908|2573.703546|-889.3105078|2275.886421|0.330850796|8.10555784|14.95918599|207.6969342|28.89166873|0.021225152|1329.016762|557.1050635|13.32443194|1.0|1.0|1.0|3.46|3.04|0.26|19.0|-7.65|6.49|4.19|140.04|1.1|1.0|110.47|1.0|-5.83|4.0|397.52|1.0|3.61|4.06e-05|0.0161|3.22|2.23e-08|8.86e-06|-0.05404|3.5442|4.22|-1880.77142|671.54|1114.24|349.82|0.70285|-1880.539698|0.2943|-0.14717|846.0|-0.20121|0.03602276|-1880.602014|1.2797|7.9208
21a_a23|0|1|1|0.0|7.525639975|0|1.197963603|3.43622302|0.1049806919999999|-0.005708466|5.4161004020000005|0.042862319|-0.3082571839999999|-0.133417036|2|2|0.01180744|0.130024255|-0.136106024|2|0.7367638240000001|0.79188323|0.6906097959999999|0.926538469|-0.051521215|-0.082341001|-34.01266735|-54.35891011|0.073461531|48.49696614|-35.88602363|5.039953753|82.08958626|0.842121383|-1.729161021|-22.45408125|-22.83074225|41.64701536|2880.257677|-1141.537112|2272.736256|0.157878617|7.950891003|15.66066298|104.2264415|27.11098744|0.011178565|1355.5493720000002|666.0036144999999|7.379733085|0.0|1.0|1.0|3.53|3.48|0.09|26.0|-7.78|3.88|4.33|105.02|3.24|2.0|125.25|0.0|-5.89|4.0|425.51|0.0|3.78|5.29e-06|0.00225|3.98|1.65e-08|7.03e-06|-0.07243|3.6993|3.75|-1669.250866|701.01|1189.63|335.16|0.60824|-1668.989671|0.3692|-0.15024|5.3733|-0.2226699999999999|0.0203361|-1669.0502720000002|7.9309|6.9914
12ba_a36|1|0|0|0.0|7.412764017000001|2|1.297043659|0.0|-0.090865777|-0.0075620109999999|5.351858133|0.040566449|-0.423472625|0.003750685|1|1|-0.000621302|0.159880159|-0.168084618|1|0.8256014690000001|0.890675195|0.796093405|0.849738126|-0.083210415|-0.108410153|-56.0578808|-73.03464847|0.150261874|101.229662|-49.20258616|11.16896162|16.1479891|0.7068957840000001|-1.951382748|-37.76553687|-25.28122447|72.63670824|3035.390784|-1314.6236720000002|2492.5731100000003|0.293104216|7.409667253999999|14.59456478|197.4608731|35.76372225|0.023797439|1859.713557|688.1986357999999|16.03205543|0.0|1.0|0.0|4.8|0.0|0.12|17.0|-6.72|2.79|1.63|116.78|0.74|1.0|133.18|0.0|-4.77|6.0|431.45|0.0|1.57|5.65e-05|0.0244|2.67|1.91e-07|8.240000000000001e-05|-0.08446|5.2506|2.79|-1417.454721|687.23|1187.56|236.13|0.3989999999999999|-1417.187763|0.0009|-0.12587|3.1996|-0.21033|0.02839417|-1417.249741|4.5448|7.6778
46_a18|0|0|0|0.0|7.03438793|2|1.251088279|0.0|-0.001181461|-0.005378956|4.844187086|0.03531746|-0.3872848129999999|-0.0669031009999999|0|0|0.003512954|-0.069691797|-0.224171123|0|0.729629263|0.76616843|0.699483099|0.8265445990000001|-0.069742249|-0.076485888|-49.54738918|-54.33831169|0.173455401|123.2289237|-38.60388092|4.5299444310000005|58.66827342|0.782232748|-1.988633091|-35.20023815|-20.77641329|55.92367899|3052.94234|-1412.796104|1848.661552|0.217767252|8.980343774|16.47206875|154.7096476|26.56039822|0.013181412|1806.107079|1056.535856|9.36454702|1.0|1.0|1.0|4.27|0.0|0.3|18.0|-8.82|3.68|3.3|76.5|3.33|2.0|151.14|0.0|-5.68|3.0|480.6|0.0|2.93|3.35e-06|0.00161|4.36|1.51e-09|7.27e-07|-0.04995|3225.0|8.11|-1532.992457|765.33|1380.79|384.45|0.69181|-1532.493789|0.4249|-0.13224|2656.0|-0.18219|0.0239301|-1532.562476|3.2533|6.7305
19d_a38|1|0|0|0.0|7.412764017000001|2|1.297043205|0.0|0.013465335|-0.0120676969999999|5.351858133|0.04572104|-0.6999264340000001|-0.0555594909999999|1|1|-0.00835812|0.041924146|-0.128079012|1|0.853092207|0.908591797|0.730686013|0.63167949|-0.116424545|-0.1248815919999999|-74.84120843|-80.2776536|0.36832051|236.7675313|-51.60489663|9.98319831|115.6739235|0.7494816990000001|-2.372750256|-48.11018574|-28.24584108|90.37127996|3055.168373|-1525.275418|2995.494247|0.250518301|7.056031803|13.52121974|161.0407189|37.68716585|0.022660131|2035.106956|686.8472757999999|14.56661536|0.0|1.0|0.0|4.91|2.38|0.13|17.0|-6.41|2.34|1.65|124.32|1.65|1.0|133.79|0.0|-3.87|5.0|444.46|0.0|1.94|0.0002399999999999|107.0|1.65|3.94e-07|0.000175|-0.05091|5.3771|4.13|-1500.898316|679.08|1171.77|230.58|0.3356699999999999|-1500.621723|0.0699|-0.15054|7.9959|-0.20145|0.04735828|-1500.683599|10.6621|7.9586
9_a3|0|0|0|0.0|6.823286122000001|0|0.605017128|0.0|0.187952252|-0.007847313|4.727387819|0.034166667|-0.298197887|0.065373003|1|1|-0.003863265|-0.216450234|0.141996379|1|0.6729843740000001|0.7327715159999999|0.865283439|0.84649775|-0.095161413|-0.083555008|-44.74600478|-39.28853824|0.15350225|72.17854599|-18.47392835|1.6312253680000002|72.50764604|0.886859678|-1.336880133|-21.04009269|-17.96047462|48.21513485|2017.0704920000005|-628.6166118|1383.145159|0.1131403219999999|5.004834198999999|8.532203772|53.19989715|20.25176593|0.008976383|708.8118076000001|349.6957191|4.220799781|1.0|1.0|1.0|3.1|2.44|0.0|21.0|-7.26|4.9|4.62|80.04|2.42|1.0|92.69|0.0|-5.53|2.0|303.38|1.0|3.7|1.25e-05|0.00379|4.14|5.5e-08|1.67e-05|-0.03999|5.8185|3.28|-1256.087705|512.44|857.36|213.09|0.3639699999999999|-1255.9558029999998|0.1127|-0.15834|2.0863|-0.19833|0.0242342|-1256.002529|2.6661|4.96
16b_a32|1|1|1|0.0|7.765993078999999|0|0.2980105389999999|0.0|0.0873104119999999|-0.008469352|5.733341277|0.041958333|-0.423467596|-0.018753196|3|3|-0.00180101|-0.023602065|-0.222700615|0|0.852956281|0.907055332|0.6762731040000001|0.7465375040000001|-0.088716278|-0.1083060409999999|-56.84546999|-69.39772428|0.253462496|162.40756509999997|-44.4669946|6.490611388|9.827907321|0.7476362679999999|-1.624590613|-36.42406481|-22.14820988|66.97508778|3037.795494|-1040.965864|3264.235184|0.252363732|6.466656381|11.05406524|161.7035261|29.62431176|0.017136832|1392.342653|597.8890744|10.98052464|0.0|1.0|1.0|3.71|2.48|0.28|19.0|-7.6|5.4|4.88|165.49|0.41|1.0|114.43|1.0|-6.28|6.0|433.57|1.0|3.26|2.84e-05|0.0123|3.14|2.54e-08|1.1e-05|-0.05946|3.6211|6.37|-2315.990437|676.92|1137.73|342.39|0.70233|-2315.757928|0.2849|-0.14995|4.4055|-0.2094099999999999|0.03900066|-2315.819979|7.0093|7.7696
12j_a36|1|0|0|0.0|7.412764017000001|2|0.6293514410000001|0.0|-0.084183025|-0.007086381|5.351858133|0.039061728|-0.41101009|0.039869055|1|1|0.003710345|0.161289379|-0.133106642|1|0.820041835|0.87043328|0.855081905|0.852586292|-0.069970795|-0.105480639|-46.2113679|-69.66341599|0.147413708|97.35760604|-46.00836307|7.921272637|2.098786266|0.7758129420000001|-2.004132137|-30.5197407|-24.51120192|58.20533756|2881.20453|-1323.6049039999998|2536.987511|0.224187058|7.483427579|13.78874575|148.06163930000002|31.59421634|0.016546717|1706.0876829999995|725.9470896|10.92807939|0.0|1.0|1.0|4.86|0.0|0.17|17.0|-7.05|3.33|2.61|94.5|2.51|1.0|135.47|0.0|-4.85|4.0|427.52|0.0|2.33|3.09e-05|0.0132|3.19|8.95e-08|3.83e-05|-0.05098|5.2072|3.37|-1670.448063|694.28|1198.96|238.1|0.37116|-1670.184251|98.0|-0.15495|6.4451|-0.20593|0.02793415|-1670.245584|8.5953|8.0
