molecula|SddssS|NaaNH|n9FaRing|SaaNH|SssssC|SRW09|SaasN|MATS2c|AATSC1s|MATS7i|SaaaC|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|MATS1i|AATSC1i|GATS1are|BIC2|MATS8s|GATS1pe|nFaHRing|RASA|FNSA3|FPSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|FNSA1|FNSA2|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|FPSA1|GRAV|FPSA5|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Contribuition (max. transition)|Zero Point Energy|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|pIC50
1j_a5|0.0|1|0|2.9426852410000004|0.0|6.605297921|0.0|-0.2031633169999999|-0.010620031|-0.115553003|0.0|0.00683534|-0.07622096|10.9487794|-0.032333695|1|-0.010807075|-0.0178558139999999|0.74740095|0.7862755770000001|-0.084090414|0.717355058|0|0.847163872|-0.073803258|0.019690225|-40.01980349|10.57633738|73.73338699|0.152836128|82.09385267|-0.027258236|0.616489567|-1.117587665|-21.29338752|54.3827755|50.21875634|0.469085779|2242.805131|455.0425806|847.5275797|0.383510433|4618.562904|0.026739895|-125.1415813|422.96706330000006|14.36297201|1.0|1.0|1.0|1.0|1.0|2.76|2.66|0.05|23.0|-8.14|4.21|0.0|0.0|96.98|1.0|4.0|-4.03|25.0|4.0|-6.15|328.37|0.0|1.0|1.0|9.27e-05|0.0304|6.29e-05|0.0|0.0|2.36e-06|-0.03832|2.61|572.47|959.39|300.89|0.66182|-1065.671975|-0.20645|-1065.723417|3.0364|7.6198
17a_a50|0.0|0|1|0.0|0.0|7.934155233999999|4.319202937|-0.186084687|0.009691515|-0.109740063|2.189373662|0.012510153|-0.0979202769999999|10.94500663|-0.131632653|2|-0.239713023|-0.3891730779999999|0.762224122|0.784570118|-0.204032723|0.732114362|1|0.92300665|-0.045404408|0.013784807|-51.14229199|8.977762705|10.03717565|0.07699335|50.14419437|-0.0280449529999999|0.7899109000000001|-1.570517366|-19.25896309|58.69900789|38.54872522|0.486855438|2644.4486420000003|601.1353533|1799.721631|0.2100891|5718.782531|0.011602876|-377.6260803|719.3470265|7.556715901|1.0|1.0|1.0|1.0|0.0|3.95|3.29|0.29|20.0|-6.76|4.14|1.0|0.0|121.78|1.0|6.0|-3.99|30.0|4.0|-6.44|398.5|0.0|1.0|0.0|0.000102|0.0408|3.61e-05|0.0|0.0|6.97e-05|-0.03196|3.08|705.96|1204.79|306.31|0.6244|-1258.260865|-0.1992|-1258.322582|8.2991|7.0706
14x_a23|0.0|0|1|0.0|0.0|7.423568444|3.101221922|0.0944818319999999|-0.111315218|0.05740118|0.6753138120000001|0.003379755|-0.075184011|10.31321817|-0.0229244|2|-0.073958723|-0.206574435|0.5788469970000001|0.802520527|-0.035031888|0.558482531|1|0.7768288609999999|-0.0708831479999999|0.022095943|-55.83053941|14.64350681|42.44114495|0.223171139|147.90081730000003|-0.034056109|0.722211323|-1.6006371069999998|-31.13207597|70.40248829|61.61945314|0.468120981|3071.48868|514.8229467|2382.851643|0.277788677|6989.569075|0.0219879679999999|-294.5294492|597.2903597999999|14.57194888|0.0|0.0|1.0|0.0|1.0|3.42|3.42|0.05|26.0|-7.93|5.14|2.0|1.0|120.2|1.0|5.0|-5.68|32.0|6.0|-6.35|447.46|0.0|0.0|0.0|2.09e-06|0.0009369999999999|5.41e-06|0.0|0.0|5.23e-06|-0.08216|3.97|675.21|1149.42|335.63|0.6757|-1828.168422|-0.23475|-1828.228912|8.1916|8.4949
12f_a30|0.0|0|0|0.0|-4.734662095|7.412764017000001|0.0|0.156569208|-0.274237737|0.1468972409999999|0.0|-0.00695299|-0.008663584|10.31162828|-0.046588557|1|-0.077457998|-0.226973911|0.613786308|0.8246767140000001|-0.043091382|0.593245722|0|0.8357464459999999|-0.090450992|0.01570263|-76.85198573|11.07796031|101.2862703|0.164253554|115.8783181|-0.0452183279999999|0.815175332|-2.396571368|-45.01820228|89.21786458|74.88972286|0.472521727|3305.792133|589.6060704|2712.844784|0.184824668|7634.176316|0.01752821|-444.7025522|696.6414817000001|12.36587885|1.0|0.0|1.0|0.0|1.0|4.73|0.0|0.17|17.0|-7.18|4.78|2.0|0.0|133.96|1.0|7.0|-6.7|34.0|8.0|-5.66|482.48|0.0|0.0|0.0|1.99e-07|9.63e-05|1.2e-06|0.0|0.0|3.19e-05|-0.05464|5.52|729.87|1225.63|351.25|0.32483|-1987.782125|-0.20422|-1987.848015|4.6865|7.7144
3k_a32|0.0|1|1|3.644417045|0.0|7.97831097|0.0|-0.001009768|-0.001250803|-0.047167919|2.256213388|0.001221534|-0.0902541999999999|10.31100271|-0.077097565|3|-0.050938823|-0.090775221|0.816196288|0.779649252|-0.127713677|0.7681279190000001|1|0.8777482409999999|-0.0711378679999999|0.0123637989999999|-51.21653025|6.970844822|80.0971996|0.122251759|68.92687468|-0.029575784|0.78057227|-1.271758703|-22.61349991|58.16707081|47.07915023|0.472646737|2392.3436100000004|494.8840288|1970.06814|0.21942773|5259.698672|0.012327787|-316.3794102|506.658189|6.9505405620000005|1.0|1.0|1.0|1.0|1.0|3.47|3.48|0.32|19.0|-7.23|5.78|2.0|0.0|105.36|1.0|3.0|-7.04|25.0|3.0|-5.01|366.5|0.0|0.0|1.0|9.16e-08|3.3600000000000004e-05|2.47e-06|0.0|0.0|2.15e-05|-0.05321|3.81|611.65|1022.89|350.6|0.70268|-1749.957584|-0.19988|-1750.0122420000002|5689.0|8.0605
17a_a6|0.0|1|0|3.3685510360000004|0.0|7.412764017000001|0.0|0.101940358|-0.0265090529999999|0.04129257|0.0|-0.00460563|0.078798543|10.94948984|-0.060774312|1|-0.10896749|-0.180339002|0.850080948|0.7722228729999999|0.08716369|0.8013954109999999|0|0.753082653|-0.096082495|0.031147305|-71.75703418|20.43213226|157.13173490000003|0.2469173469999999|161.9738174|-0.041567592|0.77193498|-2.078379577|-41.34573382|84.75077935|83.46070738|0.483320982|2816.084228|494.010135|2217.333474|0.22806502|5996.580489|0.019808023|-356.769966|627.4287311|12.99374518|1.0|1.0|1.0|1.0|2.0|3.52|2.88|0.12|23.0|-9.01|4.32|2.0|0.0|116.79|1.0|5.0|-5.81|31.0|5.0|-5.89|409.44|0.0|0.0|1.0|1.56e-06|0.000637|6.69e-06|0.0|0.0|4e-07|-0.05753|4.04|696.96|1167.16|416.71|0.69627|-1349.830672|-0.18178|-1349.892285|5604.0|7.6198
8_a4|0.0|0|0|0.0|0.0|7.535296702|2.126514848|-0.208165266|0.03148225|-0.072752231|1.987684188|0.010647563|-0.011835327|10.9295757|0.05775266|1|-0.048133994|-0.078942941|0.619844116|0.813333185|-0.07377839|0.576540652|1|0.925132446|-0.05397993|0.0103751219999999|-33.90618946|5.362918401|11.02158946|0.074867554|38.69916707|-0.024598141|0.7261541020000001|-0.983925625|-14.42275611|41.57817329|33.26523662|0.428884426|2297.5526170000003|478.2025467|1737.932042|0.273845898|5162.482272|0.0148422489999999|-233.7988862|434.9654405|7.671983829|1.0|1.0|1.0|1.0|0.0|2.99|3.19|0.15|21.0|-7.78|4.76|1.0|0.0|100.13|1.0|2.0|-4.35|25.0|3.0|-5.76|346.81|0.0|1.0|1.0|4.49e-05|0.0156|1.46e-05|0.0|0.0|5.72e-06|-0.05864|3.29|561.6|949.09|311.03|0.30471|-1450.071352|-0.22685|-1450.121028|5.7488|7.2676
9d_a31|0.0|1|0|3.456767212|0.0|7.765993078999999|0.0|0.036844743|-0.043220149|-0.057650507|0.0|-0.002456634|-0.0938310919999999|10.31169788|-0.021171445|2|-0.134504227|-0.214049412|0.8066174070000001|0.8343242820000001|-0.030275712|0.771222772|0|0.6943358040000001|-0.098210975|0.029032453|-81.53295088|19.79432796|154.8767865|0.305664196|208.401866|-0.033844766|0.6636195229999999|-1.793772606|-45.65350116|97.84665015|86.75457645|0.457506946|2654.377004|473.3981899|1932.363213|0.336380477|5748.743284|0.023927395|-223.1115993|647.1500428999999|16.31369927|1.0|1.0|1.0|1.0|2.0|3.8|3.35|0.38|16.0|-7.63|4.09|2.0|0.0|112.97|1.0|9.0|-5.61|29.0|5.0|-6.36|412.51|0.0|0.0|1.0|2.48e-06|0.0010199999999999|4.06e-05|0.0|0.0|9.69e-06|-0.03457|5.0|727.27|1202.79|322.22|0.7006899999999999|-1657.1791449999998|-0.19426|-1657.245966|3.5077|6.2218
5a_a40|0.0|0|0|0.0|0.0|8.149890544|1.688148148|-0.116583806|0.059258947|-0.108428634|0.808197279|0.011345707|0.180125135|10.31198338|-0.02394636|2|0.004130836|0.007301856|0.538671739|0.756882266|-0.442215721|0.5263598389999999|1|0.8531783270000001|-0.078132307|0.020641204|-40.27003217|9.135164355|174.99981530000002|0.146821673|64.97877226|-0.036396585|0.8224652720000001|-1.091897544|-15.30358975|46.06507254|43.71412865|0.4889874279999999|1847.672595|377.5905776|508.8362301|0.177534728|3736.248815|0.0130940839999999|-285.426492|244.8873477|5.795040371|1.0|0.0|1.0|1.0|0.0|3.04|2.49|0.21|14.0|-4.05|3.08|0.0|1.0|74.15|2.0|3.0|-4.13|19.0|3.0|-5.9|269.32|0.0|1.0|1.0|7.49e-05|0.0202|0.000213|0.0|0.0|0.0241|-0.0657799999999999|4.36|466.79|757.45|326.96|0.69499|-1177.51016|-0.21644|-1177.555706|7.6003|7.0915
19_a15|-3.694652026|0|0|0.0|0.0|0.0|0.0|0.156105985|-0.558905888|0.037722611|0.0|-0.012350591|-0.04003124|10.31928434|-0.032407407|0|-0.0283109839999999|-0.045543362|0.7981860159999999|0.722297906|0.042424078|0.7358168620000001|0|0.691069123|-0.0946599869999999|0.00527267|-64.78818183|3.04716388|61.63983265|0.308930877|178.5363184|-0.042351319|0.922135562|-1.905809364|-31.61527447|68.10965742|57.75275299|0.405429114|2625.952212|399.3803987|1857.369806|0.077864438|5417.777463|0.005747326|-487.9183964|490.1808545|3.321475588|1.0|1.0|1.0|1.0|2.0|2.99|2.17|0.11|18.0|-7.14|4.96|1.0|0.0|101.22|1.0|5.0|-5.12|26.0|5.0|-6.22|369.44|0.0|0.0|1.0|7.56e-06|0.00279|4.1200000000000005e-05|0.0|0.0|2.69e-05|-0.0372399999999999|7.53|601.23|1030.77|297.03|0.68945|-1523.196562|-0.20742|-1523.254714|9326.0|7.1427
17f_a50|0.0|0|1|0.0|0.0|7.934155233999999|4.305828452|-0.2208117919999999|0.022892513|-0.167275895|2.187498662|0.012475826|-0.028989535|10.94501702|-0.132773563|2|-0.247590736|-0.407467272|0.758335704|0.7851209440000001|-0.132153434|0.7241275009999999|1|0.911458734|-0.047333916|0.016414675|-46.03121141|10.09339793|6.382846132999999|0.088541266|54.44410182|-0.026836447|0.721122105|-1.422331714|-17.89709978|55.9791334|39.19906437|0.472769049|2582.272632|560.4567739|1929.981543|0.278877895|5579.97966|0.01617809|-271.9363523|652.6793116|9.947921993|1.0|1.0|1.0|1.0|0.0|3.81|2.97|0.26|20.0|-6.38|3.83|1.0|0.0|116.81|1.0|6.0|-3.58|29.0|4.0|-6.64|384.48|0.0|1.0|1.0|0.000266|102.0|7.57e-05|0.0|0.0|0.00016|-0.0336399999999999|2.5|653.63|1146.22|304.9|0.6573899999999999|-1218.966516|-0.20148|-1219.02507|8.312999999999999|6.4001
9h_a24|0.0|1|0|2.916716427|0.0|7.153833802|1.726213624|-0.203768024|2.01e-05|0.078066659|0.0|0.013595277|-0.209618231|10.96661419|-0.002471577|2|-0.02551563|-0.047269812|0.687815726|0.78742035|0.183289617|0.656172477|0|0.883775278|-0.060337884|0.018457687|-32.48899638|8.724425117000001|167.2085719|0.1162247219999999|54.93613103|-0.026280957|0.572371258|-0.8935525440000001|-13.48059881|47.51520531|37.24443236|0.477589721|2062.34011|417.7355164|768.1954692|0.427628742|4170.098082|0.031789952|-68.41568372|295.8603625|15.02620893|1.0|0.0|0.0|1.0|1.0|2.84|1.96|0.0|22.0|-6.05|2.72|0.0|0.0|82.17|1.0|3.0|-2.83|22.0|4.0|-6.85|288.31|0.0|1.0|1.0|0.00147|423.0|0.000575|0.0|0.0|0.000258|-0.0435399999999999|1.16|506.68|831.92|285.43|0.54606|-945.153352|-0.22593|-945.200628|7.7741|7.1135
16f_a32|0.0|1|1|3.354832924|0.0|7.765993078999999|0.0|0.1767304639999999|-0.054907428|0.008658653|2.082564316|-0.003511776|-0.081644236|10.31100265|-0.000291262|3|-0.120440534|-0.211019184|0.801401734|0.852938445|0.085125293|0.761506727|1|0.8072754790000001|-0.08168632|0.024434011|-76.92280867|16.90955989|89.03402347|0.192724521|133.3750236|-0.035568666|0.69473708|-1.778433296|-39.12230215|92.82839829|73.4405859|0.384656622|2772.212354|558.6750754999999|3414.006186|0.30526292|6235.040893|0.022983292|-269.5356315|636.0251562999999|15.90558963|1.0|1.0|1.0|1.0|2.0|3.76|3.4|0.3|19.0|-7.77|4.99|3.0|0.0|116.75|1.0|9.0|-6.95|29.0|5.0|-5.99|427.54|1.0|0.0|1.0|1.12e-07|4.79e-05|1.07e-05|0.0|0.0|7.26e-06|-0.04997|4.99|722.06|1191.55|341.82|0.70204|-1995.054457|-0.2|-1995.117771|4.2764|8041.0
6b_a31|0.0|1|0|3.404988662|0.0|7.773594467000001|0.0|0.052690797|-0.178758575|0.11647286|0.0|-0.011483229|-0.032090772|10.31169819|-0.053655833|2|-0.002840672|-0.004825446|0.838789705|0.78240875|-0.068433069|0.795570315|0|0.627853074|-0.12081047|0.032992761|-78.37648097|20.12924648|159.79549319999998|0.372146926|227.0509355|-0.045675611|0.7459204140000001|-2.055402513|-44.96993859|93.1058799|93.83704414|0.4807018779999999|2776.92804|383.0600707|2063.736075|0.254079586|6099.567787|0.024142162|-300.0775025|536.6368656000001|14.72939894|1.0|1.0|1.0|1.0|2.0|3.55|2.73|0.1|22.0|-7.33|4.0|1.0|0.0|109.69|1.0|4.0|-5.63|29.0|5.0|-6.5|404.44|0.0|0.0|1.0|2.34e-06|0.000947|2.18e-05|0.0|0.0|1.89e-05|-0.05835|4.61|637.06|1077.19|376.29|0.7013199999999999|-1652.44739|-0.1918|-1652.505041|8.8379|7.2676
13n_a6|0.0|1|0|3.425442623|0.0|6.842683282|0.0|0.030890422|-0.135152403|0.058267173|1.628408574|-0.0093684169999999|-0.06507689|10.95053349|-0.033224059|1|-0.068956229|-0.118693789|0.870730542|0.7767360059999999|-0.064779873|0.82642394|1|0.70890216|-0.100363599|0.017758385|-75.07706271|12.18768927|90.97854097|0.29109784|199.7822434|-0.038490115|0.748967057|-2.078466222|-47.27287681|88.73738138|81.06784641|0.47066442|2952.259627|486.5239262|2535.307313|0.251032943|6386.381394|0.019904118|-341.7352549|724.3873672999999|13.66031867|1.0|1.0|1.0|1.0|3.0|3.55|1.9|0.08|27.0|-9.67|3.76|1.0|0.0|127.2|1.0|6.0|-4.64|33.0|5.0|-7.23|435.48|0.0|0.0|1.0|2.27e-05|0.00987|5.24e-05|0.0|0.0|9.35e-08|-0.07131|4.27|727.69|1232.6|369.99|0.55028|-1423.451366|-0.20994|-1423.514154|10.1967|7.1249
21_a47|0.0|0|1|0.0|0.0|6.86171134|1.2247108|0.072733799|-0.13650463|-0.034419528|1.028199909|-0.006808306|-0.004063946|10.95058272|0.057225853|1|-0.1049885469999999|-0.277479519|0.612295986|0.826796636|-0.080213904|0.591185263|1|0.70582155|-0.082614966|0.022739546|-53.76411184|12.83540744|34.75044485|0.29417845|166.049938|-0.033866638|0.6448452960000001|-1.5239986980000002|-26.32173133|70.10126935|59.46768095|0.463113582|2691.697803|398.4031618|1402.202743|0.355154704|6103.311635|0.028943339|-163.5167523|482.9384172|16.33715751|0.0|1.0|1.0|1.0|2.0|3.29|3.32|0.1|21.0|-7.7|4.93|1.0|0.0|104.49|1.0|6.0|-4.44|29.0|6.0|-6.58|394.38|0.0|0.0|1.0|3.6e-05|0.0142|4.84e-05|0.0|0.0|7.8e-06|-0.06339|4.43|583.37|1014.33|316.53|0.68296|-1374.858663|-0.2249699999999999|-1374.914223|4.9172|8.3
12a_a30|0.0|0|0|0.0|0.0|7.412764017000001|0.0|0.033691224|-0.02919335|-0.096804291|0.0|0.005050384|0.009586623|10.31162903|-0.094932667|1|-0.053309522|-0.094526372|0.8421237309999999|0.7885597609999999|-0.031179517|0.7961424690000001|0|0.836214716|-0.07699057|0.016292604|-60.22802588|10.10177981|85.47365107|0.163785284|101.5505506|-0.037665934|0.805190202|-1.845630786|-29.59731695|69.45678454|57.83766054|0.469799116|2722.217443|518.4718832|2256.680391|0.194809798|5936.682602000001|0.014884556|-378.4495438|620.9195447000001|9.228758655|1.0|0.0|1.0|0.0|1.0|4.65|0.0|0.14|17.0|-6.64|2.62|2.0|0.0|127.28|1.0|5.0|-5.28|29.0|4.0|-5.98|398.48|0.0|0.0|0.0|5.23e-06|0.00208|1.4e-05|0.0|0.0|9.21e-05|-0.05184|3.82|668.81|1122.01|355.41|0.35338|-1575.538241|-0.19994|-1575.597759|4.7368|7.9469
12aq_a36|0.0|1|0|3.427017327|0.0|7.412764017000001|0.0|0.0332421529999999|-0.135770278|0.076517478|0.0|-0.006653538|-0.1031859869999999|10.95447882|-0.028591187|1|-0.052743904|-0.090926893|0.892815402|0.839953955|-0.0606936879999999|0.849217847|0|0.681470612|-0.1093001919999999|0.021389734|-81.56528598|14.29132551|86.6958382|0.318529388|212.8220574|-0.042953452|0.7619767479999999|-2.319486422|-48.79273723|95.39676382|87.31909781|0.426481765|2932.54604|455.31741460000006|2906.024504|0.238023252|6296.75201|0.020701483|-350.0740123|689.2886595|13.83147784|0.0|0.0|0.0|0.0|3.0|4.83|0.0|0.13|17.0|-6.14|0.98|1.0|0.0|131.85|1.0|6.0|-3.52|32.0|5.0|-7.79|424.46|0.0|0.0|0.0|0.000304|129.0|0.000359|0.0|0.0|0.000305|-0.06059|3.88|703.04|1190.22|367.26|0.6933199999999999|-1401.391057|-0.19967|-1401.452487|8671.0|7.2596
13_a15|0.0|0|0|0.0|0.0|0.0|0.0|-0.139434143|-0.031457366|-0.006938727|0.0|0.001806571|-0.031047852|10.95980212|0.005149745|0|-0.173728081|-0.272482143|0.843715005|0.729838386|0.008210506|0.796300317|0|0.8854875790000001|-0.068526782|0.016196467|-61.86632281|10.21906987|142.67217639999998|0.114512421|72.25096855|-0.033811561|0.755283433|-1.961070565|-27.279882500000003|72.41636305|53.45565817|0.482317225|3028.485145|558.6934137000001|3581.589629|0.244716567|7196.400881999999|0.01672103|-322.1392954|830.7967967000001|10.55004024|1.0|1.0|1.0|0.0|1.0|4.13|4.19|0.07|24.0|-8.9|6.69|2.0|0.0|138.24|1.0|6.0|-6.32|34.0|4.0|-5.26|448.52|1.0|0.0|0.0|4.77e-07|0.000214|7.970000000000001e-07|0.0|0.0|5.7e-07|-0.03946|5.04|674.36|1231.11|482.03|0.63827|-1450.399387|-0.15229|-1450.462642|6.0429|8.2218
18_a3|0.0|1|0|2.897754472|0.0|6.605297921|0.0|-0.256375952|-0.021283637|0.08269134|1.742872103|0.0057881999999999|0.042606196|10.96965878|-0.025890816|1|-0.035611069|-0.064953613|0.7226687409999999|0.714658751|0.0355413979999999|0.6858831809999999|1|0.8419576209999999|-0.069839069|0.013796397|-37.67445366|6.1383958|160.9514039|0.158042379|70.31739201|-0.031753312|0.682492203|-1.016105994|-13.82537222|48.19055867|37.21171433|0.483376636|1938.093995|374.610053|703.8534116000001|0.317507797|3928.183499|0.02363555|-162.3915791|270.539096|10.51610501|0.0|1.0|0.0|1.0|1.0|2.62|1.81|0.0|21.0|-6.83|3.08|0.0|0.0|80.35|1.0|2.0|-2.82|21.0|4.0|-6.7|273.29|0.0|1.0|1.0|0.0015|411.0|0.000537|0.0|0.0|4.07e-05|-0.05769|1.85|482.41|784.04|311.79|0.6671699999999999|-889.850598|-0.2218|-889.894728|3.3664|7.5229
12q_a30|0.0|0|0|0.0|-4.76444841|7.412764017000001|0.0|0.144208934|-0.27228842|-0.016509571|0.0|-0.00695299|0.004165554|10.31162828|-0.021542639|1|-0.077457998|-0.226973911|0.613786308|0.816138015|0.01661722|0.593245722|0|0.845745827|-0.087348134|0.014790072|-78.7683329|10.07866809|82.72757145|0.154254173|105.1162273|-0.045799658|0.820640722|-2.427381881|-40.56199584|90.06607753|69.60189582|0.473741611|3305.289025|576.3319634|2844.418547|0.179359278|7990.060758|0.016579022|-437.0000797|696.6414817000001|11.29774462|1.0|0.0|1.0|0.0|1.0|4.73|0.0|0.17|17.0|-7.18|4.78|2.0|0.0|133.96|1.0|7.0|-6.7|34.0|8.0|-5.66|482.48|0.0|0.0|0.0|1.99e-07|9.63e-05|1.2e-06|0.0|0.0|3.19e-05|-0.05105|5.52|713.16|1214.92|355.93|0.34138|-1987.781386|-0.19897|-1987.847256|6.821000000000001|7.4449
18_a34|0.0|0|0|0.0|0.0|7.423568444|1.801574074|-0.063113846|-0.101546926|-0.100548575|0.0|-0.001615187|-0.141332289|10.9595763|-0.136990511|1|-0.3102088839999999|-0.478810922|0.759292258|0.805756513|0.0468829359999999|0.713979177|0|0.68981472|-0.090328365|0.040845819|-71.65163761|22.55015528|66.6880793|0.31018528|171.24705480000003|-0.0422555509999999|0.695849945|-1.816988713|-27.53138148|86.77082535|72.41862911|0.441058733|2424.18137|380.8328339|1774.550004|0.304150055|5296.289007|0.027385869|-216.2496321|428.6241319|15.11918774|1.0|1.0|1.0|1.0|0.0|3.28|3.61|0.21|17.0|-5.65|3.15|1.0|0.0|93.91|2.0|5.0|-4.32|26.0|6.0|-6.26|351.36|0.0|1.0|1.0|4.77e-05|0.0167|7.829999999999999e-05|0.0|0.0|0.000781|-0.03925|5.07|592.04|991.93|300.68|0.56101|-1199.101028|-0.21474|-1199.158044|6.7806|5.6144
17g_a50|0.0|0|1|0.0|0.0|7.934155233999999|4.377239517|-0.185924266|0.052557574|-0.05611228|2.236579664|0.012079|-0.022378911|10.94501702|-0.1155555559999999|2|-0.200725906|-0.323333765|0.754575205|0.738521694|-0.10642733|0.7276268779999999|1|0.920663175|-0.048170917|0.014550016|-47.17463902|9.710172008|10.60268439|0.079336825|52.94662161|-0.025918901|0.749948388|-1.555134042|-21.45417373|56.28102287|41.85775712|0.467997084|2821.3922|614.4183967|1975.996014|0.250051612|6102.424958|0.013645282|-333.6136209|829.3813984|9.106383854|0.0|1.0|1.0|1.0|0.0|4.04|3.66|0.35|20.0|-6.96|4.37|2.0|0.0|133.03|1.0|6.0|-4.46|32.0|4.0|-6.28|424.54|0.0|1.0|0.0|3.4899999999999995e-05|0.0148|1.39e-05|0.0|0.0|4.6500000000000005e-05|-0.0323|3.22|725.92|1259.05|306.45|0.6623600000000001|-1335.631756|-0.19929|-1335.693266|9.1706|6.6091
8d_a8|0.0|1|0|3.190160226|0.0|7.05012252|1.41693287|-0.12349902|-0.155313194|0.071729931|0.0|-0.00267541|-0.077977198|10.94649761|-0.117111249|1|0.016471091|0.025642021|0.76211539|0.757805416|0.0780635059999999|0.734212688|0|0.6932924890000001|-0.1072746469999999|0.028038295|-67.26951954|18.28507531|57.93693239|0.306707511|200.0182229|-0.03820405|0.675359878|-2.063018716|-45.62337399|86.29065071|88.24385833|0.483207744|2863.968296|452.1282556|2093.380666|0.324640122|6596.888351|0.029166961|-228.7206541|682.0472537|19.02113117|0.0|0.0|1.0|1.0|2.0|3.61|2.92|0.12|23.0|-7.62|3.32|1.0|0.0|121.1|1.0|6.0|-4.91|32.0|5.0|-6.87|430.46|0.0|0.0|0.0|1.24e-05|0.00533|3.4200000000000005e-05|0.0|0.0|1.03e-05|-0.0600299999999999|6.22|690.78|1185.65|376.13|0.62361|-1447.2928029999998|-0.19757|-1447.354662|7.5674|4.7303
12v_a30|0.0|0|0|0.0|0.0|7.412764017000001|0.0|0.037440652|-0.029548782|-0.099831334|0.0|0.002431329|0.020607357|10.31162873|-0.04950715|1|-0.0493878409999999|-0.0857954809999999|0.8149999040000001|0.83236194|-0.029852321|0.711738503|0|0.8501212029999999|-0.077138874|0.015823709|-65.72041011|10.70556236|82.09302037|0.1498787969999999|101.4008026|-0.037666615|0.806069067|-1.845664126|-35.30820865|75.73440678|62.89402328|0.478535287|3001.758432|575.1512171|2483.120571|0.193930933|6952.110426|0.014801518|-414.1432908000001|685.6665849999999|10.01399667|1.0|0.0|1.0|0.0|1.0|4.62|0.0|0.14|17.0|-7.8|3.92|2.0|0.0|137.3|1.0|5.0|-6.58|31.0|4.0|-5.52|467.37|0.0|0.0|1.0|2.64e-07|0.000123|9.14e-07|0.0|0.0|7.39e-06|-0.0563|5.08|715.58|1209.1|349.18|0.68405|-2494.739831|-0.20681|-2494.802821|4105.0|7.6596
7d_a10|0.0|0|0|0.0|0.0|7.535296702|2.087763133|-0.117302383|-0.017919404|-0.042667459|1.591760572|0.00870171|-0.071185424|10.929819300000002|-0.0325418129999999|1|-0.041520889|-0.089622042|0.531023495|0.809056885|0.0658971929999999|0.525816226|1|0.841052067|-0.059327943|0.010495008|-37.61597161|5.567989142999999|12.32220006|0.158947933|84.32774259|-0.024733154|0.729585423|-1.063525614|-16.69900016|45.08492005|37.04365163|0.484115691|2348.343588|446.2091497|1597.531619|0.270414577|5174.981962|0.014078094|-243.607074|460.1866123|7.468948447000001|1.0|1.0|1.0|1.0|0.0|3.21|3.21|0.19|21.0|-7.83|4.97|1.0|0.0|100.04|1.0|2.0|-4.22|26.0|4.0|-5.83|344.38|0.0|1.0|1.0|5.98e-05|0.0206|1.9e-05|0.0|0.0|5.04e-06|-0.05634|3.49|574.87|970.29|319.09|0.32059|-1129.003694|-0.21965|-1129.0552810000002|3.4695|6.0325
17a_a10|0.0|0|0|0.0|0.0|7.535296702|2.118111229|-0.218519541|0.021150127|-0.082914437|1.863045777|0.009206558|-0.093735748|10.92970797|0.031632653|1|-0.225935253|-0.360142554|0.7019075779999999|0.76281504|0.029106767|0.673253555|1|0.8538249840000001|-0.055423599|0.020088947|-58.46202420000001|14.20303963|51.96456548|0.146175016|103.34686|-0.023625536|0.564726042|-1.488408763|-27.70403316|76.48633670000001|53.38795048|0.4918223679999999|3154.628148|603.6608262999999|1855.293376|0.4352739579999999|7078.918870999999|0.0254938|-91.52361858|911.2106544|18.02431251|0.0|1.0|1.0|1.0|0.0|3.8|3.66|0.33|21.0|-7.32|2.5|1.0|0.0|142.16|1.0|6.0|-3.68|35.0|6.0|-7.43|468.55|0.0|1.0|0.0|0.00021|0.0986|4.74e-05|0.0|0.0|2.22e-05|-0.04641|3.95|767.6|1326.24|310.84|0.32889|-1524.187115|-0.21203|-1524.252023|5.3803|7.3098
