molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|SaasN|AATSC1c|SRW07|n6HRing|JGI4|SaaaC|AATSC1are|BCUTi-1|AATSC8d|AATSC1pe|AATSC7i|MATS1i|MATS1c|n6aHRing|GATS1are|BIC2|SIC2|RASA|FNSA5|PNSA3|RNCS|TPSA_x|FNSA4|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|FPSA1|GeomRadius|GeomShapeIndex|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50
8_a10|0|0|0|0.0|0.0|1|7.535296702|1|2.071128354|-0.00560152|5.4161004020000005|2|0.035828092|1.546251312|0.0087730469999999|10.92578782|-0.106100115|0.009056935|-0.000504277|-0.082893697|-0.368590322|2|0.6357042860000001|0.809386132|0.864927472|0.874843982|-0.086233061|-32.63117642|32.98071169999999|68.45976606|-0.029917593|4.714910465|9.35593124|0.722649449|-1.465962037|-17.849103399999997|56.7864899|41.25082928|0.431797417|2612.274447|478.5356341|-801.8744912000001|0.277350551|6.112185271|0.7599356820000001|22.64553798|0.017582236|1109.631361|583.7217118|9.617402178|0.0|0.0|1.0|0.0|3.27|0.22|21.0|-7.6|4.46|0.0|111.36|0.0|4.0|5.0|1.0|1.0|3.05e-05|0.0117|2.4100000000000003e-05|3.37|0.0|0.0|2.49e-08|9.59e-06|4.58|-1257.819281|594.63|1047.58|336.55|0.1596|264.0|0.41583|-1257.59269|-0.15556|1.2052|-0.21789|0.02243902|-1257.648047|1.5482|6279.0
5e_a40|0|0|0|0.0|0.0|1|8.149890544|0|1.661964758|-0.004925115|6.167516491000001|0|0.044526749|0.7768055559999999|0.009890343|10.31198323|0.029272031|0.008306061|-0.184667138|0.005996234|-0.391074665|0|0.535506399|0.8092726020000001|0.877722972|0.864422751|-0.089724264|-36.56222854|170.7311133|64.47400829|-0.035889706|4.489363277|51.7148695|0.8223594679999999|-1.076691165|-17.38723451|48.81318333|46.00255248|0.47779156|1986.384601|411.0778166|-512.0224486000001|0.177640532|6.533857846|0.914944155|20.75420252|0.012921086|622.6260756|264.9899736|6.144645946|1.0|0.0|0.0|0.0|2.73|0.21|14.0|-4.65|4.3|1.0|79.16|0.0|3.0|3.0|1.0|1.0|1.66e-05|0.00505|5.56e-05|3.51|0.0|0.0|2.23e-05|0.00678|4.99|-1637.180703|493.19|802.38|333.85|0.5262|333.85|0.69675|-1637.115238|-0.14786|7.87|-0.2201699999999999|0.01659566|-1637.162552|10282.0|7.6021
8g_a8|1|0|0|3.073183107|0.0|1|7.535296702|1|1.298078704|-0.014340328|5.4161004020000005|0|0.0438779959999999|0.0|-0.009140059|10.94318883|-0.03728368|-0.007047583|0.001970629|0.0794962979999999|-0.508072694|0|0.6784762320000001|0.734188081|0.790058057|0.533935495|-0.129695841|-83.78686741|171.26571059999998|285.5736014|-0.052430233|11.68315869|67.54104396|0.8330608209999999|-2.464220973|-51.33906829|90.27531534|102.8541256|0.479218966|2889.141422|327.1604688|-1509.912147|0.166939179|7.440878437999999|0.920192814|38.56355928|0.017636126|1812.487286|551.1746801|10.80625499|0.0|0.0|0.0|2.0|2.96|0.04|23.0|-7.4|4.11|0.0|111.38|0.0|4.0|5.0|0.0|0.0|5.01e-06|0.00209|1.16e-05|3.53|0.0|0.0|4.01e-08|1.67e-05|7.17|-1450.913472|635.27|1083.78|330.67|0.3904|330.67|0.69221|-1450.728709|-0.15542|6.0697|-0.21391|0.04147516|-1450.787398|7.5762|5.3768
19k_a38|1|0|0|3.218103741|0.0|0|7.412764017000001|2|0.0|-0.011877064|5.351858133|2|0.0445691609999999|0.0|-0.011156837|10.95446448|-0.0184136539999999|-0.00835812|0.208892195|-0.060668296|-0.51857087|1|0.7581164340000001|0.853092207|0.908591797|0.658700057|-0.126936513|-71.54314527|157.4834779|216.567059|-0.044662847|9.369654226|116.0039747|0.75964689|-2.411793744|-45.3966925|94.38036132|86.30929885|0.4769127179999999|3055.355167|417.968819|-1530.369661|0.24035311|6.744851799999999|0.911726848|37.3070426|0.021802691|2014.5803|686.8472757999999|13.8345897|0.0|0.0|0.0|4.0|2.2|0.13|17.0|-6.41|2.34|0.0|133.79|0.0|6.0|5.0|0.0|0.0|0.000134|0.0594|0.0002399999999999|1.65|0.0|0.0|3.94e-07|0.000175|4.13|-1500.852284|677.64|1172.22|350.45|0.2038|239.03|0.38269|-1500.618667|-0.14568|9.1508|-0.20102|0.04615409|-1500.680373|12.5022|7.9666
4j_a46|0|0|0|0.0|0.19521727|1|7.825245291|1|2.194310043|-0.002284836|5.587248657999999|1|0.048126615|0.0|0.011968098|10.94638774|-0.176133068|0.011684396|-0.078783783|-0.0589746909999999|-0.226712003|1|0.72796254|0.7298040140000001|0.763724435|0.949893337|-0.074417476|-34.99059698|70.56141095|29.59387777|-0.024805825|5.205103062|71.98911503|0.776932317|-1.339514565|-20.66606288|50.26191521|43.80358011|0.402450715|2260.870095|561.0237355|-791.1408955|0.223067683|6.274010655|0.673502127|18.85718615|0.0106831269999999|1018.288052|642.1335502000001|6.30964324|0.0|1.0|1.0|0.0|3.9|0.39|17.0|-7.69|5.18|0.0|110.24|0.0|4.0|3.0|1.0|1.0|4.16e-06|0.0015|4.86e-06|4.81|0.0|0.0|2.03e-08|7.33e-06|4.93|-1132.018764|646.67|1112.13|281.19|0.2783|229.82|0.37853|-1131.761156|-0.18387|2.9043|-0.20071|0.02491327|-1131.817578|3.8105|6.0942
33_a20|0|0|0|0.0|0.0|1|6.842683282|0|1.915285809|-0.00145476|4.727387819|2|0.0388043479999999|2.0219022580000003|0.009265667|10.93244905|-0.062750442|0.008780074|0.248715569|-0.036258691|-0.1771816269999999|2|0.616352201|0.74131936|0.802353442|0.9493896|-0.069838312|-38.58254635|8.680600701|33.13709773|-0.0265385579999999|5.46110745|64.93395624|0.759356182|-1.326927921|-25.26187502|54.60811436|46.92331405|0.465855239|2737.8873550000003|621.611679|-868.8044333999999|0.240643818|8.062843544|0.8721516570000001|22.88265911|0.013564844|1144.132956|664.4562602999999|8.881565237|1.0|0.0|1.0|0.0|3.59|0.08|27.0|-9.69|5.33|0.0|121.62|0.0|4.0|4.0|0.0|1.0|2.48e-06|0.000997|2.98e-06|4.47|0.0|0.0|2.04e-10|8.199999999999999e-08|4.07|-1275.823229|689.51|1174.95|318.99|0.6157|227.79|0.27375|-1275.602977|-0.15959|3.5714|-0.21788|0.02957286|-1275.662457|5.0369|7.4685
19_a20|1|0|0|3.423603867|0.0|0|6.842683282|0|0.0|-0.0096278259999999|4.727387819|3|0.0396875|1.622562232|-0.006620594|10.94899558|-0.063133522|-0.004654742|0.175308615|-0.049177437|-0.5838248970000001|3|0.811128636|0.7619768840000001|0.8193003000000001|0.754452534|-0.099685049|-60.26825633|339.8339889|161.33709|-0.038340404|5.890223441|88.19441661|0.796070588|-1.993700989|-39.5992891|75.98477124|69.23289949|0.483310517|2849.084477|495.7134289|-1309.962269|0.203929412|7.950138729|0.935398401|31.64490997|0.0159602|1645.535318|684.5377542|10.48665779|1.0|1.0|1.0|2.0|2.49|0.08|27.0|-9.63|4.97|0.0|122.86|0.0|5.0|5.0|0.0|1.0|1.29e-05|0.00541|2.6600000000000003e-05|2.91|0.0|0.0|2.34e-10|9.86e-08|5.01|-1368.378274|687.79|1190.68|368.83|0.2998|368.83|0.6987399999999999|-1368.129074|-0.13903|4.2507|-0.2067|0.03487615|-1368.190746|6.3327|5585.0
14p_a23|0|1|1|0.0|0.0|2|7.423568444|0|3.3252287430000003|-0.005975594|5.351858133|2|0.045165485|0.733042138|0.009895793|10.31321773|-0.053921569|0.009266617|0.080581604|-0.0686282459999999|-0.4510651779999999|2|0.708395022|0.799506006|0.8683808959999999|0.923455749|-0.080784473|-42.52653933|40.58186569|51.64167457|-0.033660197|10.06403753|84.65359899|0.751638299|-1.615689464|-28.69113861|67.36602512|57.44364296|0.464933687|3010.721939|623.0226425|-1090.0480289999998|0.248361701|9.014073839|0.868927227|30.21311441|0.0190667019999999|1450.229492|646.2584547|12.86362369|0.0|0.0|1.0|1.0|3.28|0.04|26.0|-7.47|3.4|1.0|125.0|0.0|5.0|5.0|0.0|0.0|2.09e-06|0.0009109999999999|1.27e-05|3.3|0.0|0.0|3.39e-08|1.4800000000000002e-05|3.29|-1722.152257|699.61|1191.08|346.79|0.3802|346.79|0.6816|-1721.933314|-0.14774|7.4033|-0.2382|0.02935511|-1721.994023|9986.0|8.5302
8d_a12|1|1|1|2.976279182|0.0|0|6.580639137|1|0.0|-0.0076893469999999|4.59511985|2|0.038347953|2.075171777|0.000925796|10.94458983|-0.046326855|0.001575111|0.0479437859999999|0.00930483|-0.484923957|1|0.8857286320000001|0.751098108|0.8078610759999999|0.858710112|-0.103548595|-43.27410838|90.34024296|78.55353315|-0.039118358|3.507952014|0.0|0.8338637040000001|-1.760326118|-24.05928792|64.53435462|49.58366734|0.465113852|2466.513191|477.4206699|-978.6959108|0.166136296|6.93584319|0.8695567329999999|26.08195789|0.012525773|1173.6881050000002|503.2240425|6.964006932|1.0|1.0|1.0|2.0|2.23|0.1|21.0|-8.37|3.87|0.0|112.14|0.0|3.0|4.0|1.0|1.0|2.64e-05|0.0093|2.43e-05|3.51|0.0|0.0|4.23e-09|1.49e-06|3.53|-1138.256361|600.2|1007.85|331.53|0.2871|292.53|0.6661|-1138.086709|-0.15306|2.1281|-0.20794|0.04004678|-1138.139635|3.0277|7.6021
11b_a50|0|1|1|0.0|0.0|2|7.927685046000001|1|4.071188272|-0.002908227|5.82008293|1|0.038040936|2.114272566|0.011959339|10.94500697|-0.133073229|0.012037198|-0.013155246|-0.162848233|-0.266743077|1|0.701976536|0.800774662|0.862408925|0.931316325|-0.069841183|-23.23499995|7.949039772000001|35.832562100000004|-0.02494328|5.295379767|86.04123302|0.642051995|-1.047617742|-12.12179711|47.72173991|33.38515735|0.42907551|2286.724895|485.8716402|-546.5465781|0.357948005|5.697537591000001|0.751545111|20.26785036|0.021631609|851.2497152000001|439.9973344|11.28530137|0.0|0.0|1.0|0.0|2.84|0.15|20.0|-5.87|3.09|0.0|99.65|0.0|2.0|3.0|1.0|1.0|0.000263|0.0862|6.97e-05|2.9|0.0|0.0|1.35e-06|0.000441|3.05|-1045.961211|560.06|955.4|311.03|195.0|266.8|0.53885|-1045.798634|-0.16684|2.7805|-0.19501|0.02113855|-1045.849774|3.7922|5.7696
18_a3|1|0|0|2.897754472|0.0|0|6.605297921|0|0.0|-0.003487792|4.59511985|3|0.034712644|1.742872103|0.0057881999999999|10.96965878|-0.025890816|0.005799063|0.150826737|-0.035611069|-0.2495754869999999|3|0.7226687409999999|0.714658751|0.784960175|0.8419576209999999|-0.0846755|-31.07331853|160.9514039|70.31739201|-0.031753312|2.73114076|0.0|0.682492203|-1.016105994|-13.82537222|48.19055867|37.21171433|0.483376636|1938.093995|374.610053|-452.0934439|0.317507797|5.293627315|0.935646099|20.70048575|0.02363555|662.4155441|270.539096|10.51610501|0.0|1.0|1.0|1.0|1.81|0.0|21.0|-6.83|3.42|0.0|80.35|0.0|2.0|4.0|1.0|1.0|0.0015|411.0|0.000537|1.79|0.0|0.0|1.49e-07|4.07e-05|1.85|-889.9402005000001|482.41|784.04|311.79|0.3326|311.79|0.6671699999999999|-889.850598|-0.1641099999999999|2.6366|-0.2218|0.02173162|-889.894728|3.3664|7.5229
6b_a40|0|0|0|0.0|0.0|1|8.421342866|1|1.710647518|-0.014861289|6.401917197|0|0.039863946|0.6899826|-0.003851208|10.30179924|-0.226457281|-0.004728928|-0.248560671|-0.018582337|-0.630957955|0|0.691778838|0.842573207|0.90571269|0.753431574|-0.118488624|-72.13527644|176.8246355|165.1465831|-0.049599889|6.544506614|34.43877986|0.878140798|-2.132795227|-48.31476032|87.29061302|81.90640622|0.442509019|3214.047452|504.6333458|-1428.503435|0.1218592019999999|6.976123351|0.793750992|37.83107469|0.011838681|1626.736212|618.8882797|7.929311055|1.0|0.0|1.0|1.0|3.36|0.21|14.0|-5.21|5.67|2.0|130.16|1.0|5.0|5.0|0.0|1.0|3.86e-09|1.98e-06|6.55e-07|5.03|1.0|1.0|6.21e-06|0.00318|8.98|-3290.745084|687.2|1183.07|399.62|0.4962|399.62|0.69429|-3290.583786|-0.1237099999999999|8193.0|-0.21904|0.03026498|-3290.648012|11.3203|7.5229
4_a3|0|0|0|0.0|0.0|0|6.823286122000001|0|0.0|-0.008561428|4.727387819|1|0.035345345|1.882124381|-0.008407895|10.31162267|0.0248526079999999|-0.007022144|-0.208888686|0.053425134|-0.607238634|1|0.640351067|0.721302096|0.785381728|0.74053397|-0.098695428|-52.4583525|235.6982345|123.350856|-0.039478171|1.809595554|77.51574252|0.866976271|-1.381735991|-24.93884341|51.71950126|56.26480013|0.415852758|2142.972568|352.05186289999995|-656.8810472|0.133023729|5.05182773|0.711897153|21.6476858|0.0100954959999999|757.6690029|347.9532383|4.799426464|1.0|1.0|1.0|1.0|2.6|0.0|21.0|-7.53|5.3|0.0|92.65|0.0|2.0|3.0|0.0|1.0|2.02e-06|0.00065|8.22e-06|4.3|0.0|0.0|2.950000000000001e-08|9.48e-06|3.53|-1355.303098|504.29|858.45|356.58|0.1776|208.93|0.3809|-1355.192416|-0.14983|2.3542|-0.20826|0.02921941|-1355.239905|3.1409|5.9
13i_a6|1|0|0|3.399318783|0.0|0|7.412764017000001|1|0.0|-0.0149593219999999|5.351858133|1|0.042560386|0.0|-0.011017781|10.95129557|-0.032549318|-0.007703306|0.057038772|-0.045418125|-0.560601136|1|0.8744720490000001|0.7771558909999999|0.8287956870000001|0.624046118|-0.129526268|-80.75190740000001|181.1128483|252.0312146|-0.046433945|14.01186473|116.5456632|0.783597763|-2.460999087|-54.13430283|100.2320567|101.6533459|0.429711323|2906.257489|418.3467934|-1649.799665|0.216402237|8.294136887|0.753497905|39.72483975|0.019989461|2105.416507|673.8038326000001|13.40049533|1.0|1.0|1.0|3.0|2.7|0.12|23.0|-8.5|4.16|0.0|120.17|0.0|6.0|5.0|0.0|1.0|9.32e-06|0.00398|3.28e-05|2.95|0.0|0.0|3.18e-09|1.36e-06|4.94|-1426.518007|703.43|1196.21|348.14|0.2903|338.12|0.7004600000000001|-1426.269916|-0.1464|7.8342|-0.19454|0.03191957|-1426.332492|10.1375|7.6778
19_a15|0|0|0|0.0|0.0|0|0.0|0|0.0|-0.009832375|0.0|1|0.040555556|0.0|-0.012350591|10.31928434|-0.032407407|-0.00534669|0.060683674|-0.0283109839999999|-0.571686169|1|0.7981860159999999|0.722297906|0.770451673|0.691069123|-0.112106433|-54.70558911|61.63983265|178.5363184|-0.042351319|1.761006946|15.76831619|0.922135562|-1.905809364|-31.61527447|68.10965742|57.75275299|0.405429114|2625.952212|399.3803987|-1101.399091|0.077864438|6.10227122|0.681885245|26.54223128|0.005747326|1194.400408|490.1808545|3.321475588|1.0|1.0|1.0|2.0|2.17|0.11|18.0|-7.14|2.36|0.0|101.22|0.0|5.0|5.0|0.0|1.0|7.56e-06|0.00279|4.1200000000000005e-05|3.29|0.0|0.0|7.28e-08|2.69e-05|7.53|-1523.361214|601.23|1030.77|297.03|0.4895|297.03|0.68945|-1523.196562|-0.17018|6.7515|-0.20742|0.04315771|-1523.254714|9326.0|7.1427
16_a3|0|0|0|0.0|0.0|0|6.823286122000001|0|0.0|-0.010031024|4.727387819|2|0.045993266|1.614080058|-0.010377537|10.31163046|-0.018884246|-0.008409607|0.069124437|0.0032314229999999|-0.614173961|2|0.659478546|0.767641592|0.838125715|0.6974791290000001|-0.100138414|-53.7971544|248.6415425|149.4199775|-0.041233465|2.977102266|82.16042286|0.8296818009999999|-1.401937796|-26.57128935|56.56724056|59.82469895|0.484889078|2184.788331|344.4962834|-692.4398741|0.1703181989999999|5.780331402000001|0.941329444|24.54661368|0.0143895839999999|834.5848652000001|328.71459869999995|7.107249553|1.0|1.0|1.0|1.0|2.59|0.0|21.0|-7.16|4.74|0.0|90.44|0.0|2.0|4.0|0.0|1.0|1.05e-05|0.0033799999999999|3.2200000000000003e-05|3.35|0.0|0.0|6.97e-08|2.25e-05|3.19|-1371.360243|520.28|856.09|384.94|0.3866|384.94|0.6944100000000001|-1371.250459|-0.13195|2.8688|-0.2029|0.02847445|-1371.297964|3613.0|7.3768
14t_a23|0|1|1|0.0|0.0|2|7.423568444|0|3.410065804|-0.005383494|5.351858133|2|0.045277778|0.758345646|0.01269616|10.31321779|-0.093434862|0.01180744|0.134446672|-0.074441567|-0.4515027279999999|2|0.725800261|0.7629258809999999|0.820002545|0.920956836|-0.079253435|-36.09926385|36.6149406|51.51331913|-0.033286443|7.404291213|42.20767549|0.799945841|-1.6643221380000002|-23.52629623|61.0040156|47.46057034|0.465981891|2878.4071670000003|600.1979272000001|-1084.657455|0.2000541589999999|7.55064865|0.872595673|27.11827225|0.014352462|1355.9136119999998|666.0036144999999|9.353660614|0.0|0.0|1.0|1.0|3.49|0.09|26.0|-7.78|3.88|1.0|125.25|0.0|5.0|4.0|0.0|0.0|1.43e-06|0.000608|5.61e-06|3.94|0.0|0.0|1.65e-08|7.03e-06|3.79|-1669.21916|692.08|1184.43|386.72|0.2061|311.09|0.5824199999999999|-1668.980578|-0.15625|5.8672|-0.22291|0.02135191|-1669.040656|8.3062|8.3979
4k_a46|0|0|0|0.0|0.173180233|1|7.825245291|1|2.145043462|-0.0049602|5.587248657999999|1|0.0510113959999999|0.0|0.006550513|10.94631314|-0.1032662209999999|0.006050983|-0.158788415|0.008544799|-0.3860697829999999|1|0.78837943|0.7477594870000001|0.787615341|0.8789113709999999|-0.086581945|-49.65634024|171.92614719999997|65.39662252|-0.0306644389999999|2.052909907|0.0|0.8732380740000001|-1.471893066|-26.8180173|50.48291318|53.45751583|0.417368922|2104.876032|474.67574630000007|-794.928775|0.126761926|5.726809252000001|0.7163519709999999|18.96506421|0.006892404|910.3230822|519.5743695|3.722397006000001|1.0|1.0|1.0|1.0|3.03|0.33|17.0|-6.61|4.26|0.0|100.96|0.0|2.0|3.0|1.0|1.0|1.5e-05|5.0|1.4800000000000002e-05|4.05|0.0|0.0|2.48e-07|8.28e-05|4.52|-1053.396715|582.84|1001.96|278.71|0.2259|228.63|0.39943|-1053.196897|-0.18542|4.0015|-0.20254|0.03653474|-1053.249847|5.7714|7.0969
9_a3|0|0|0|0.0|0.0|0|6.823286122000001|0|0.0|-0.007847313|4.727387819|1|0.034166667|2.4071976040000003|-0.004918099|10.31162238|0.023606557|-0.003863265|-0.216450234|0.083014843|-0.614170287|1|0.923357627|0.6729843740000001|0.7327715159999999|0.84649775|-0.083555008|-44.74600478|223.4501605|72.17854599|-0.038196575|1.6312253680000002|72.50764604|0.886859678|-1.336880133|-21.04009269|43.50933802|48.21513485|0.413418346|2017.0704920000005|398.0331029|-628.6166118|0.1131403219999999|5.004834198999999|0.704792493|20.25176593|0.008976383|708.8118076000001|349.6957191|4.220799781|1.0|1.0|1.0|1.0|2.44|0.0|21.0|-7.26|4.9|0.0|92.69|0.0|2.0|2.0|0.0|1.0|2.96e-06|0.000899|1.25e-05|4.14|0.0|0.0|5.5e-08|1.67e-05|3.28|-1256.0634710000002|512.44|857.36|331.9|0.2069|213.09|0.3639699999999999|-1255.9558029999998|-0.15834|2.0863|-0.19833|0.0242342|-1256.002529|2.6661|4.96
9d_a31|1|0|0|3.456767212|0.0|0|7.765993078999999|1|0.0|-0.012442213|5.733341277|0|0.0359583329999999|0.0|-0.002456634|10.31169788|-0.021171445|0.000127275|-0.091744753|-0.134504227|-0.550392027|0|0.8066174070000001|0.8343242820000001|0.873955169|0.6943358040000001|-0.11958484|-66.96024848|154.8767865|208.401866|-0.033844766|13.49577391|560.5224416|0.6636195229999999|-1.793772606|-45.65350116|97.84665015|86.75457645|0.457506946|2654.377004|473.3981899|-1222.994263|0.336380477|9.436176796|0.8433415740000001|34.77197803|0.023927395|1842.914835|647.1500428999999|16.31369927|1.0|1.0|1.0|2.0|3.35|0.38|16.0|-7.63|6.04|0.0|112.97|0.0|9.0|5.0|0.0|1.0|2.48e-06|0.0010199999999999|4.06e-05|3.46|0.0|0.0|2.3500000000000002e-08|9.69e-06|5.0|-1657.428165|727.27|1202.79|322.22|0.2611|322.22|0.7006899999999999|-1657.1791449999998|-0.15969|2.6311|-0.19426|0.04331056|-1657.245966|3.5077|6.2218
12af_a36|1|0|0|3.448611715|0.0|0|7.412764017000001|2|0.0|-0.00989889|5.351858133|2|0.039953704|0.0|-0.00233752|10.96037047|0.00146554|-0.000472698|0.154914099|-0.126068378|-0.505160213|1|0.859938421|0.813346624|0.8631180940000001|0.755275519|-0.1054605669999999|-57.32748365|89.56100543|169.9519197|-0.035153522|10.57220682|127.6527374|0.6702409189999999|-2.003750775|-39.81177462|91.25505794|72.55107063|0.448767097|3013.98446|524.5103537|-1391.529319|0.329759081|8.59579222|0.8141152220000001|36.42391023|0.0259433429999999|2076.162883|757.7532208|18.01667275|0.0|0.0|0.0|3.0|0.0|0.17|17.0|-6.93|2.38|0.0|138.06|0.0|7.0|5.0|0.0|0.0|0.000292|128.0|0.000227|1.85|0.0|0.0|1.1800000000000001e-07|5.18e-05|4.5|-1440.954069|737.4|1246.55|383.86|427.0|236.83|0.50179|-1440.675702|-0.13364|6.9003|-0.19246|0.02886569|-1440.740243|9.4631|7.8239
1o_a5|1|0|0|2.923171926|0.0|0|6.605297921|0|0.0|-0.002633927|4.59511985|2|0.025987654|0.0|0.0057302559999999|10.94518594|-0.008511304|0.0051989459999999|-0.05876042|0.038275248|-0.231165601|2|0.670787375|0.78144982|0.85693939|0.88430372|-0.072886362|-42.63505279|167.3051756|62.16682117|-0.028770932|3.827177229|1.01402588|0.699913551|-1.093295425|-22.90899675|50.11479279|49.75766514|0.470590799|2238.291862|475.1609233|-587.4579645|0.300086449|7.522366517000001|0.8888980340000001|22.08761368|0.020380352|839.3293197999999|393.5487205|10.95092849|1.0|1.0|1.0|1.0|2.2|0.0|23.0|-8.11|4.48|0.0|95.2|0.0|3.0|4.0|0.0|1.0|8.329999999999999e-05|0.0269|8.340000000000001e-05|2.78|0.0|0.0|7.85e-09|2.54e-06|2.66|-1043.536121|561.04|938.37|297.38|0.3966|275.45|0.4988899999999999|-1043.422345|-0.1693599999999999|4.7435|-0.23973|0.04126499|-1043.472984|5.4919|7.4559
14ad_a23|0|1|1|0.0|0.0|2|7.423568444|0|3.3437482860000003|-0.00790478|5.351858133|2|0.0444129979999999|0.735584095|0.008996289|10.31321689|-0.031279567|0.009675528|0.2086248289999999|-0.143336826|-0.376350719|2|0.7763406840000001|0.7830067820000001|0.8356326820000001|0.887131635|-0.085840335|-42.29008971|52.63180108|80.67170209999999|-0.029653934|17.28310144|114.237062|0.575880959|-1.630966366|-30.226481300000003|85.20135045|66.47100256|0.46995189|3209.330728|634.0697778|-1165.7193140000002|0.424119041|8.661363236|0.8866211979999999|36.80430179|0.033365494|2024.236598|770.8206617000001|23.84770234|0.0|0.0|1.0|1.0|3.49|0.12|26.0|-7.6|3.48|1.0|133.27|0.0|7.0|6.0|0.0|0.0|1.6e-06|0.000753|8.22e-06|3.52|0.0|0.0|2.49e-08|1.17e-05|2.99|-1858.942973|747.83|1287.26|366.09|0.4106|366.09|0.6956600000000001|-1858.668058|-0.13734|5.2331|-0.20659|0.01481488|-1858.733603|6.7584|8.3595
18c_a25|0|0|0|0.0|0.0|1|6.842683282|0|1.959418462|-0.002704524|4.727387819|2|0.043274232|2.069766482|0.007804726|10.31285373|0.006360768|0.007488918|0.01222181|-0.038006869|-0.282103688|2|0.7644072209999999|0.748718056|0.8005589320000001|0.94801724|-0.0719340379999999|-31.96445203|26.54367263|34.1639413|-0.026975264|4.140476673999999|0.0|0.7479204509999999|-1.510614788|-21.00757374|56.83666555|38.26446885|0.484730247|2917.369488|623.0528232|-992.8013635|0.2520795489999999|7.553051762000001|0.940731034|23.70385212|0.014546814|1327.415719|831.3429628|9.560410146|1.0|1.0|1.0|1.0|3.89|0.11|27.0|-10.17|6.29|1.0|138.65|0.0|7.0|3.0|0.0|1.0|8.86e-07|0.000398|2.51e-06|4.49|0.0|0.0|6.79e-11|3.0499999999999995e-08|4.75|-1714.5777670000002|698.86|1243.76|371.26|0.3558|226.01|0.31993|-1714.280779|-0.13312|6.1775|-0.19532|0.02003004|-1714.342386|7.9283|7.0555
10_a4|0|0|0|0.0|0.0|1|7.535296702|1|2.146166934|-0.002959121|5.4161004020000005|2|0.038699764|2.149387791|0.01107733|10.92992762|-0.090413559|0.011142889|0.014917047|-0.083887216|-0.241683916|2|0.6990620390000001|0.810105167|0.861225169|0.921653019|-0.079432495|-29.52653193|39.48408698|45.34497624|-0.027007048|4.884907049|64.26218096|0.744529685|-1.350352423|-17.08910641|54.09964719|37.96666686|0.4858700179999999|2480.063587|533.4262268|-781.5450965|0.255470315|5.759414166|0.945033425|20.99433004|0.014040792|1049.716502|594.7358385|8.126406226|1.0|1.0|1.0|0.0|3.38|0.26|21.0|-8.07|4.93|0.0|111.38|0.0|4.0|4.0|1.0|1.0|2.21e-05|0.00818|1.4e-05|3.85|0.0|0.0|8.51e-09|3.15e-06|3.34|-1183.790554|619.99|1083.65|340.01|0.1792|249.6|0.4662|-1183.54701|-0.15561|1.4517|-0.2025|0.02232068|-1183.602045|2.2386|7.0555
8f_a12|0|1|1|0.0|0.0|0|6.580639137|1|0.0|-0.008295703|4.59511985|2|0.038347953|2.177023629|-0.002596875|10.31134658|-0.024023866|-0.00094279|-0.023769395|-0.070713228|-0.560548116|1|0.902669729|0.7475224290000001|0.80546986|0.869823177|-0.098932601|-41.27611074|83.13642146|73.97552223|-0.03822396|4.290980116|0.0|0.8381234340000001|-1.6818542230000002|-23.45595611|63.05721575|48.82707007|0.460344828|2541.921472|494.2940092|-955.746511|0.161876566|7.016225129|0.853035146|25.9168408|0.012030968|1140.340995|524.0516742|6.836832748|1.0|1.0|1.0|1.0|3.26|0.1|21.0|-8.42|4.99|0.0|115.66|0.0|3.0|4.0|1.0|1.0|1.99e-06|0.000735|5.72e-06|4.34|0.0|0.0|3.79e-09|1.4e-06|4.19|-1481.115891|606.97|1020.81|339.35|312.0|297.01|0.59107|-1480.955408|-0.15061|0.9092|-0.2124|0.03056355|-1481.008909|1.4701|6.1898
